Il	NP	Il
nourrir	NN	<unknown>
,	,	,
nous	NN	nous
habiller	NN	<unknown>
,	,	,
mais	NN	<unknown>
aussi	NNS	<unknown>
pour	VBP	pour
rendre	NN	<unknown>
nos	NNS	no
téléphones	NNS	téléphone
plus	CC	plus
réparables	NNS	réparable
,	,	,
pas	NNS	pa
pour	VBP	pour
ajouter	NN	ajouter
une	NN	une
troisième	NN	<unknown>
caméra	NN	<unknown>
;	:	;
pour	VB	pour
rendre	NN	<unknown>
nos	NNS	no
voitures	NNS	<unknown>
plus	CC	plus
légères	NNS	<unknown>
pour	VBP	pour
consommer	JJ	<unknown>
moins	NNS	<unknown>
d	SYM	d
'	POS	'
énergie	NP	<unknown>
,	,	,
pas	NN	pas
pour	VBP	pour
les	FW	les
rendre	NN	<unknown>
plus	CC	plus
puissantes	NNS	puissante
;	:	;
pour	VB	pour
relocaliser	NN	relocaliser
notre	NN	<unknown>
fabrication	NN	fabrication
de	NP	de
vêtements	NNS	<unknown>
,	,	,
pas	NNS	pa
pour	VBP	pour
faire	NP	faire
des	NP	des
vestes	VBZ	<unknown>
connectées	NNS	<unknown>
-	NN	<unknown>
à	NP	<unknown>
quoi	NP	Quoi
ça	NP	ça
sert	NP	Sert
une	NN	une
veste	NN	<unknown>
connectée	NN	<unknown>
?	SENT	?
Je	NP	Je
crois	NP	<unknown>
qu	NP	Qu
'	POS	'
on	IN	on
a	DT	a
besoin	NN	<unknown>
d	NN	d
'	POS	'
un	NN	un
écosystème	NP	<unknown>
de	NP	de
petites	NNS	<unknown>
et	CC	et
moyennes	NNS	<unknown>
entreprises	NNS	entreprise
utiles	NNS	utile
,	,	,
et	CC	et
pas	NNS	pa
d	SYM	d
'	POS	'
un	JJ	<unknown>
monde	NN	<unknown>
dominé	NN	<unknown>
par	NN	par
quatre	NN	quatre
grosses	VBZ	gross
boîtes	NP	<unknown>
qui	NP	qui
n	NN	n
'	POS	'
ont	JJ	<unknown>
qu	NN	qu
'	POS	'
une	NN	une
idée	NN	<unknown>
en	IN	en
tête	NN	<unknown>
:	:	:
doubler	JJR	double
la	NP	la
concurrence	NN	concurrence
.	SENT	.
Parce	NP	Parce
qu	NP	Qu
'	POS	'
une	JJ	<unknown>
belle	NN	belle
forêt	NN	<unknown>
qui	NNS	qui
résiste	NN	<unknown>
n	NN	n
'	POS	'
est	NP	est
pas	NN	pas
trois	NN	trois
gros	NNS	<unknown>
arbres	NNS	<unknown>
avec	NP	<unknown>
des	NP	des
troncs	NNS	<unknown>
de	NP	de
4	CD	@card@
km	NN	km
de	NP	de
diamètre	NP	<unknown>
qui	NP	qui
auraient	JJ	<unknown>
absorbé	NN	<unknown>
tous	JJ	<unknown>
les	FW	les
autres	NNS	<unknown>
.	SENT	.
Une	NP	Une
forêt	NP	<unknown>
résiliente	NN	<unknown>
,	,	,
une	JJ	<unknown>
forêt	NN	<unknown>
riche	NN	riche
écologiquement	NP	<unknown>
,	,	,
ce	VBG	<unknown>
sont	NN	<unknown>
des	FW	des
milliers	NNS	<unknown>
d	NN	d
'	POS	'
arbres	NNS	<unknown>
de	NP	de
tailles	NNS	taille
et	CC	et
d	NN	d
'	POS	'
espèces	NNS	<unknown>
différentes	NNS	différente
.	SENT	.
Et	FW	et
en	FW	en
fait	NN	fait
,	,	,
si	NP	si
vous	JJ	<unknown>
regardez	NN	<unknown>
un	NN	un
peu	NN	peu
autour	NN	<unknown>
de	NP	de
vous	NP	<unknown>
,	,	,
des	NP	des
entreprises	VBZ	entreprise
utiles	NNS	utile
ne	RB	ne
cherchant	JJ	<unknown>
pas	NNS	pa
la	DT	la
croissance	NN	<unknown>
à	NP	<unknown>
tout	NN	tout
prix	NN	<unknown>
,	,	,
il	JJ	<unknown>
y	NN	y
en	IN	en
a	DT	a
plein	NN	<unknown>
.	SENT	.
Il	NP	Il
y	NP	y
a	DT	a
mon	JJ	mon
fournisseur	NN	<unknown>
d	SYM	d
'	POS	'
énergie	NP	<unknown>
,	,	,
Enercoop	NP	<unknown>
,	,	,
le	DT	le
boulanger	NN	boulanger
en	IN	en
bas	NP	bas
de	NP	de
chez	IN	chez
moi	NNS	moi
,	,	,
Bioseptyl	NP	<unknown>
,	,	,
l	NN	l
'	POS	'
entreprise	NN	entreprise
qui	NNS	qui
fabrique	NN	<unknown>
ma	NN	ma
brosse	NP	brosse
à	NP	<unknown>
dents	NNS	dent
,	,	,
la	DT	la
maraîchère	NN	<unknown>
chez	IN	chez
qui	NP	qui
j	NN	j
'	POS	'
achète	NP	<unknown>
mes	FW	mes
légumes	NP	<unknown>
et	FW	et
même	NN	<unknown>
un	NN	un
mec	NN	mec
qui	NNS	qui
a	DT	a
un	NN	un
restaurant	NN	restaurant
de	NP	de
poisson	NP	Poisson
sur	NP	Sur
le	FW	le
bord	NP	Bord
de	FW	de
la	FW	la
Loire	NP	Loire
.	SENT	.
Il	NP	Il
y	NP	y
en	IN	en
a	DT	a
des	NP	des
millions	NNS	million
,	,	,
des	FW	des
petites	NNS	<unknown>
et	CC	et
moyennes	NNS	<unknown>
entreprises	NNS	entreprise
,	,	,
qui	NNS	qui
vont	NN	<unknown>
très	NN	<unknown>
bien	NN	<unknown>
sans	IN	sans
chercher	NP	chercher
à	NP	<unknown>
conquérir	NN	<unknown>
le	DT	le
monde	NN	<unknown>
.	SENT	.
Pourtant	JJ	<unknown>
,	,	,
ce	JJ	<unknown>
n	NN	n
'	POS	'
est	NP	est
pas	NN	pas
du	NP	du
tout	NN	tout
à	NP	<unknown>
ce	JJ	<unknown>
genre	NN	genre
d	SYM	d
'	POS	'
entreprises-là	JJ	<unknown>
que	NP	que
le	FW	le
mec	NP	mec
du	FW	du
bar	NN	bar
,	,	,
dont	NP	<unknown>
je	NP	Je
vous	JJ	<unknown>
parlais	NN	<unknown>
au	FW	au
début	NN	début
,	,	,
pense	NN	<unknown>
quand	NN	<unknown>
il	VBZ	<unknown>
me	PP	me
parle	NP	Parle
d	NN	d
'	POS	'
une	JJ	<unknown>
boîte	NN	<unknown>
qui	NNS	qui
réussit	NN	<unknown>
.	SENT	.
Comment	NN	comment
ça	NP	ça
se	FW	se
fait	NN	fait
?	SENT	?
Il	NP	Il
y	NP	y
en	IN	en
a	DT	a
autant	JJ	<unknown>
autour	NN	<unknown>
de	NP	de
lui	NP	Lui
,	,	,
des	NP	des
petites	NNS	<unknown>
entreprises	VBZ	entreprise
qui	NP	qui
vont	NP	<unknown>
bien	NP	Bien
.	SENT	.
Pourquoi	NP	<unknown>
quand	NN	<unknown>
il	NNS	<unknown>
pense	JJ	<unknown>
à	NP	<unknown>
une	NN	une
entreprise	NN	entreprise
qui	NNS	qui
réussit	NN	<unknown>
,	,	,
il	NNS	<unknown>
pense	JJ	<unknown>
à	NP	<unknown>
une	NN	une
grosse	NN	<unknown>
boîte	NN	<unknown>
qui	NNS	qui
croît	NN	<unknown>
en	IN	en
permanence	NN	permanence
?	SENT	?
Venez	NP	<unknown>
,	,	,
on	IN	on
se	FW	se
met	VBN	meet
deux	NN	deux
minutes	NNS	minute
dans	NNS	dan
sa	NN	sa
tête	NN	<unknown>
.	SENT	.
Vous	NP	<unknown>
êtes	NP	<unknown>
ce	NN	ce
mec	NN	mec
,	,	,
ou	NP	Ou
vous	JJ	<unknown>
êtes	NP	<unknown>
quelqu	NP	<unknown>
'	POS	'
un	JJ	<unknown>
qui	NNS	qui
a	DT	a
très	NN	<unknown>
envie	NN	<unknown>
de	NP	de
monter	NN	<unknown>
une	NN	une
boîte	NN	<unknown>
,	,	,
ou	NP	Ou
vous	JJ	<unknown>
êtes	NP	<unknown>
déjà	NN	<unknown>
à	NP	<unknown>
la	NP	la
tête	NN	<unknown>
d	NN	d
'	POS	'
une	NN	une
entreprise	NN	entreprise
,	,	,
et	CC	et
vous	JJ	<unknown>
ouvrez	NN	<unknown>
le	DT	le
journal	NN	journal
.	SENT	.
Vous	NP	<unknown>
verrez	NP	<unknown>
qu	NP	Qu
'	POS	'
on	IN	on
y	NP	y
célèbre	NN	<unknown>
les	FW	les
levées	NNS	<unknown>
de	NP	de
fonds	NNS	fond
records	NNS	record
,	,	,
les	FW	les
entrées	NNS	entrée
en	IN	en
bourse	NN	bourse
fracassantes	NNS	fracassante
.	SENT	.
Vous	NP	<unknown>
lirez	NP	<unknown>
que	NP	que
le	FW	le
Graal	NP	<unknown>
pour	NN	pour
une	NN	une
entreprise	NN	entreprise
,	,	,
c	LS	c
'	POS	'
est	NP	est
de	NP	de
devenir	NP	<unknown>
une	NP	une
licorne	NP	licorne
,	,	,
c	NN	c
'	POS	'
est-à-dire	NN	<unknown>
de	NP	de
valoir	NP	<unknown>
un	JJ	<unknown>
milliard	NN	milliard
d	SYM	d
'	POS	'
euros	NNS	<unknown>
.	SENT	.
Vous	NP	<unknown>
verrez	NP	<unknown>
qu	NP	Qu
'	POS	'
on	IN	on
récompense	NN	<unknown>
les	FW	les
dirigeants	NNS	<unknown>
des	NP	des
grandes	NNS	grande
entreprises	VBZ	entreprise
en	FW	en
les	FW	les
payant	NN	<unknown>
en	IN	en
moyenne	NN	<unknown>
83	CD	@card@
fois	NNS	<unknown>
le	DT	le
salaire	NN	<unknown>
d	NN	d
'	POS	'
une	NN	une
aide-soignante	NN	<unknown>
.	SENT	.
Regardez	NP	Regardez
à	NP	<unknown>
présent	JJ	<unknown>
du	NP	du
côté	JJ	<unknown>
des	NP	des
récompenses	NNS	<unknown>
officielles	NNS	<unknown>
.	SENT	.
Vous	NP	<unknown>
verrez	NP	<unknown>
qu	NP	Qu
'	POS	'
on	IN	on
décerne	NN	<unknown>
la	NP	la
Légion	NP	<unknown>
d	SYM	d
'	POS	'
honneur	JJ	<unknown>
aux	NP	aux
patrons	NNS	patron
des	NP	des
entreprises	VBZ	entreprise
françaises	NNS	<unknown>
qui	NNS	qui
ont	NN	ont
inondé	NN	<unknown>
le	DT	le
monde	JJ	<unknown>
de	NP	de
leurs	NNS	<unknown>
produits	NNS	<unknown>
,	,	,
peu	NN	peu
importe	NN	importe
ce	NN	ce
que	NP	que
ça	NP	ça
a	DT	a
coûté	JJ	<unknown>
à	NP	<unknown>
notre	NN	<unknown>
société	NN	<unknown>
.	SENT	.
Ça	NP	Ça
a	DT	a
été	NP	<unknown>
le	DT	le
cas	JJ	<unknown>
récemment	NN	<unknown>
avec	NN	<unknown>
le	DT	le
patron	NN	patron
de	NP	de
Sanofi	NP	Sanofi
,	,	,
l	NN	l
'	POS	'
entreprise	NN	entreprise
pharmaceutique	NN	<unknown>
responsable	NP	responsable
du	FW	du
scandale	NP	<unknown>
de	FW	de
la	FW	la
Dépakine	NP	<unknown>
,	,	,
un	JJ	<unknown>
médicament	NN	médicament
qui	NNS	qui
a	DT	a
causé	NN	<unknown>
des	FW	des
troubles	NNS	trouble
mentaux	NNS	<unknown>
et	CC	et
physiques	NNS	physique
chez	IN	chez
des	NP	des
dizaines	NNS	<unknown>
de	NP	de
milliers	NNS	<unknown>
d	NN	d
'	POS	'
enfants	FW	enfants
.	SENT	.
Rendez-vous	NP	<unknown>
à	NP	<unknown>
présent	JJ	<unknown>
dans	NNS	dan
une	JJ	<unknown>
librairie	NP	<unknown>
et	FW	et
demandez	NP	demandez
à	NP	<unknown>
consulter	NN	consulter
les	FW	les
biographies	NNS	biography
d	NN	d
'	POS	'
entrepreneurs	NNS	entrepreneur
qui	NP	qui
se	FW	se
vendent	NP	<unknown>
le	FW	le
mieux	NP	<unknown>
.	SENT	.
Vous	NP	<unknown>
verrez	NP	<unknown>
des	NP	des
ouvrages	NNS	ouvrage
à	NP	<unknown>
la	FW	la
gloire	NP	Gloire
de	FW	de
ceux	NP	<unknown>
qui	NP	qui
ont	NN	ont
monté	JJ	<unknown>
des	NP	des
empires	NNS	empire
comme	NN	comme
Nike	NP	Nike
ou	NP	Ou
Apple	NP	Apple
.	SENT	.
Vous	NP	<unknown>
lirez	NP	<unknown>
que	NP	que
ces	NN	ces
personnes	NN	<unknown>
sont	NN	<unknown>
présentées	NNS	<unknown>
comme	NN	comme
des	NP	des
modèles	NP	<unknown>
,	,	,
mais	NN	<unknown>
qu	NN	qu
'	''	'
on	IN	on
ne	RB	ne
s	JJ	<unknown>
'	''	'
attarde	NN	<unknown>
pas	NNS	pa
sur	NN	sur
ce	NN	ce
qu	NN	qu
'	''	'
on	IN	on
a	DT	a
sacrifié	JJ	<unknown>
pour	NN	pour
leur	NN	<unknown>
succès	NNS	<unknown>
.	SENT	.
Dans	NP	Dans
l	NN	l
'	POS	'
imaginaire	NN	<unknown>
collectif	NN	<unknown>
,	,	,
la	NP	la
grosse	NP	Grosse
boîte	NP	<unknown>
est	NP	est
glorifiée	NN	<unknown>
,	,	,
et	CC	et
ceux	NP	<unknown>
qui	NP	qui
les	FW	les
ont	NN	ont
montées	NNS	<unknown>
et	CC	et
les	FW	les
dirigent	JJ	<unknown>
sont	NN	<unknown>
starifiés	NNS	<unknown>
et	CC	et
érigés	NP	<unknown>
comme	NN	comme
modèles	NP	<unknown>
au	FW	au
reste	NP	<unknown>
de	FW	de
la	FW	la
société	NN	<unknown>
.	SENT	.
Leur	NN	<unknown>
parcours	NNS	<unknown>
,	,	,
leur	NN	<unknown>
méthode	NNS	<unknown>
,	,	,
leur	NN	<unknown>
modèle	NN	<unknown>
sont	NN	<unknown>
étudiés	NP	<unknown>
en	FW	en
école	NP	<unknown>
de	FW	de
commerce	NN	commerce
.	SENT	.
Or	CC	or
l	NN	l
'	POS	'
histoire	NN	<unknown>
nous	NN	nous
a	DT	a
montré	JJ	<unknown>
que	NP	que
les	FW	les
volontés	VBZ	<unknown>
de	NP	de
conquête	NP	<unknown>
mondiale	NP	<unknown>
sont	NN	<unknown>
mortifères	NNS	<unknown>
.	SENT	.
C	NP	C
'	POS	'
est	NP	est
cette	NN	<unknown>
ambition	NN	ambition
,	,	,
celle	NP	Celle
de	NP	de
grossir	NN	<unknown>
toujours	NNS	<unknown>
plus	RB	plus
,	,	,
d	NN	d
'	POS	'
être	NP	<unknown>
plus	CC	plus
gros	NP	Gros
que	NP	que
le	FW	le
voisin	NP	Voisin
,	,	,
qui	NP	qui
nous	NN	nous
a	DT	a
poussés	NNS	<unknown>
à	NP	<unknown>
piller	NP	Piller
,	,	,
à	NP	<unknown>
coloniser	NP	<unknown>
,	,	,
à	NP	<unknown>
exterminer	NP	exterminer
,	,	,
et	NP	et
à	NP	<unknown>
réduire	NNS	<unknown>
en	IN	en
esclavage	NN	esclavage
.	SENT	.
Oui	NP	oui
,	,	,
les	FW	les
entreprises	VBZ	entreprise
ont	JJ	<unknown>
une	NN	une
énorme	NP	<unknown>
part	NN	part
de	NP	de
responsabilité	NN	<unknown>
dans	NNS	dan
l	NN	l
'	''	'
accroissement	NN	<unknown>
des	FW	des
inégalités	NNS	<unknown>
et	CC	et
dans	NNS	dan
la	DT	la
catastrophe	NN	catastrophe
climatique	NN	<unknown>
qu	NN	qu
'	''	'
on	IN	on
est	NP	est
en	FW	en
train	NN	train
de	FW	de
vivre	NN	vivre
.	SENT	.
Elles	NP	<unknown>
sont	NN	<unknown>
aussi	NP	<unknown>
les	FW	les
mieux	NN	<unknown>
placées	NNS	<unknown>
pour	VBP	pour
freiner	JJ	<unknown>
ce	NN	ce
désastre	NNS	<unknown>
,	,	,
et	CC	et
si	NP	si
elles	NNS	<unknown>
ne	RB	ne
s	NN	S
'	POS	'
y	NN	y
mettent	NN	<unknown>
pas	NNS	pa
,	,	,
je	NP	Je
me	FW	me
demande	NP	<unknown>
si	NP	si
on	IN	on
a	DT	a
une	NN	une
chance	NN	chance
.	SENT	.
Si	NP	Si
on	IN	on
veut	NP	<unknown>
que	NP	que
la	NP	la
réussite	NN	<unknown>
des	NP	des
entreprises	VBZ	entreprise
ne	RB	ne
se	FW	se
fasse	NP	<unknown>
plus	CC	plus
ni	NP	Ni
aux	NP	aux
dépens	NP	<unknown>
des	FW	des
humains	NP	humains
et	FW	et
de	FW	de
la	FW	la
planète	NN	<unknown>
,	,	,
il	JJ	<unknown>
faut	NN	<unknown>
changer	NN	changer
notre	JJ	<unknown>
définition	NN	<unknown>
de	FW	de
la	FW	la
réussite	NN	<unknown>
.	SENT	.
Et	CC	et
ça	NP	ça
commence	VBP	commence
par	JJ	par
changer	NN	changer
ses	NNS	sis
représentations	NNS	représentation
.	SENT	.
Imaginez	NP	<unknown>
que	NP	que
vous	JJ	<unknown>
ouvriez	NN	<unknown>
le	DT	le
journal	NN	journal
et	NP	et
que	NP	que
vous	JJ	<unknown>
tombiez	NN	<unknown>
sur	NN	sur
une	NN	une
double	JJ	double
page	NN	page
qui	NP	qui
parle	NP	Parle
de	NP	de
Pierre	NP	Pierre
Schmidt	NP	Schmidt
,	,	,
le	DT	le
patron	NN	patron
d	NN	d
'	POS	'
une	JJ	<unknown>
entreprise	NN	entreprise
textile	NN	textile
en	IN	en
Alsace	NP	Alsace
,	,	,
connu	NN	<unknown>
pour	NN	pour
deux	NN	deux
choses	NNS	chose
:	:	:
avoir	NN	<unknown>
résisté	NN	<unknown>
aux	NP	aux
sirènes	NP	<unknown>
de	FW	de
la	FW	la
délocalisation	NN	délocalisation
et	CC	et
avoir	NN	<unknown>
mis	NNS	mi
en	IN	en
place	NN	place
un	VBG	<unknown>
système	NN	<unknown>
de	FW	de
traitement	NN	<unknown>
des	FW	des
eaux	NN	<unknown>
usées	NNS	<unknown>
exemplaire	NN	<unknown>
.	SENT	.
Imaginez	NP	<unknown>
qu	NP	Qu
'	POS	'
à	NP	<unknown>
votre	NN	<unknown>
librairie	NN	<unknown>
,	,	,
vous	JJ	<unknown>
découvriez	NN	<unknown>
que	NP	que
le	FW	le
best-seller	NN	best-seller
du	FW	du
moment	NN	moment
,	,	,
c	LS	c
'	POS	'
est	NP	est
le	FW	le
livre	NN	livre
de	NP	de
Thomas	NP	Thomas
Huriez	NP	<unknown>
,	,	,
l	NN	l
'	POS	'
homme	NN	<unknown>
qui	NNS	qui
a	DT	a
réussi	NN	<unknown>
à	NP	<unknown>
relocaliser	NN	relocaliser
une	NN	une
filière	NN	<unknown>
de	NP	de
fabrication	NN	fabrication
de	NP	de
jeans	NNS	jean
en	IN	en
France	NP	France
.	SENT	.
Imaginez	NP	<unknown>
qu	NN	qu
'	POS	'
en	FW	en
école	NP	<unknown>
de	FW	de
commerce	NN	commerce
,	,	,
on	IN	on
étudie	NP	<unknown>
le	DT	le
business	NN	business
model	NN	model
de	NP	de
la	FW	la
boulangerie	NP	Boulangerie
en	FW	en
bas	NP	bas
de	FW	de
chez	IN	chez
moi	NNS	moi
qui	NNS	qui
,	,	,
depuis	NN	<unknown>
30	CD	@card@
ans	NNS	<unknown>
,	,	,
fait	NN	fait
les	FW	les
mêmes	NNS	<unknown>
produits	NNS	<unknown>
,	,	,
vend	VBP	vend
les	FW	les
mêmes	NNS	<unknown>
quantités	NNS	<unknown>
,	,	,
et	CC	et
s	NNS	<unknown>
'	''	'
en	IN	en
porte	NN	Porte
plutôt	NN	<unknown>
bien	NN	<unknown>
.	SENT	.
Imaginez	NP	<unknown>
ce	NN	ce
que	NP	que
ça	NP	ça
serait	NN	<unknown>
si	NP	si
la	FW	la
représentation	NP	<unknown>
de	FW	de
la	FW	la
réussite	NN	<unknown>
n	NN	n
'	POS	'
était	NP	<unknown>
plus	CC	plus
celle	NN	<unknown>
de	FW	de
la	FW	la
croissance	NN	<unknown>
.	SENT	.
J	NP	J
'	POS	'
ai	VBP	ai
une	JJ	<unknown>
bonne	NN	bonne
nouvelle	NN	nouvelle
.	SENT	.
Les	NP	Les
choses	NNS	chose
que	NP	que
je	NP	Je
viens	NP	Viens
de	NP	de
vous	JJ	<unknown>
décrire	NN	<unknown>
sont	NN	<unknown>
déjà	NN	<unknown>
en	IN	en
train	NN	train
d	NN	d
'	POS	'
arriver	NN	arriver
.	SENT	.
Et	CC	et
il	JJ	<unknown>
était	NP	<unknown>
temps	NNS	temp
.	SENT	.
Il	NP	Il
est	NP	est
temps	NNS	temp
que	NP	que
la	NP	la
réussite	NN	<unknown>
ne	RB	ne
soit	NN	<unknown>
plus	CC	plus
celle	NN	<unknown>
de	FW	de
l	NN	l
'	POS	'
argent	NN	argent
,	,	,
mais	NP	Mais
de	NP	de
l	NN	l
'	POS	'
impact	NN	impact
positif	NN	positif
,	,	,
temps	NNS	temp
que	NP	que
les	FW	les
entreprises	VBZ	entreprise
œuvrent	JJ	<unknown>
au	FW	au
bien	NN	<unknown>
collectif	NN	<unknown>
et	CC	et
non	JJ	non
à	NP	<unknown>
l	NN	l
'	POS	'
enrichissement	JJ	<unknown>
de	NP	de
quelques-uns	NNS	<unknown>
.	SENT	.
Oui	NP	oui
,	,	,
elles	NNS	<unknown>
seront	NN	<unknown>
moins	NNS	<unknown>
grosses	NNS	gross
,	,	,
mais	NNS	<unknown>
c	NN	c
'	POS	'
est	NP	est
leur	NN	<unknown>
taille	NN	taille
ou	NN	ou
notre	NN	<unknown>
survie	NN	<unknown>
,	,	,
donc	NP	<unknown>
à	NP	<unknown>
choisir	NN	<unknown>
.	SENT	.
.	SENT	.
.	SENT	.
Oui	NP	oui
,	,	,
la	DT	la
définition	NN	<unknown>
de	FW	de
la	FW	la
réussite	NN	<unknown>
est	NP	est
en	FW	en
train	NN	train
de	FW	de
changer	NN	changer
,	,	,
et	CC	et
j	NN	j
'	POS	'
espère	NN	<unknown>
que	NP	que
ça	NP	ça
ne	RB	ne
s	NNS	<unknown>
'	POS	'
arrêtera	NN	<unknown>
pas	NN	pas
là	NN	<unknown>
.	SENT	.
J	NP	J
'	POS	'
espère	JJ	<unknown>
que	NP	que
l	NN	l
'	POS	'
année	NN	<unknown>
prochaine	NN	<unknown>
,	,	,
quand	NN	<unknown>
mon	NN	mon
amie	NN	amie
fêtera	NP	<unknown>
à	NP	<unknown>
nouveau	NN	nouveau
son	NN	son
anniversaire	NN	<unknown>
et	NP	et
que	NP	que
je	NP	Je
me	PP	me
retrouverai	NP	<unknown>
dans	NNS	dan
un	NN	un
bar	NN	bar
,	,	,
à	NP	<unknown>
côté	JJ	<unknown>
d	NN	d
'	POS	'
un	NN	un
mec	NN	mec
que	NP	que
je	NP	Je
ne	RB	ne
connais	NN	<unknown>
pas	NNS	pa
,	,	,
qu	NP	Qu
'	POS	'
on	IN	on
discutera	NN	<unknown>
et	CC	et
qu	NN	qu
'	''	'
il	NN	il
me	FW	me
demandera	NN	<unknown>
ce	NN	ce
que	NP	que
je	NP	Je
fais	NP	<unknown>
,	,	,
et	NP	et
je	NP	Je
lui	NP	Lui
répondrai	NNS	<unknown>
:	:	:
«	)	«
Je	NP	Je
suis	NP	<unknown>
cheffe	NP	<unknown>
d	SYM	d
'	POS	'
entreprise	NN	entreprise
,	,	,
j	NN	j
'	POS	'
ai	NN	ai
créé	NN	<unknown>
une	NN	une
marque	NN	marque
de	NP	de
vêtements	NNS	<unknown>
qui	NP	qui
durent	NN	<unknown>
longtemps	NNS	longtemp
pour	VBP	pour
ne	RB	ne
pas	NN	pas
avoir	NN	<unknown>
besoin	NN	<unknown>
d	NN	d
'	''	'
en	IN	en
racheter	NN	<unknown>
souvent	NN	<unknown>
»	(	»
j	NN	j
'	POS	'
espère	NN	<unknown>
que	NP	que
le	FW	le
mec	NP	mec
s	NN	S
'	POS	'
arrêtera	NN	<unknown>
,	,	,
me	PP	me
regardera	NNS	<unknown>
dans	NNS	dan
les	FW	les
yeux	NP	<unknown>
et	FW	et
me	FW	me
dira	NN	<unknown>
:	:	:
«	)	«
Ça	NP	Ça
ne	RB	ne
marchera	NN	<unknown>
jamais	NNS	<unknown>
,	,	,
tout	VB	tout
le	DT	le
monde	JJ	<unknown>
fait	NN	fait
déjà	NN	<unknown>
ça	NP	ça
.	SENT	.
»	(	»
Merci	NP	Merci
beaucoup	NN	<unknown>
.	SENT	.
