Adam	NP	Adam
the	DT	the
audience	NN	audience
to	TO	to
participate	VB	participate
,	,	,
of	IN	of
course	NN	course
,	,	,
by	IN	by
suggesting	VBG	suggest
a	DT	a
piece	NN	piece
Derek	NP	Derek
might	MD	might
like	VB	like
to	TO	to
play	VB	play
.	SENT	.
And	CC	and
people	NNS	people
say	VBP	say
,	,	,
"	``	"
Well	UH	well
,	,	,
that	WDT	that
'	POS	'
s	NN	S
terribly	RB	terribly
brave	JJ	brave
because	IN	because
what	WP	what
happens	VBZ	happen
if	IN	if
Derek	NP	Derek
doesn	NP	<unknown>
'	POS	'
t	NN	t
know	VB	know
it	PP	it
?	SENT	?
"	``	"
And	CC	and
I	PP	I
say	VBP	say
,	,	,
"	``	"
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
brave	JJ	brave
at	IN	at
all	DT	all
,	,	,
because	IN	because
if	IN	if
you	PP	you
ask	VBP	ask
for	IN	for
something	NN	something
that	IN	that
Derek	NP	Derek
doesn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
invited	VBD	invite
to	TO	to
come	VB	come
and	CC	and
sing	VB	sing
it	PP	it
first	JJ	first
,	,	,
and	CC	and
then	RB	then
he	PP	he
'	POS	'
ll	NNS	<unknown>
pick	VB	pick
it	PP	it
up	RP	up
.	SENT	.
"	''	"
So	RB	so
just	RB	just
be	VB	be
thoughtful	JJ	thoughtful
before	IN	before
you	PP	you
suggest	VBP	suggest
something	NN	something
too	RB	too
outlandish	JJ	outlandish
.	SENT	.
But	CC	but
seriously	RB	seriously
,	,	,
would	MD	would
anyone	NN	anyone
like	VBP	like
to	TO	to
choose	VB	choose
a	DT	a
piece	NN	piece
?	SENT	?
DP	NP	DP
:	:	:
Choose	VBP	choose
a	DT	a
piece	NN	piece
.	SENT	.
Choose	VB	choose
,	,	,
choose	VB	choose
,	,	,
would	MD	would
you	PP	you
like	VB	like
to	TO	to
choose	VB	choose
?	SENT	?
AO	NN	AO
:	:	:
Because	IN	because
it	PP	it
'	POS	'
s	NN	S
quite	RB	quite
dark	JJ	dark
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	<unknown>
just	RB	just
have	VB	have
to	TO	to
shout	VB	shout
out	RP	out
.	SENT	.
Would	MD	would
you	PP	you
like	VB	like
to	TO	to
hear	VB	hear
me	PP	me
play	VB	play
?	SENT	?
AO	NP	AO
:	:	:
Paganini	NP	Paganini
.	SENT	.
DP	NP	DP
:	:	:
"	``	"
The	DT	the
Theme	NN	theme
of	IN	of
Paganini	NP	Paganini
.	SENT	.
"	``	"
AO	NP	AO
:	:	:
Well	RB	well
done	VBN	do
.	SENT	.
Derek	NP	Derek
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
L	NP	L
.	SENT	.
A	DT	a
.	SENT	.
soon	RB	soon
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
milestone	NN	milestone
,	,	,
because	IN	because
it	PP	it
means	VBZ	mean
that	IN	that
Derek	NP	Derek
and	CC	and
I	PP	I
will	MD	will
have	VB	have
spent	VBN	spend
over	IN	over
100	CD	@card@
hours	NNS	hour
on	IN	on
long-haul	JJ	long-haul
flights	NNS	flight
together	RB	together
,	,	,
which	WDT	which
is	VBZ	be
quite	RB	quite
interesting	JJ	interesting
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
Derek	NP	Derek
?	SENT	?
DP	NP	DP
:	:	:
Very	RB	very
interesting	JJ	interesting
,	,	,
Adam	NP	Adam
,	,	,
yes	UH	yes
.	SENT	.
Long-haul	JJ	long-haul
flights	NNS	flight
.	SENT	.
Yes	UH	yes
.	SENT	.
AO	NN	AO
:	:	:
You	PP	you
may	MD	may
think	VB	think
13	CD	@card@
hours	NNS	hour
is	VBZ	be
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
keep	VB	keep
talking	VBG	talk
,	,	,
but	CC	but
Derek	NP	Derek
does	VBZ	do
it	PP	it
effortlessly	RB	effortlessly
.	SENT	.
Now	RB	now
then	RB	then
.	SENT	.
But	CC	but
in	IN	in
America	NP	America
,	,	,
they	PP	they
'	POS	'
ve	NN	ve
coined	VBD	coin
this	DT	this
term	NN	term
,	,	,
"	''	"
the	DT	the
human	JJ	human
iPod	NN	<unknown>
"	''	"
for	IN	for
Derek	NP	Derek
,	,	,
which	WDT	which
I	PP	I
think	VBP	think
is	VBZ	be
just	RB	just
missing	VBG	miss
the	DT	the
point	NN	point
,	,	,
really	RB	really
,	,	,
because	IN	because
Derek	NP	Derek
,	,	,
you	PP	you
'	POS	'
re	NN	re
so	RB	so
much	RB	much
more	JJR	more
than	IN	than
an	DT	an
iPod	NN	<unknown>
.	SENT	.
You	PP	you
'	''	'
re	IN	re
a	DT	a
fantastic	JJ	fantastic
,	,	,
creative	JJ	creative
musician	NN	musician
,	,	,
and	CC	and
I	PP	I
think	VBP	think
that	WDT	that
was	VBD	be
nowhere	RB	nowhere
clearer	JJR	clear
to	TO	to
see	VB	see
,	,	,
really	RB	really
,	,	,
than	IN	than
when	WRB	when
we	PP	we
went	VBD	go
to	TO	to
Slovenia	NP	Slovenia
,	,	,
and	CC	and
someone	NN	someone
—	:	-
in	IN	in
a	DT	a
longer	JJR	long
concert	NN	concert
we	PP	we
tend	VBP	tend
to	TO	to
get	VB	get
people	NNS	people
joining	VBG	join
in	IN	in
,	,	,
and	CC	and
this	DT	this
person	NN	person
,	,	,
very	RB	very
,	,	,
very	RB	very
nervously	RB	nervously
came	VBD	come
onto	IN	onto
the	DT	the
stage	NN	stage
.	SENT	.
DP	NP	DP
:	:	:
He	PP	he
played	VBD	play
"	``	"
Chopsticks	NNS	chopstick
.	SENT	.
"	''	"
AO	NP	AO
:	:	:
And	CC	and
played	VBD	play
"	``	"
Chopsticks	NNS	chopstick
.	SENT	.
"	''	"
DP	NP	DP
:	:	:
"	``	"
Chopsticks	NNS	chopstick
.	SENT	.
"	''	"
AO	NP	AO
:	:	:
A	DT	a
bit	NN	bit
like	IN	like
this	DT	this
.	SENT	.
DP	NP	DP
:	:	:
Like	IN	like
this	DT	this
.	SENT	.
Yes	UH	yes
.	SENT	.
AO	NN	AO
:	:	:
I	PP	I
should	MD	should
really	RB	really
get	VB	get
Derek	NP	Derek
'	POS	'
s	JJ	<unknown>
manager	NN	manager
to	TO	to
come	VB	come
and	CC	and
play	VB	play
it	PP	it
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
sitting	VBG	sit
there	RB	there
.	SENT	.
DP	NP	DP
:	:	:
Somebody	NN	somebody
played	VBN	play
"	``	"
Chopsticks	NNS	chopstick
"	''	"
like	IN	like
this	DT	this
.	SENT	.
AO	NN	AO
:	:	:
Just	RB	just
teasing	VBG	tease
,	,	,
right	RB	right
?	SENT	?
Here	RB	here
we	PP	we
go	VBP	go
.	SENT	.
DP	NNS	DP
:	:	:
Let	VB	let
Derek	NP	Derek
play	VB	play
it	PP	it
.	SENT	.
AO	NP	AO
:	:	:
What	WP	what
did	VBD	do
you	PP	you
do	VBP	do
with	IN	with
it	PP	it
,	,	,
Derek	NP	Derek
?	SENT	?
DP	NP	DP
:	:	:
I	PP	I
got	VBD	get
to	TO	to
improvise	VB	improvise
with	IN	with
it	PP	it
,	,	,
Adam	NP	Adam
.	SENT	.
AO	NP	AO
:	:	:
This	DT	this
is	VBZ	be
Derek	NP	Derek
the	DT	the
musician	NN	musician
.	SENT	.
Keep	VB	keep
up	RB	up
with	IN	with
Derek	NP	Derek
.	SENT	.
The	DT	the
TED	VBP	ted
people	NNS	people
will	MD	will
kill	VB	kill
me	PP	me
,	,	,
but	CC	but
perhaps	RB	perhaps
there	EX	there
'	''	'
s	NN	S
time	NN	time
for	IN	for
one	CD	one
encore	NN	encore
.	SENT	.
DP	NP	DP
:	:	:
For	IN	for
one	CD	one
encore	NN	encore
.	SENT	.
AO	NP	AO
:	:	:
One	CD	one
encore	NN	encore
,	,	,
yes	UH	yes
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
Derek	NP	Derek
'	POS	'
s	NN	S
heroes	NNS	hero
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
great	JJ	great
Art	NP	Art
Tatum	NP	Tatum
—	:	-
DP	NP	DP
:	:	:
Art	NP	Art
Tatum	NP	Tatum
.	SENT	.
AO	NN	AO
:	:	:
—	:	-
who	WP	who
also	RB	also
was	VBD	be
a	DT	a
pianist	NN	pianist
who	WP	who
couldn	NN	<unknown>
'	POS	'
t	NN	t
see	VBP	see
,	,	,
and	CC	and
also	RB	also
,	,	,
I	PP	I
think	VBP	think
,	,	,
like	IN	like
Derek	NP	Derek
,	,	,
thought	VBD	think
that	IN	that
all	PDT	all
the	DT	the
world	NN	world
was	VBD	be
a	DT	a
piano	NN	piano
,	,	,
so	RB	so
whenever	WRB	whenever
Art	NP	Art
Tatum	NP	Tatum
plays	VBZ	play
something	NN	something
,	,	,
it	PP	it
sounds	VBZ	sound
like	IN	like
there	EX	there
'	''	'
s	NN	S
three	CD	three
pianos	NNS	piano
in	IN	in
the	DT	the
room	NN	room
.	SENT	.
And	CC	and
here	RB	here
is	VBZ	be
Derek	NP	Derek
'	POS	'
s	NNS	<unknown>
take	VBP	take
on	IN	on
Art	NP	Art
Tatum	NP	Tatum
'	POS	'
s	NNS	<unknown>
take	VBP	take
on	IN	on
"	``	"
Tiger	NP	Tiger
Rag	NP	Rag
.	SENT	.
"	``	"
DP	NP	DP
:	:	:
"	``	"
Tiger	NP	Tiger
Rag	NP	Rag
.	SENT	.
"	``	"
