Let	NP	Let
our	PP$	our
data	NNS	datum
willingly	RB	willingly
,	,	,
we	PP	we
can	MD	can
do	VB	do
what	WP	what
'	POS	'
s	JJ	<unknown>
best	JJS	good
for	IN	for
everyone	NN	everyone
.	SENT	.
So	RB	so
let	VB	let
your	PP$	your
car	NN	car
gossip	NN	gossip
about	IN	about
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
make	VB	make
the	DT	the
roads	NNS	road
a	DT	a
lot	NN	lot
safer	JJR	safe
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
