Diana	NP	Diana
,	,	,
and	CC	and
at	IN	at
night	NN	night
,	,	,
they	PP	they
come	VBP	come
into	IN	into
this	DT	this
habitat	NN	habitat
,	,	,
into	IN	into
their	PP$	their
night	NN	night
quarters	NNS	quarter
,	,	,
where	WRB	where
they	PP	they
can	MD	can
have	VB	have
a	DT	a
climate-controlled	VBN	climate-control
and	CC	and
secure	JJ	secure
environment	NN	environment
to	TO	to
sleep	VB	sleep
in	IN	in
.	SENT	.
We	PP	we
participate	VBP	participate
in	IN	in
the	DT	the
Apps	NP	<unknown>
for	IN	for
Apes	NNS	ape
program	NN	program
Orangutan	NN	orangutan
Outreach	NN	outreach
,	,	,
and	CC	and
we	PP	we
use	VBP	use
iPads	NNS	<unknown>
to	TO	to
help	VB	help
stimulate	VB	stimulate
and	CC	and
enrich	VB	enrich
the	DT	the
animals	NNS	animal
,	,	,
and	CC	and
also	RB	also
help	VB	help
raise	VB	raise
awareness	NN	awareness
for	IN	for
these	DT	these
critically	RB	critically
endangered	VBN	endanger
animals	NNS	animal
.	SENT	.
And	CC	and
they	PP	they
share	VBP	share
97	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
DNA	NN	DNA
and	CC	and
are	VBP	be
incredibly	RB	incredibly
intelligent	JJ	intelligent
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
so	RB	so
exciting	JJ	exciting
to	TO	to
think	VB	think
of	IN	of
all	PDT	all
the	DT	the
opportunities	NNS	opportunity
that	IN	that
we	PP	we
have	VBP	have
via	IN	via
technology	NN	technology
and	CC	and
the	DT	the
Internet	NN	Internet
to	TO	to
really	RB	really
enrich	VB	enrich
their	PP$	their
lives	NNS	life
and	CC	and
open	VB	open
up	RP	up
their	PP$	their
world	NN	world
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
really	RB	really
excited	VBN	excite
about	IN	about
the	DT	the
possibility	NN	possibility
of	IN	of
an	DT	an
interspecies	NNS	interspecie
Internet	NN	Internet
,	,	,
and	CC	and
K	NP	K
.	SENT	.
J	NP	J
.	SENT	.
has	VBZ	have
been	VBN	be
enjoying	VBG	enjoy
the	DT	the
conference	NN	conference
very	RB	very
much	RB	much
.	SENT	.
NG	NNS	<unknown>
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
When	WRB	when
we	PP	we
were	VBD	be
rehearsing	VBG	rehearse
last	JJ	last
night	NN	night
,	,	,
he	PP	he
had	VBD	have
fun	NN	fun
watching	VBG	watch
the	DT	the
elephants	NNS	elephant
.	SENT	.
Next	JJ	next
user	NN	user
group	NN	group
are	VBP	be
the	DT	the
dolphins	NNS	dolphin
at	IN	at
the	DT	the
National	NP	National
Aquarium	NN	aquarium
.	SENT	.
Please	UH	please
go	VB	go
ahead	RB	ahead
.	SENT	.
Allison	NP	Allison
Ginsburg	NP	Ginsburg
:	:	:
Good	JJ	good
evening	NN	evening
.	SENT	.
Well	RB	well
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Allison	NP	Allison
Ginsburg	NP	Ginsburg
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
live	JJ	live
in	IN	in
Baltimore	NP	Baltimore
at	IN	at
the	DT	the
National	NP	National
Aquarium	NN	aquarium
.	SENT	.
Joining	VBG	join
me	PP	me
are	VBP	be
three	CD	three
of	IN	of
our	PP$	our
eight	CD	eight
Atlantic	NP	Atlantic
bottlenose	NN	<unknown>
dolphins	NNS	dolphin
:	:	:
20-year-old	JJ	20-year-old
Chesapeake	NP	Chesapeake
,	,	,
who	WP	who
was	VBD	be
our	PP$	our
first	JJ	first
dolphin	NN	dolphin
born	VBN	bear
here	RB	here
,	,	,
her	PP$	her
four-year-old	JJ	four-year-old
daughter	NN	daughter
Bayley	NP	Bayley
,	,	,
and	CC	and
her	PP$	her
half	NN	half
sister	NN	sister
,	,	,
11-year-old	JJ	11-year-old
Maya	NP	Maya
.	SENT	.
Now	RB	now
,	,	,
here	RB	here
at	IN	at
the	DT	the
National	NP	National
Aquarium	NN	aquarium
we	PP	we
are	VBP	be
committed	VBN	commit
to	TO	to
excellence	NN	excellence
in	IN	in
animal	JJ	animal
care	NN	care
,	,	,
to	TO	to
research	NN	research
,	,	,
and	CC	and
to	TO	to
conservation	NN	conservation
.	SENT	.
The	DT	the
dolphins	NNS	dolphin
are	VBP	be
pretty	RB	pretty
intrigued	VBN	intrigue
as	IN	as
to	TO	to
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
here	RB	here
tonight	RB	tonight
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
really	RB	really
used	VBN	use
to	TO	to
having	VBG	have
cameras	NNS	camera
here	RB	here
at	IN	at
8	CD	@card@
o	NN	o
'	POS	'
clock	NN	clock
at	IN	at
night	NN	night
.	SENT	.
In	IN	in
addition	NN	addition
,	,	,
we	PP	we
are	VBP	be
very	RB	very
committed	VBN	commit
to	TO	to
doing	VBG	do
different	JJ	different
types	NNS	type
of	IN	of
research	NN	research
.	SENT	.
As	IN	as
Diana	NP	Diana
mentioned	VBD	mention
,	,	,
our	PP$	our
animals	NNS	animal
are	VBP	be
involved	VBN	involve
in	IN	in
many	JJ	many
different	JJ	different
research	NN	research
studies	NNS	study
.	SENT	.
NG	NNS	<unknown>
:	:	:
Those	DT	those
are	VBP	be
for	IN	for
you	PP	you
.	SENT	.
Okay	RB	okay
,	,	,
that	IN	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
And	CC	and
the	DT	the
third	JJ	third
user	NN	user
group	NN	group
,	,	,
in	IN	in
Thailand	NP	Thailand
,	,	,
is	VBZ	be
Think	VB	think
Elephants	NNS	elephant
.	SENT	.
Go	VB	go
ahead	RB	ahead
,	,	,
Josh	NP	Josh
.	SENT	.
Josh	NP	Josh
Plotnik	NP	Plotnik
:	:	:
Hi	UH	hi
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Josh	NP	Josh
Plotnik	NP	Plotnik
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
with	IN	with
Think	NP	Think
Elephants	NNS	elephant
International	NP	International
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
here	RB	here
in	IN	in
the	DT	the
Golden	NP	Golden
Triangle	NP	Triangle
of	IN	of
Thailand	NP	Thailand
with	IN	with
the	DT	the
Golden	NP	Golden
Triangle	NP	Triangle
Asian	NP	Asian
Elephant	NN	elephant
Foundation	NP	Foundation
elephants	NNS	elephant
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
26	CD	@card@
elephants	NNS	elephant
here	RB	here
,	,	,
and	CC	and
our	PP$	our
research	NN	research
is	VBZ	be
focused	VBN	focus
on	IN	on
the	DT	the
evolution	NN	evolution
of	IN	of
intelligence	NN	intelligence
with	IN	with
elephants	NNS	elephant
,	,	,
but	CC	but
our	PP$	our
foundation	NN	foundation
Think	VB	think
Elephants	NNS	elephant
is	VBZ	be
focused	VBN	focus
on	IN	on
bringing	VBG	bring
elephants	NNS	elephant
into	IN	into
classrooms	NNS	classroom
around	IN	around
the	DT	the
world	NN	world
virtually	RB	virtually
like	IN	like
this	DT	this
and	CC	and
showing	VBG	show
people	NNS	people
how	WRB	how
incredible	JJ	incredible
these	DT	these
animals	NNS	animal
are	VBP	be
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
bring	VB	bring
the	DT	the
camera	NN	camera
right	RB	right
up	RB	up
to	TO	to
the	DT	the
elephant	NN	elephant
,	,	,
put	VBD	put
food	NN	food
into	IN	into
the	DT	the
elephant	NN	elephant
'	POS	'
s	NN	S
mouth	NN	mouth
,	,	,
show	NN	show
people	NNS	people
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
inside	IN	inside
their	PP$	their
mouths	NNS	mouth
,	,	,
and	CC	and
show	VB	show
everyone	NN	everyone
around	IN	around
the	DT	the
world	NN	world
how	WRB	how
incredible	JJ	incredible
these	DT	these
animals	NNS	animal
really	RB	really
are	VBP	be
.	SENT	.
NG	NP	Ng
:	:	:
Okay	NP	Okay
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
Thanks	NNS	thanks
Josh	NP	Josh
.	SENT	.
And	CC	and
once	RB	once
again	RB	again
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
building	VBG	build
great	JJ	great
relationships	NNS	relationship
among	IN	among
them	PP	them
just	RB	just
since	IN	since
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
rehearsing	VBG	rehearse
.	SENT	.
So	RB	so
at	IN	at
that	DT	that
point	NN	point
,	,	,
if	IN	if
we	PP	we
can	MD	can
go	VB	go
back	RB	back
to	TO	to
the	DT	the
other	JJ	other
computer	NN	computer
,	,	,
we	PP	we
were	VBD	be
starting	VBG	start
to	TO	to
think	VB	think
about	RB	about
how	WRB	how
you	PP	you
integrate	VBP	integrate
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
biomass	NN	biomass
of	IN	of
the	DT	the
planet	NN	planet
into	IN	into
the	DT	the
Internet	NN	Internet
,	,	,
and	CC	and
we	PP	we
went	VBD	go
to	TO	to
the	DT	the
best	RBS	well
possible	JJ	possible
person	NN	person
I	PP	I
can	MD	can
think	VB	think
of	IN	of
,	,	,
which	WDT	which
is	VBZ	be
Vint	NP	Vint
Cerf	NP	Cerf
,	,	,
who	WP	who
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
founders	NNS	founder
who	WP	who
gave	VBD	give
us	PP	us
the	DT	the
Internet	NN	Internet
.	SENT	.
Vint	NP	Vint
?	SENT	?
VC	NP	VC
:	:	:
Thank	VB	thank
you	PP	you
,	,	,
Neil	NP	Neil
.	SENT	.
A	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
in	IN	in
a	DT	a
galaxy	NN	galaxy
—	:	-
oops	NP	oops
,	,	,
wrong	JJ	wrong
script	NN	script
.	SENT	.
Forty	NN	forty
years	NNS	year
ago	RB	ago
,	,	,
Bob	NP	Bob
Kahn	NP	Kahn
and	CC	and
I	PP	I
did	VBD	do
the	DT	the
design	NN	design
of	IN	of
the	DT	the
Internet	NN	Internet
.	SENT	.
Thirty	CD	thirty
years	NNS	year
ago	RB	ago
,	,	,
we	PP	we
turned	VBD	turn
it	PP	it
on	RP	on
.	SENT	.
Just	RB	just
last	JJ	last
year	NN	year
,	,	,
we	PP	we
turned	VBD	turn
on	IN	on
the	DT	the
production	NN	production
Internet	NN	Internet
.	SENT	.
You	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
using	VBG	use
the	DT	the
experimental	JJ	experimental
version	NN	version
for	IN	for
the	DT	the
last	JJ	last
30	CD	@card@
years	NNS	year
.	SENT	.
The	DT	the
production	NN	production
version	NN	version
,	,	,
it	PP	it
uses	VBZ	use
IP	NP	IP
version	NN	version
6	CD	@card@
.	SENT	.
It	PP	it
has	VBZ	have
3	CD	@card@
.	SENT	.
4	CD	@card@
times	NNS	time
10	CD	@card@
to	TO	to
the	DT	the
38th	JJ	<unknown>
possible	JJ	possible
terminations	NNS	termination
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
number	NN	number
only	RB	only
that	IN	that
Congress	NP	Congress
can	MD	can
appreciate	VB	appreciate
.	SENT	.
But	CC	but
it	PP	it
leads	VBZ	lead
to	TO	to
what	WP	what
is	VBZ	be
coming	VBG	come
next	JJ	next
.	SENT	.
When	WRB	when
Bob	NP	Bob
and	CC	and
I	PP	I
did	VBD	do
this	DT	this
design	NN	design
,	,	,
we	PP	we
thought	VBD	think
we	PP	we
were	VBD	be
building	VBG	build
a	DT	a
system	NN	system
to	TO	to
connect	VB	connect
computers	NNS	computer
together	RB	together
.	SENT	.
What	WP	what
we	PP	we
very	RB	very
quickly	RB	quickly
discovered	VBN	discover
is	VBZ	be
that	IN	that
this	DT	this
was	VBD	be
a	DT	a
system	NN	system
for	IN	for
connecting	VBG	connect
people	NNS	people
together	RB	together
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
tonight	NN	tonight
tells	VBZ	tell
you	PP	you
that	IN	that
we	PP	we
should	MD	should
not	RB	not
restrict	VB	restrict
this	DT	this
network	NN	network
to	TO	to
one	CD	one
species	NNS	specie
,	,	,
that	IN	that
these	DT	these
other	JJ	other
intelligent	JJ	intelligent
,	,	,
sentient	JJ	sentient
species	NNS	specie
should	MD	should
be	VB	be
part	NN	part
of	IN	of
the	DT	the
system	NN	system
too	RB	too
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
system	NN	system
as	IN	as
it	PP	it
looks	VBZ	look
today	NN	today
,	,	,
by	IN	by
the	DT	the
way	NN	way
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
the	DT	the
Internet	NN	Internet
looks	VBZ	look
like	IN	like
to	TO	to
a	DT	a
computer	NN	computer
that	RB	that
'	POS	'
s	NNS	<unknown>
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
where	WRB	where
the	DT	the
traffic	NN	traffic
is	VBZ	be
supposed	VBN	suppose
to	TO	to
go	VB	go
.	SENT	.
This	DT	this
is	VBZ	be
generated	VBN	generate
by	IN	by
a	DT	a
program	NN	program
that	RB	that
'	POS	'
s	NNS	<unknown>
looking	VBG	look
at	IN	at
the	DT	the
connectivity	NN	connectivity
of	IN	of
the	DT	the
Internet	NN	Internet
,	,	,
and	CC	and
how	WRB	how
all	PDT	all
the	DT	the
various	JJ	various
networks	NNS	network
are	VBP	be
connected	VBN	connect
together	RB	together
.	SENT	.
There	EX	there
are	VBP	be
about	RB	about
400	CD	@card@
,	,	,
000	CD	@card@
networks	NNS	network
,	,	,
interconnected	VBN	interconnect
,	,	,
run	VBN	run
independently	RB	independently
by	IN	by
400	CD	@card@
,	,	,
000	CD	@card@
different	JJ	different
operating	VBG	operate
agencies	NNS	agency
,	,	,
and	CC	and
the	DT	the
only	JJ	only
reason	NN	reason
this	DT	this
works	NNS	work
is	VBZ	be
that	IN	that
they	PP	they
all	RB	all
use	VBP	use
the	DT	the
same	JJ	same
standard	JJ	standard
TCP	NN	TCP
/	SYM	/
IP	NP	IP
protocols	NNS	protocol
.	SENT	.
Well	RB	well
,	,	,
you	PP	you
know	VBP	know
where	WRB	where
this	DT	this
is	VBZ	be
headed	VBN	head
.	SENT	.
The	DT	the
Internet	NN	Internet
of	IN	of
Things	NNS	thing
tell	VBP	tell
us	PP	us
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
computer-enabled	JJ	<unknown>
appliances	NNS	appliance
and	CC	and
devices	NNS	device
are	VBP	be
going	VBG	go
to	TO	to
become	VB	become
part	NN	part
of	IN	of
this	DT	this
system	NN	system
too	RB	too
:	:	:
appliances	NNS	appliance
that	IN	that
you	PP	you
use	VBP	use
around	IN	around
the	DT	the
house	NN	house
,	,	,
that	WDT	that
you	PP	you
use	VBP	use
in	IN	in
your	PP$	your
office	NN	office
,	,	,
that	WDT	that
you	PP	you
carry	VBP	carry
around	RB	around
with	IN	with
yourself	PP	yourself
or	CC	or
in	IN	in
the	DT	the
car	NN	car
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
Internet	NN	Internet
of	IN	of
Things	NNS	thing
that	WDT	that
'	POS	'
s	NNS	<unknown>
coming	VBG	come
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
important	JJ	important
about	IN	about
what	WP	what
these	DT	these
people	NNS	people
are	VBP	be
doing	VBG	do
is	VBZ	be
that	IN	that
they	PP	they
'	POS	'
re	NN	re
beginning	NN	beginning
to	TO	to
learn	VB	learn
how	WRB	how
to	TO	to
communicate	VB	communicate
with	IN	with
species	NNS	specie
that	WDT	that
are	VBP	be
not	RB	not
us	PP	us
but	CC	but
share	VB	share
a	DT	a
common	JJ	common
sensory	JJ	sensory
environment	NN	environment
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
beginning	NN	beginning
to	TO	to
explore	VB	explore
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
communicate	VB	communicate
with	IN	with
something	NN	something
that	IN	that
isn	NP	isn
'	POS	'
t	NN	t
just	RB	just
another	DT	another
person	NN	person
.	SENT	.
Well	RB	well
,	,	,
you	PP	you
can	MD	can
see	VB	see
what	WP	what
'	POS	'
s	NN	S
coming	VBG	come
next	JJ	next
.	SENT	.
All	DT	all
kinds	NNS	kind
of	IN	of
possible	JJ	possible
sentient	JJ	sentient
beings	NNS	being
may	MD	may
be	VB	be
interconnected	VBN	interconnect
through	IN	through
this	DT	this
system	NN	system
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
wait	VB	wait
to	TO	to
see	VB	see
these	DT	these
experiments	NNS	experiment
unfold	VBP	unfold
.	SENT	.
What	WP	what
happens	VBZ	happen
after	IN	after
that	DT	that
?	SENT	?
Well	RB	well
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
see	VBP	see
.	SENT	.
There	EX	there
are	VBP	be
machines	NNS	machine
that	WDT	that
need	VBP	need
to	TO	to
talk	VB	talk
to	TO	to
machines	NNS	machine
and	CC	and
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
talk	VB	talk
to	TO	to
,	,	,
and	CC	and
so	RB	so
as	IN	as
time	NN	time
goes	VBZ	go
on	IN	on
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
learn	VB	learn
how	WRB	how
to	TO	to
communicate	VB	communicate
with	IN	with
computers	NNS	computer
and	CC	and
how	WRB	how
to	TO	to
get	VB	get
computers	NNS	computer
to	TO	to
communicate	VB	communicate
with	IN	with
us	PP	us
in	IN	in
the	DT	the
way	NN	way
that	IN	that
we	PP	we
'	POS	'
re	NN	re
accustomed	VBN	accustom
to	TO	to
,	,	,
not	RB	not
with	IN	with
keyboards	NNS	keyboard
,	,	,
not	RB	not
with	IN	with
mice	NNS	mouse
,	,	,
but	CC	but
with	IN	with
speech	NN	speech
and	CC	and
gestures	NNS	gesture
and	CC	and
all	PDT	all
the	DT	the
natural	JJ	natural
human	JJ	human
language	NN	language
that	IN	that
we	PP	we
'	POS	'
re	NN	re
accustomed	VBD	accustom
to	TO	to
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
need	VBP	need
something	NN	something
like	IN	like
C3PO	NP	<unknown>
to	TO	to
become	VB	become
a	DT	a
translator	NN	translator
between	IN	between
ourselves	PP	ourselves
and	CC	and
some	DT	some
of	IN	of
the	DT	the
other	JJ	other
machines	NNS	machine
we	PP	we
live	VBP	live
with	IN	with
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
project	NN	project
that	RB	that
'	POS	'
s	NNS	<unknown>
underway	JJ	underway
called	VBD	call
the	DT	the
interplanetary	JJ	interplanetary
Internet	NN	Internet
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
in	IN	in
operation	NN	operation
between	IN	between
Earth	NP	Earth
and	CC	and
Mars	NP	Mars
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
operating	VBG	operate
on	IN	on
the	DT	the
International	NP	International
Space	NP	Space
Station	NP	Station
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
the	DT	the
spacecraft	NN	spacecraft
that	RB	that
'	POS	'
s	NN	S
in	IN	in
orbit	NN	orbit
around	IN	around
the	DT	the
Sun	NP	Sun
that	WDT	that
'	POS	'
s	NN	S
rendezvoused	VBD	rendezvous
with	IN	with
two	CD	two
planets	NNS	planet
.	SENT	.
So	IN	so
the	DT	the
interplanetary	JJ	interplanetary
system	NN	system
is	VBZ	be
on	IN	on
its	PP$	its
way	NN	way
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
last	JJ	last
project	NN	project
,	,	,
which	WDT	which
the	DT	the
Defense	NP	Defense
Advanced	NP	Advanced
Research	NP	Research
Projects	NPS	Projects
Agency	NP	Agency
,	,	,
which	WDT	which
funded	VBD	fund
the	DT	the
original	JJ	original
ARPANET	NP	Arpanet
,	,	,
funded	VBD	fund
the	DT	the
Internet	NN	Internet
,	,	,
funded	VBD	fund
the	DT	the
interplanetary	JJ	interplanetary
architecture	NN	architecture
,	,	,
is	VBZ	be
now	RB	now
funding	VBG	fund
a	DT	a
project	NN	project
to	TO	to
design	VB	design
a	DT	a
spacecraft	NN	spacecraft
to	TO	to
get	VB	get
to	TO	to
the	DT	the
nearest	JJS	near
star	NN	star
in	IN	in
100	CD	@card@
years	NNS	year
'	POS	'
time	NN	time
.	SENT	.
What	WP	what
that	WDT	that
means	VBZ	mean
is	VBZ	be
that	IN	that
what	WP	what
we	PP	we
'	POS	'
re	NN	re
learning	VBG	learn
with	IN	with
these	DT	these
interactions	NNS	interaction
with	IN	with
other	JJ	other
species	NNS	specie
will	MD	will
teach	VB	teach
us	PP	us
,	,	,
ultimately	RB	ultimately
,	,	,
how	WRB	how
we	PP	we
might	MD	might
interact	VB	interact
with	IN	with
an	DT	an
alien	NN	alien
from	IN	from
another	DT	another
world	NN	world
.	SENT	.
I	PP	I
can	MD	can
hardly	RB	hardly
wait	VB	wait
.	SENT	.
June	NP	June
Cohen	NP	Cohen
:	:	:
So	RB	so
first	JJ	first
of	IN	of
all	DT	all
,	,	,
thank	VB	thank
you	PP	you
,	,	,
and	CC	and
I	PP	I
would	MD	would
like	VB	like
to	TO	to
acknowledge	VB	acknowledge
that	DT	that
four	CD	four
people	NNS	people
who	WP	who
could	MD	could
talk	VB	talk
to	TO	to
us	PP	us
for	IN	for
full	JJ	full
four	CD	four
days	NNS	day
actually	RB	actually
managed	VBD	manage
to	TO	to
stay	VB	stay
to	TO	to
four	CD	four
minutes	NNS	minute
each	DT	each
,	,	,
and	CC	and
we	PP	we
thank	VBP	thank
you	PP	you
for	IN	for
that	DT	that
.	SENT	.
I	PP	I
have	VBP	have
so	RB	so
many	JJ	many
questions	NNS	question
,	,	,
but	CC	but
maybe	RB	maybe
a	DT	a
few	JJ	few
practical	JJ	practical
things	NNS	thing
that	IN	that
the	DT	the
audience	NN	audience
might	MD	might
want	VB	want
to	TO	to
know	VB	know
.	SENT	.
You	PP	you
'	''	'
re	IN	re
launching	VBG	launch
this	DT	this
idea	NN	idea
here	RB	here
at	IN	at
TED	VB	ted
—	:	-
PG	NP	PG
:	:	:
Today	NN	today
.	SENT	.
JC	NP	JC
:	:	:
Today	NN	today
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
it	PP	it
.	SENT	.
Tell	VB	tell
me	PP	me
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
take	VB	take
the	DT	the
idea	NN	idea
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
next	JJ	next
?	SENT	?
PG	NP	PG
:	:	:
I	PP	I
think	VBP	think
we	PP	we
want	VBP	want
to	TO	to
engage	VB	engage
as	IN	as
many	JJ	many
people	NNS	people
here	RB	here
as	RB	as
possible	JJ	possible
in	IN	in
helping	VBG	help
us	PP	us
think	VBP	think
of	IN	of
smart	JJ	smart
interfaces	NNS	interface
that	WDT	that
will	MD	will
make	VB	make
all	PDT	all
this	DT	this
possible	JJ	possible
.	SENT	.
NG	NNS	<unknown>
:	:	:
And	CC	and
just	RB	just
mechanically	RB	mechanically
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
501	CD	@card@
and	CC	and
web	NN	web
infrastructure	NN	infrastructure
and	CC	and
all	DT	all
of	IN	of
that	DT	that
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
quite	RB	quite
ready	JJ	ready
to	TO	to
turn	VB	turn
on	IN	on
,	,	,
so	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
roll	VBP	roll
that	IN	that
out	RB	out
,	,	,
and	CC	and
contact	VB	contact
us	PP	us
if	IN	if
you	PP	you
want	VBP	want
the	DT	the
information	NN	information
on	IN	on
it	PP	it
.	SENT	.
The	DT	the
idea	NN	idea
is	VBZ	be
this	DT	this
will	MD	will
be	VB	be
—	:	-
much	RB	much
like	IN	like
the	DT	the
Internet	NN	Internet
functions	NNS	function
as	IN	as
a	DT	a
network	NN	network
of	IN	of
networks	NNS	network
,	,	,
which	WDT	which
is	VBZ	be
Vint	NP	Vint
'	POS	'
s	JJ	<unknown>
core	NN	core
contribution	NN	contribution
,	,	,
this	DT	this
will	MD	will
be	VB	be
a	DT	a
wrapper	NN	wrapper
around	IN	around
all	DT	all
of	IN	of
these	DT	these
initiatives	NNS	initiative
,	,	,
that	WDT	that
are	VBP	be
wonderful	JJ	wonderful
individually	RB	individually
,	,	,
to	TO	to
link	VB	link
them	PP	them
globally	RB	globally
.	SENT	.
JC	NP	JC
:	:	:
Right	RB	right
,	,	,
and	CC	and
do	VBP	do
you	PP	you
have	VBP	have
a	DT	a
web	NN	web
address	NN	address
that	IN	that
we	PP	we
might	MD	might
look	VB	look
for	IN	for
yet	RB	yet
?	SENT	?
NG	NNS	<unknown>
:	:	:
Shortly	RB	shortly
.	SENT	.
JC	NP	JC
:	:	:
Shortly	RB	shortly
.	SENT	.
We	PP	we
will	MD	will
come	VB	come
back	RB	back
to	TO	to
you	PP	you
on	IN	on
that	DT	that
.	SENT	.
And	CC	and
very	RB	very
quickly	RB	quickly
,	,	,
just	RB	just
to	TO	to
clarify	VB	clarify
.	SENT	.
Some	DT	some
people	NNS	people
might	MD	might
have	VB	have
looked	VBN	look
at	IN	at
the	DT	the
video	NN	video
that	IN	that
you	PP	you
showed	VBD	show
and	CC	and
thought	VBD	think
,	,	,
well	RB	well
,	,	,
that	IN	that
'	POS	'
s	NN	S
just	RB	just
a	DT	a
webcam	NN	<unknown>
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
special	JJ	special
about	IN	about
it	PP	it
?	SENT	?
If	IN	if
you	PP	you
could	MD	could
talk	VB	talk
for	IN	for
just	RB	just
a	DT	a
moment	NN	moment
about	IN	about
how	WRB	how
you	PP	you
want	VBP	want
to	TO	to
go	VB	go
past	IN	past
that	DT	that
?	SENT	?
NG	NNS	<unknown>
:	:	:
So	RB	so
this	DT	this
is	VBZ	be
scalable	JJ	scalable
video	NN	video
infrastructure	NN	infrastructure
,	,	,
not	RB	not
for	IN	for
a	DT	a
few	JJ	few
to	TO	to
a	DT	a
few	JJ	few
but	CC	but
many	JJ	many
to	TO	to
many	JJ	many
,	,	,
so	RB	so
that	IN	that
it	PP	it
scales	VBZ	scale
to	TO	to
symmetrical	JJ	symmetrical
video	NN	video
sharing	NN	sharing
and	CC	and
content	JJ	content
sharing	NN	sharing
across	IN	across
these	DT	these
sites	NNS	site
around	IN	around
the	DT	the
planet	NN	planet
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
back-end	JJ	back-end
signal	NN	signal
processing	NN	processing
,	,	,
not	RB	not
for	IN	for
one	CD	one
to	TO	to
many	JJ	many
,	,	,
but	CC	but
for	IN	for
many	JJ	many
to	TO	to
many	JJ	many
.	SENT	.
JC	NP	JC
:	:	:
Right	RB	right
,	,	,
and	CC	and
then	RB	then
on	IN	on
a	DT	a
practical	JJ	practical
level	NN	level
,	,	,
which	WDT	which
technologies	NNS	technology
are	VBP	be
you	PP	you
