Martin	NP	Martin
,	,	,
don	NN	don
'	POS	'
t	NN	t
they	PP	they
.	SENT	.
They	PP	they
have	VBP	have
the	DT	the
social	JJ	social
connectedness	NN	connectedness
.	SENT	.
The	DT	the
challenge	NN	challenge
is	VBZ	be
,	,	,
that	IN	that
possibly	RB	possibly
—	:	-
and	CC	and
the	DT	the
thing	NN	thing
we	PP	we
might	MD	might
have	VB	have
to	TO	to
think	VB	think
about	RB	about
—	:	-
is	VBZ	be
that	IN	that
the	DT	the
future	NN	future
might	MD	might
not	RB	not
be	VB	be
North	NP	North
American	NP	American
,	,	,
might	MD	might
not	RB	not
be	VB	be
Western	NP	Western
European	NP	European
.	SENT	.
It	PP	it
might	MD	might
be	VB	be
Latin	NP	Latin
American	NP	American
.	SENT	.
And	CC	and
the	DT	the
challenge	NN	challenge
,	,	,
really	RB	really
,	,	,
is	VBZ	be
to	TO	to
pull	VB	pull
the	DT	the
global	JJ	global
average	NN	average
up	RB	up
here	RB	here
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
that	IN	that
,	,	,
we	PP	we
need	VBP	need
to	TO	to
pull	VB	pull
countries	NNS	country
from	IN	from
the	DT	the
bottom	NN	bottom
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
pull	VB	pull
countries	NNS	country
from	IN	from
the	DT	the
right	NN	right
of	IN	of
the	DT	the
graph	NN	graph
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
create	VB	create
a	DT	a
happy	JJ	happy
planet	NN	planet
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
one	CD	one
way	NN	way
of	IN	of
looking	VBG	look
at	IN	at
it	PP	it
.	SENT	.
Another	DT	another
way	NN	way
of	IN	of
looking	VBG	look
at	IN	at
it	PP	it
is	VBZ	be
looking	VBG	look
at	IN	at
time	NN	time
trends	NNS	trend
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
good	JJ	good
data	NNS	datum
going	VBG	go
back	RB	back
for	IN	for
every	DT	every
country	NN	country
in	IN	in
the	DT	the
world	NN	world
,	,	,
but	CC	but
for	IN	for
some	DT	some
of	IN	of
the	DT	the
richest	JJS	rich
countries	NNS	country
,	,	,
the	DT	the
OECD	NP	OECD
group	NN	group
,	,	,
we	PP	we
do	VBP	do
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
trend	NN	trend
in	IN	in
well-being	NN	well-being
over	IN	over
that	DT	that
time	NN	time
,	,	,
a	DT	a
small	JJ	small
increase	NN	increase
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
trend	NN	trend
in	IN	in
ecological	JJ	ecological
footprint	NN	footprint
.	SENT	.
And	CC	and
so	RB	so
in	IN	in
strict	JJ	strict
happy-planet	NN	happy-planet
methodology	NN	methodology
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
become	VBP	become
less	RBR	less
efficient	JJ	efficient
at	IN	at
turning	VBG	turn
our	PP$	our
ultimate	JJ	ultimate
scarce	JJ	scarce
resource	NN	resource
into	IN	into
the	DT	the
outcome	NN	outcome
we	PP	we
want	VBP	want
to	TO	to
.	SENT	.
And	CC	and
the	DT	the
point	NN	point
really	RB	really
is	VBZ	be
,	,	,
is	VBZ	be
that	IN	that
I	PP	I
think	VBP	think
,	,	,
probably	RB	probably
everybody	NN	everybody
in	IN	in
this	DT	this
room	NN	room
would	MD	would
like	VB	like
society	NN	society
to	TO	to
get	VB	get
to	TO	to
2050	CD	@card@
without	IN	without
an	DT	an
apocalyptic	JJ	apocalyptic
something	NN	something
happening	NN	happening
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
not	RB	not
very	RB	very
long	RB	long
away	RB	away
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
half	PDT	half
a	DT	a
human	JJ	human
lifetime	NN	lifetime
away	RB	away
.	SENT	.
A	DT	a
child	NN	child
entering	VBG	enter
school	NN	school
today	NN	today
will	MD	will
be	VB	be
my	PP$	my
age	NN	age
in	IN	in
2050	CD	@card@
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
the	DT	the
very	RB	very
distant	JJ	distant
future	NN	future
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
the	DT	the
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
government	NN	government
target	NN	target
on	IN	on
carbon	NN	carbon
and	CC	and
greenhouse	NN	greenhouse
emissions	NNS	emission
looks	VBZ	look
like	IN	like
.	SENT	.
And	CC	and
I	PP	I
put	VBP	put
it	PP	it
to	TO	to
you	PP	you
,	,	,
that	WDT	that
is	VBZ	be
not	RB	not
business	NN	business
as	IN	as
usual	JJ	usual
.	SENT	.
That	DT	that
is	VBZ	be
changing	VBG	change
our	PP$	our
business	NN	business
.	SENT	.
That	DT	that
is	VBZ	be
changing	VBG	change
the	DT	the
way	NN	way
we	PP	we
create	VBP	create
our	PP$	our
organizations	NNS	organization
,	,	,
we	PP	we
do	VBP	do
our	PP$	our
government	NN	government
policy	NN	policy
and	CC	and
we	PP	we
live	VBP	live
our	PP$	our
lives	NNS	life
.	SENT	.
And	CC	and
the	DT	the
point	NN	point
is	VBZ	be
,	,	,
we	PP	we
need	VBP	need
to	TO	to
carry	VB	carry
on	IN	on
increasing	VBG	increase
well-being	NN	well-being
.	SENT	.
No	DT	no
one	CD	one
can	MD	can
go	VB	go
to	TO	to
the	DT	the
polls	NNS	poll
and	CC	and
say	VBP	say
that	DT	that
quality	NN	quality
of	IN	of
life	NN	life
is	VBZ	be
going	VBG	go
to	TO	to
reduce	VB	reduce
.	SENT	.
None	NN	none
of	IN	of
us	PP	us
,	,	,
I	PP	I
think	VBP	think
,	,	,
want	VBP	want
human	JJ	human
progress	NN	progress
to	TO	to
stop	VB	stop
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
want	VBP	want
it	PP	it
to	TO	to
carry	VB	carry
on	RP	on
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
want	VBP	want
the	DT	the
lot	NN	lot
of	IN	of
humanity	NN	humanity
to	TO	to
keep	VB	keep
on	IN	on
increasing	VBG	increase
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
where	WRB	where
climate	NN	climate
change	NN	change
skeptics	NNS	skeptic
and	CC	and
deniers	NNS	denier
come	VBP	come
in	IN	in
.	SENT	.
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
what	WP	what
they	PP	they
want	VBP	want
.	SENT	.
They	PP	they
want	VBP	want
quality	NN	quality
of	IN	of
life	NN	life
to	TO	to
keep	VB	keep
increasing	VBG	increase
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
hold	VB	hold
on	IN	on
to	TO	to
what	WP	what
they	PP	they
'	POS	'
ve	NN	ve
got	VBD	get
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
engage	VB	engage
them	PP	them
,	,	,
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
that	DT	that
means	NNS	mean
we	PP	we
have	VBP	have
to	TO	to
really	RB	really
increase	VB	increase
efficiency	NN	efficiency
even	RB	even
more	RBR	more
.	SENT	.
Now	RB	now
that	RB	that
'	''	'
s	VBG	<unknown>
all	DT	all
very	RB	very
easy	JJ	easy
to	TO	to
draw	VB	draw
graphs	NNS	graph
and	CC	and
things	NNS	thing
like	VBP	like
that	IN	that
,	,	,
but	CC	but
the	DT	the
point	NN	point
is	VBZ	be
we	PP	we
need	VBP	need
to	TO	to
turn	VB	turn
those	DT	those
curves	NNS	curve
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
take	VB	take
a	DT	a
leaf	NN	leaf
out	RP	out
of	IN	of
systems	NNS	system
theory	NN	theory
,	,	,
systems	NNS	system
engineers	NNS	engineer
,	,	,
where	WRB	where
they	PP	they
create	VBP	create
feedback	NN	feedback
loops	NNS	loop
,	,	,
put	VBD	put
the	DT	the
right	JJ	right
information	NN	information
at	IN	at
the	DT	the
right	JJ	right
point	NN	point
of	IN	of
time	NN	time
.	SENT	.
Human	JJ	human
beings	NNS	being
are	VBP	be
very	RB	very
motivated	VBN	motivate
by	IN	by
the	DT	the
"	``	"
now	RB	now
.	SENT	.
"	``	"
You	PP	you
put	VBP	put
a	DT	a
smart	JJ	smart
meter	NN	meter
in	IN	in
your	PP$	your
home	NN	home
,	,	,
and	CC	and
you	PP	you
see	VBP	see
how	WRB	how
much	JJ	much
electricity	NN	electricity
you	PP	you
'	POS	'
re	NN	re
using	VBG	use
right	RB	right
now	RB	now
,	,	,
how	WRB	how
much	JJ	much
it	PP	it
'	''	'
s	NN	S
costing	VBG	cost
you	PP	you
,	,	,
your	PP$	your
kids	NNS	kid
go	VB	go
around	RP	around
and	CC	and
turn	VB	turn
the	DT	the
lights	NNS	light
off	RP	off
pretty	RB	pretty
quickly	RB	quickly
.	SENT	.
What	WP	what
would	MD	would
that	RB	that
look	VB	look
like	IN	like
for	IN	for
society	NN	society
?	SENT	?
Why	WRB	why
is	VBZ	be
it	PP	it
,	,	,
on	IN	on
the	DT	the
radio	NN	radio
news	NN	news
every	DT	every
evening	NN	evening
,	,	,
I	PP	I
hear	VBP	hear
the	DT	the
FTSE	NP	FTSE
100	CD	@card@
,	,	,
the	DT	the
Dow	NP	Dow
Jones	NP	Jones
,	,	,
the	DT	the
dollar	NN	dollar
pound	NN	pound
ratio	NN	ratio
—	:	-
I	PP	I
don	VBP	don
'	''	'
t	NN	t
even	RB	even
know	VB	know
which	WDT	which
way	NN	way
the	DT	the
dollar	NN	dollar
pound	NN	pound
ratio	NN	ratio
should	MD	should
go	VB	go
to	TO	to
be	VB	be
good	JJ	good
news	NN	news
.	SENT	.
And	CC	and
why	WRB	why
do	VBP	do
I	PP	I
hear	VBP	hear
that	RB	that
?	SENT	?
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
I	PP	I
hear	VBP	hear
how	WRB	how
much	JJ	much
energy	NN	energy
Britain	NP	Britain
used	VBN	use
yesterday	NN	yesterday
,	,	,
or	CC	or
American	JJ	American
used	JJ	used
yesterday	NN	yesterday
?	SENT	?
Did	VBD	do
we	PP	we
meet	VB	meet
our	PP$	our
three	CD	three
percent	NN	percent
annual	JJ	annual
target	NN	target
on	IN	on
reducing	VBG	reduce
carbon	NN	carbon
emissions	NNS	emission
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
you	PP	you
create	VBP	create
a	DT	a
collective	JJ	collective
goal	NN	goal
.	SENT	.
You	PP	you
put	VBD	put
it	PP	it
out	RP	out
there	RB	there
into	IN	into
the	DT	the
media	NNS	medium
and	CC	and
start	VB	start
thinking	VBG	think
about	IN	about
it	PP	it
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
positive	JJ	positive
feedback	NN	feedback
loops	NNS	loop
for	IN	for
increasing	VBG	increase
well-	NN	<unknown>
being	VBG	be
At	IN	at
a	DT	a
government	NN	government
level	NN	level
,	,	,
they	PP	they
might	MD	might
create	VB	create
national	JJ	national
accounts	NNS	account
of	IN	of
well-being	NN	well-being
.	SENT	.
At	IN	at
a	DT	a
business	NN	business
level	NN	level
,	,	,
you	PP	you
might	MD	might
look	VB	look
at	IN	at
the	DT	the
well-being	NN	well-being
of	IN	of
your	PP$	your
employees	NNS	employee
,	,	,
which	WDT	which
we	PP	we
know	VBP	know
is	VBZ	be
really	RB	really
linked	VBN	link
to	TO	to
creativity	NN	creativity
,	,	,
which	WDT	which
is	VBZ	be
linked	VBN	link
to	TO	to
innovation	NN	innovation
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
a	DT	a
lot	NN	lot
of	IN	of
innovation	NN	innovation
to	TO	to
deal	VB	deal
with	IN	with
those	DT	those
environmental	JJ	environmental
issues	NNS	issue
.	SENT	.
At	IN	at
a	DT	a
personal	JJ	personal
level	NN	level
,	,	,
we	PP	we
need	VBP	need
these	DT	these
nudges	VBZ	nudge
too	RB	too
.	SENT	.
Maybe	RB	maybe
we	PP	we
don	VB	don
'	''	'
t	NN	t
quite	RB	quite
need	VBP	need
the	DT	the
data	NNS	datum
,	,	,
but	CC	but
we	PP	we
need	VBP	need
reminders	NNS	reminder
.	SENT	.
In	IN	in
the	DT	the
U	NP	U
.	SENT	.
K	NN	K
.	SENT	.
,	,	,
we	PP	we
have	VBP	have
a	DT	a
strong	JJ	strong
public	JJ	public
health	NN	health
message	NN	message
on	IN	on
five	CD	five
fruit	NN	fruit
and	CC	and
vegetables	NNS	vegetable
a	DT	a
day	NN	day
and	CC	and
how	WRB	how
much	RB	much
exercise	VB	exercise
we	PP	we
should	MD	should
do	VB	do
—	:	-
never	RB	never
my	PP$	my
best	JJS	good
thing	NN	thing
.	SENT	.
What	WP	what
are	VBP	be
these	DT	these
for	IN	for
happiness	NN	happiness
?	SENT	?
What	WP	what
are	VBP	be
the	DT	the
five	CD	five
things	NNS	thing
that	IN	that
you	PP	you
should	MD	should
do	VB	do
every	DT	every
day	NN	day
to	TO	to
be	VB	be
happier	JJR	happy
?	SENT	?
We	PP	we
did	VBD	do
a	DT	a
project	NN	project
for	IN	for
the	DT	the
Government	NP	Government
Office	NP	Office
of	IN	of
Science	NP	Science
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
,	,	,
a	DT	a
big	JJ	big
program	NN	program
called	VBD	call
the	DT	the
Foresight	NN	foresight
program	NN	program
—	:	-
lots	NNS	lot
and	CC	and
lots	NNS	lot
of	IN	of
people	NNS	people
—	:	-
involved	VBN	involve
lots	NNS	lot
of	IN	of
experts	NNS	expert
—	:	-
everything	NN	everything
evidence	NN	evidence
based	VBN	base
—	:	-
a	DT	a
huge	JJ	huge
tome	NN	tome
.	SENT	.
But	CC	but
a	DT	a
piece	NN	piece
of	IN	of
work	NN	work
we	PP	we
did	VBD	do
was	VBD	be
on	IN	on
:	:	:
what	WP	what
five	CD	five
positive	JJ	positive
actions	NNS	action
can	MD	can
you	PP	you
do	VB	do
to	TO	to
improve	VB	improve
well-being	NN	well-being
in	IN	in
your	PP$	your
life	NN	life
?	SENT	?
And	CC	and
the	DT	the
point	NN	point
of	IN	of
these	DT	these
is	VBZ	be
they	PP	they
are	VBP	be
,	,	,
not	RB	not
quite	RB	quite
,	,	,
the	DT	the
secrets	NNS	secret
of	IN	of
happiness	NN	happiness
,	,	,
but	CC	but
they	PP	they
are	VBP	be
things	NNS	thing
that	IN	that
I	PP	I
think	VBP	think
happiness	NN	happiness
will	MD	will
flow	VB	flow
out	RP	out
the	DT	the
side	NN	side
from	IN	from
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
of	IN	of
these	DT	these
is	VBZ	be
to	TO	to
connect	VB	connect
,	,	,
is	VBZ	be
that	IN	that
your	PP$	your
social	JJ	social
relationships	NNS	relationship
are	VBP	be
the	DT	the
most	RBS	most
important	JJ	important
cornerstones	NNS	cornerstone
of	IN	of
your	PP$	your
life	NN	life
.	SENT	.
Do	VB	do
you	PP	you
invest	VB	invest
the	DT	the
time	NN	time
with	IN	with
your	PP$	your
loved	VBN	love
ones	NNS	one
that	IN	that
you	PP	you
could	MD	could
do	VB	do
,	,	,
and	CC	and
energy	NN	energy
?	SENT	?
Keep	VB	keep
building	VBG	build
them	PP	them
.	SENT	.
The	DT	the
second	JJ	second
one	CD	one
is	VBZ	be
be	VB	be
active	JJ	active
.	SENT	.
The	DT	the
fastest	JJS	fast
way	NN	way
out	RB	out
of	IN	of
a	DT	a
bad	JJ	bad
mood	NN	mood
:	:	:
step	NN	step
outside	NN	outside
,	,	,
go	VBP	go
for	IN	for
a	DT	a
walk	NN	walk
,	,	,
turn	VB	turn
the	DT	the
radio	NN	radio
on	IN	on
and	CC	and
dance	NN	dance
.	SENT	.
Being	VBG	be
active	JJ	active
is	VBZ	be
great	JJ	great
for	IN	for
our	PP$	our
positive	JJ	positive
mood	NN	mood
.	SENT	.
The	DT	the
third	JJ	third
one	CD	one
is	VBZ	be
take	VB	take
notice	NN	notice
.	SENT	.
How	WRB	how
aware	JJ	aware
are	VBP	be
you	PP	you
of	IN	of
things	NNS	thing
going	VBG	go
on	IN	on
around	IN	around
the	DT	the
world	NN	world
,	,	,
the	DT	the
seasons	NNS	season
changing	VBG	change
,	,	,
people	NNS	people
around	IN	around
you	PP	you
?	SENT	?
Do	VB	do
you	PP	you
notice	VB	notice
what	WP	what
'	POS	'
s	NNS	<unknown>
bubbling	VBG	bubble
up	RP	up
for	IN	for
you	PP	you
and	CC	and
trying	VBG	try
to	TO	to
emerge	VB	emerge
?	SENT	?
Based	VBN	base
on	IN	on
a	DT	a
lot	NN	lot
of	IN	of
evidence	NN	evidence
for	IN	for
mindfulness	NN	mindfulness
,	,	,
cognitive	JJ	cognitive
behavioral	JJ	behavioral
therapy	NN	therapy
,	,	,
[	SYM	[
very	RB	very
]	SYM	]
strong	JJ	strong
for	IN	for
our	PP$	our
well	RB	well
being	JJ	being
.	SENT	.
The	DT	the
fourth	JJ	fourth
is	VBZ	be
keep	VB	keep
learning	VBG	learn
and	CC	and
keep	NN	keep
is	VBZ	be
important	JJ	important
—	:	-
learning	VBG	learn
throughout	IN	throughout
the	DT	the
whole	JJ	whole
life	NN	life
course	NN	course
.	SENT	.
Older	JJR	old
people	NNS	people
who	WP	who
keep	VBP	keep
learning	NN	learning
and	CC	and
are	VBP	be
curious	JJ	curious
,	,	,
they	PP	they
have	VBP	have
much	RB	much
better	JJR	good
health	NN	health
outcomes	NNS	outcome
than	IN	than
those	DT	those
who	WP	who
start	VBP	start
to	TO	to
close	VB	close
down	RP	down
.	SENT	.
But	CC	but
it	PP	it
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
formal	JJ	formal
learning	NN	learning
;	:	;
it	PP	it
'	POS	'
s	NN	S
not	RB	not
knowledge	NN	knowledge
based	VBN	base
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
more	JJR	more
curiosity	NN	curiosity
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
learning	VBG	learn
to	TO	to
cook	VB	cook
a	DT	a
new	JJ	new
dish	NN	dish
,	,	,
picking	VBG	pick
up	RP	up
an	DT	an
instrument	NN	instrument
you	PP	you
forgot	VBD	forget
as	IN	as
a	DT	a
child	NN	child
.	SENT	.
Keep	VB	keep
learning	VBG	learn
.	SENT	.
And	CC	and
the	DT	the
final	JJ	final
one	CD	one
is	VBZ	be
that	DT	that
most	RBS	most
anti-economic	JJ	anti-economic
of	IN	of
activities	NNS	activity
,	,	,
but	CC	but
give	VB	give
.	SENT	.
Our	PP$	our
generosity	NN	generosity
,	,	,
our	PP$	our
altruism	NN	altruism
,	,	,
our	PP$	our
compassion	NN	compassion
,	,	,
are	VBP	be
all	RB	all
hardwired	JJ	<unknown>
to	TO	to
the	DT	the
reward	NN	reward
mechanism	NN	mechanism
in	IN	in
our	PP$	our
brain	NN	brain
.	SENT	.
We	PP	we
feel	VBP	feel
good	JJ	good
if	IN	if
we	PP	we
give	VBP	give
.	SENT	.
You	PP	you
can	MD	can
do	VB	do
an	DT	an
experiment	NN	experiment
where	WRB	where
you	PP	you
give	VBP	give
two	CD	two
groups	NNS	group
of	IN	of
people	NNS	people
a	DT	a
hundred	CD	hundred
dollars	NNS	dollar
in	IN	in
the	DT	the
morning	NN	morning
.	SENT	.
You	PP	you
tell	VBP	tell
one	PP	one
of	IN	of
them	PP	them
to	TO	to
spend	VB	spend
it	PP	it
on	IN	on
themselves	PP	themselves
and	CC	and
one	CD	one
on	IN	on
other	JJ	other
people	NNS	people
.	SENT	.
You	PP	you
measure	VB	measure
their	PP$	their
happiness	NN	happiness
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
those	DT	those
that	WDT	that
have	VBP	have
gone	VBN	go
and	CC	and
spent	VBN	spend
on	IN	on
other	JJ	other
people	NNS	people
are	VBP	be
much	RB	much
happier	JJR	happy
that	IN	that
those	DT	those
that	WDT	that
spent	VBD	spend
it	PP	it
on	IN	on
themselves	PP	themselves
.	SENT	.
And	CC	and
these	DT	these
five	CD	five
ways	NNS	way
,	,	,
which	WDT	which
we	PP	we
put	VBD	put
onto	IN	onto
these	DT	these
handy	JJ	handy
postcards	NNS	postcard
,	,	,
I	PP	I
would	MD	would
say	VB	say
,	,	,
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
cost	VB	cost
the	DT	the
earth	NN	earth
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
carbon	NN	carbon
content	NN	content
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
a	DT	a
lot	NN	lot
of	IN	of
material	NN	material
goods	NNS	good
to	TO	to
be	VB	be
satisfied	VBN	satisfy
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
really	RB	really
quite	RB	quite
feasible	JJ	feasible
that	IN	that
happiness	NN	happiness
does	VBZ	do
not	RB	not
cost	VB	cost
the	DT	the
earth	NN	earth
.	SENT	.
Now	RB	now
,	,	,
Martin	NP	Martin
Luther	NP	Luther
King	NP	King
,	,	,
on	IN	on
the	DT	the
eve	NN	eve
of	IN	of
his	PP$	his
death	NN	death
,	,	,
gave	VBD	give
an	DT	an
incredible	JJ	incredible
speech	NN	speech
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
know	VBP	know
there	EX	there
are	VBP	be
challenges	NNS	challenge
ahead	RB	ahead
,	,	,
there	EX	there
may	MD	may
be	VB	be
trouble	NN	trouble
ahead	RB	ahead
,	,	,
but	CC	but
I	PP	I
fear	VBP	fear
no	RB	no
one	CD	one
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
care	NN	care
.	SENT	.
I	PP	I
have	VBP	have
been	VBN	be
to	TO	to
the	DT	the
mountain	NN	mountain
top	NN	top
,	,	,
and	CC	and
I	PP	I
have	VBP	have
seen	VBN	see
the	DT	the
Promised	JJ	promised
Land	NN	land
.	SENT	.
"	''	"
Now	RB	now
,	,	,
he	PP	he
was	VBD	be
a	DT	a
preacher	NN	preacher
,	,	,
but	CC	but
I	PP	I
believe	VBP	believe
the	DT	the
environmental	JJ	environmental
movement	NN	movement
and	CC	and
,	,	,
in	IN	in
fact	NN	fact
,	,	,
the	DT	the
business	NN	business
community	NN	community
,	,	,
government	NN	government
,	,	,
needs	VBZ	need
to	TO	to
go	VB	go
to	TO	to
the	DT	the
top	NN	top
of	IN	of
the	DT	the
mountain	NN	mountain
top	NN	top
,	,	,
and	CC	and
it	PP	it
needs	VBZ	need
to	TO	to
look	VB	look
out	RP	out
,	,	,
and	CC	and
it	PP	it
needs	VBZ	need
to	TO	to
see	VB	see
the	DT	the
Promised	JJ	promised
Land	NN	land
,	,	,
or	CC	or
the	DT	the
land	NN	land
of	IN	of
promise	NN	promise
,	,	,
and	CC	and
it	PP	it
needs	VBZ	need
to	TO	to
have	VB	have
a	DT	a
vision	NN	vision
of	IN	of
a	DT	a
world	NN	world
that	IN	that
we	PP	we
all	RB	all
want	VBP	want
.	SENT	.
And	CC	and
not	RB	not
only	RB	only
that	IN	that
,	,	,
we	PP	we
need	VBP	need
to	TO	to
create	VB	create
a	DT	a
Great	JJ	great
Transition	NN	transition
to	TO	to
get	VB	get
there	RB	there
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
pave	VB	pave
that	DT	that
great	JJ	great
transition	NN	transition
with	IN	with
good	JJ	good
things	NNS	thing
.	SENT	.
Human	JJ	human
beings	NNS	being
want	VBP	want
to	TO	to
be	VB	be
happy	JJ	happy
.	SENT	.
Pave	VB	pave
them	PP	them
with	IN	with
the	DT	the
five	CD	five
ways	NNS	way
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
to	TO	to
have	VB	have
signposts	NNS	signpost
gathering	VBG	gather
people	NNS	people
together	RB	together
and	CC	and
pointing	VBG	point
them	PP	them
—	:	-
something	NN	something
like	IN	like
the	DT	the
Happy	NP	Happy
Planet	NP	Planet
Index	NP	Index
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
believe	VBP	believe
that	IN	that
we	PP	we
can	MD	can
all	RB	all
create	VB	create
a	DT	a
world	NN	world
we	PP	we
all	RB	all
want	VBP	want
,	,	,
where	WRB	where
happiness	NN	happiness
does	VBZ	do
not	RB	not
cost	VB	cost
the	DT	the
earth	NN	earth
.	SENT	.
