Sometimes	RB	sometimes
use	VBP	use
to	TO	to
exchange	VB	exchange
information	NN	information
.	SENT	.
Now	RB	now
we	PP	we
know	VBP	know
that	IN	that
a	DT	a
root	NN	root
apex	NN	apex
has	VBZ	have
just	RB	just
a	DT	a
few	JJ	few
hundred	CD	hundred
cells	NNS	cell
that	WDT	that
show	VBP	show
this	DT	this
kind	NN	kind
of	IN	of
feature	NN	feature
,	,	,
but	CC	but
we	PP	we
know	VBP	know
how	WRB	how
big	JJ	big
the	DT	the
root	NN	root
apparatus	NN	apparatus
of	IN	of
a	DT	a
small	JJ	small
plant	NN	plant
,	,	,
like	IN	like
a	DT	a
plant	NN	plant
of	IN	of
rye	NN	rye
.	SENT	.
We	PP	we
have	VBP	have
almost	RB	almost
14	CD	@card@
million	CD	million
roots	NNS	root
.	SENT	.
We	PP	we
have	VBP	have
11	CD	@card@
and	CC	and
a	DT	a
half	JJ	half
million	CD	million
root	NN	root
apex	NN	apex
and	CC	and
a	DT	a
total	JJ	total
length	NN	length
of	IN	of
600	CD	@card@
or	CC	or
more	JJR	more
kilometers	NNS	kilometer
and	CC	and
a	DT	a
very	RB	very
high	JJ	high
surface	NN	surface
area	NN	area
.	SENT	.
Now	RB	now
let	VB	let
'	''	'
s	NNS	<unknown>
imagine	VBP	imagine
that	IN	that
each	DT	each
single	JJ	single
root	NN	root
apex	NN	apex
is	VBZ	be
working	VBG	work
in	IN	in
network	NN	network
with	IN	with
all	PDT	all
the	DT	the
others	NNS	other
.	SENT	.
Here	RB	here
were	VBD	be
have	VBP	have
on	IN	on
the	DT	the
left	NN	left
,	,	,
the	DT	the
Internet	NN	Internet
and	CC	and
on	IN	on
the	DT	the
right	NN	right
,	,	,
the	DT	the
root	NN	root
apparatus	NN	apparatus
.	SENT	.
They	PP	they
work	VBP	work
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
They	PP	they
are	VBP	be
a	DT	a
network	NN	network
of	IN	of
small	JJ	small
computing	NN	computing
machines	NNS	machine
,	,	,
working	VBG	work
in	IN	in
networks	NNS	network
.	SENT	.
And	CC	and
why	WRB	why
are	VBP	be
they	PP	they
so	RB	so
similar	JJ	similar
?	SENT	?
Because	IN	because
they	PP	they
evolved	VBD	evolve
for	IN	for
the	DT	the
same	JJ	same
reason	NN	reason
:	:	:
to	TO	to
survive	VB	survive
predation	NN	predation
.	SENT	.
They	PP	they
work	VBP	work
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
remove	VB	remove
90	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
root	NN	root
apparatus	NN	apparatus
and	CC	and
the	DT	the
plants	NNS	plant
[	SYM	[
continue	VBP	continue
]	SYM	]
to	TO	to
work	VB	work
.	SENT	.
You	PP	you
can	MD	can
remove	VB	remove
90	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
Internet	NN	Internet
and	CC	and
it	PP	it
is	VBZ	be
[	SYM	[
continuing	VBG	continue
]	SYM	]
to	TO	to
work	VB	work
.	SENT	.
So	RB	so
,	,	,
a	DT	a
suggestion	NN	suggestion
for	IN	for
the	DT	the
people	NNS	people
working	VBG	work
with	IN	with
networks	NNS	network
:	:	:
plants	NNS	plant
are	VBP	be
able	JJ	able
to	TO	to
give	VB	give
you	PP	you
good	JJ	good
suggestions	NNS	suggestion
about	IN	about
how	WRB	how
to	TO	to
evolve	VB	evolve
networks	NNS	network
.	SENT	.
And	CC	and
another	DT	another
possibility	NN	possibility
is	VBZ	be
a	DT	a
technological	JJ	technological
possibility	NN	possibility
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
imagine	VBP	imagine
that	IN	that
we	PP	we
can	MD	can
build	VB	build
robots	NNS	robot
and	CC	and
robots	NNS	robot
that	WDT	that
are	VBP	be
inspired	VBN	inspire
by	IN	by
plants	NNS	plant
.	SENT	.
Until	IN	until
now	RB	now
,	,	,
the	DT	the
man	NN	man
was	VBD	be
inspired	VBN	inspire
just	RB	just
by	IN	by
man	NN	man
or	CC	or
the	DT	the
animals	NNS	animal
in	IN	in
producing	VBG	produce
a	DT	a
robot	NN	robot
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
animaloid	JJ	<unknown>
â	NP	<unknown>
and	CC	and
the	DT	the
normal	JJ	normal
robots	NNS	robot
inspired	VBN	inspire
by	IN	by
animals	NNS	animal
,	,	,
insectoid	NN	<unknown>
,	,	,
so	RB	so
on	IN	on
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
androids	NNS	android
that	WDT	that
are	VBP	be
inspired	VBN	inspire
by	IN	by
man	NN	man
.	SENT	.
But	CC	but
why	WRB	why
have	VB	have
we	PP	we
not	RB	not
any	DT	any
plantoid	NN	<unknown>
?	SENT	?
Well	RB	well
,	,	,
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
fly	VB	fly
,	,	,
it	PP	it
'	POS	'
s	NN	S
good	JJ	good
that	IN	that
you	PP	you
look	VBP	look
at	IN	at
birds	NNS	bird
â	NP	<unknown>
to	TO	to
be	VB	be
inspired	VBN	inspire
by	IN	by
birds	NNS	bird
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
explore	VB	explore
soils	NNS	soil
,	,	,
or	CC	or
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
colonize	VB	colonize
new	JJ	new
territory	NN	territory
,	,	,
to	TO	to
best	VB	best
thing	NN	thing
that	IN	that
you	PP	you
can	MD	can
do	VB	do
is	VBZ	be
to	TO	to
be	VB	be
inspired	VBN	inspire
by	IN	by
plants	NNS	plant
that	WDT	that
are	VBP	be
masters	NNS	master
in	IN	in
doing	VBG	do
this	DT	this
.	SENT	.
We	PP	we
have	VBP	have
another	DT	another
possibility	NN	possibility
we	PP	we
are	VBP	be
working	VBG	work
[	SYM	[
on	RB	on
]	SYM	]
in	IN	in
our	PP$	our
lab	NN	lab
,	,	,
[	SYM	[
which	WDT	which
]	SYM	]
is	VBZ	be
to	TO	to
build	VB	build
hybrids	NNS	hybrid
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
much	RB	much
more	RBR	more
easy	JJ	easy
to	TO	to
build	VB	build
hybrids	NNS	hybrid
.	SENT	.
Hybrid	NN	hybrid
means	VBZ	mean
it	PP	it
'	''	'
s	NN	S
something	NN	something
that	RB	that
'	POS	'
s	JJ	<unknown>
half	NN	half
living	NN	living
and	CC	and
half	NN	half
machine	NN	machine
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
much	RB	much
more	RBR	more
easy	JJ	easy
to	TO	to
work	VB	work
with	IN	with
plants	NNS	plant
than	IN	than
with	IN	with
animals	NNS	animal
.	SENT	.
They	PP	they
have	VBP	have
computing	NN	computing
power	NN	power
,	,	,
they	PP	they
have	VBP	have
electrical	JJ	electrical
signals	NNS	signal
.	SENT	.
The	DT	the
connection	NN	connection
with	IN	with
the	DT	the
machine	NN	machine
is	VBZ	be
much	RB	much
more	RBR	more
easy	JJ	easy
,	,	,
much	RB	much
more	JJR	more
even	RB	even
ethically	RB	ethically
possible	JJ	possible
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
three	CD	three
possibilities	NNS	possibility
that	IN	that
we	PP	we
are	VBP	be
working	VBG	work
on	IN	on
to	TO	to
build	VB	build
hybrids	NNS	hybrid
,	,	,
driven	VBN	drive
by	IN	by
algae	NN	algae
or	CC	or
by	IN	by
the	DT	the
leaves	NNS	leaf
at	IN	at
the	DT	the
end	NN	end
,	,	,
by	IN	by
the	DT	the
most	JJS	most
,	,	,
most	RBS	most
powerful	JJ	powerful
parts	NNS	part
of	IN	of
the	DT	the
plants	NNS	plant
,	,	,
by	IN	by
the	DT	the
roots	NNS	root
.	SENT	.
Well	RB	well
,	,	,
thank	VB	thank
you	PP	you
for	IN	for
your	PP$	your
attention	NN	attention
.	SENT	.
And	CC	and
before	IN	before
I	PP	I
finish	VBP	finish
,	,	,
I	PP	I
would	MD	would
like	VB	like
to	TO	to
reassure	VB	reassure
that	IN	that
no	DT	no
snails	NNS	snail
were	VBD	be
harmed	VBN	harm
in	IN	in
making	VBG	make
this	DT	this
presentation	NN	presentation
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
