Yordanos	NP	Yordanos
and	CC	and
we	PP	we
know	VBP	know
that	IN	that
,	,	,
from	IN	from
all	DT	all
of	IN	of
the	DT	the
latest	JJS	late
trust	NN	trust
metrics	NNS	metric
,	,	,
that	IN	that
the	DT	the
media	NNS	medium
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
least-trusted	JJ	<unknown>
institutions	NNS	institution
next	JJ	next
to	TO	to
governments	NNS	government
globally	RB	globally
.	SENT	.
And	CC	and
so	RB	so
in	IN	in
this	DT	this
moment	NN	moment
,	,	,
when	WRB	when
we	PP	we
'	POS	'
re	IN	re
having	VBG	have
a	DT	a
crisis	NN	crisis
in	IN	in
our	PP$	our
information	NN	information
ecosystem	NN	ecosystem
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
think	VBP	think
the	DT	the
media	NN	media
needs	VBZ	need
to	TO	to
evolve	VB	evolve
,	,	,
first	JJ	first
and	CC	and
foremost	JJ	foremost
to	TO	to
gain	VB	gain
trust	NN	trust
or	CC	or
regain	VB	regain
trust	NN	trust
,	,	,
and	CC	and
then	RB	then
secondly	RB	secondly
,	,	,
to	TO	to
protect	VB	protect
democracy	NN	democracy
and	CC	and
be	VB	be
a	DT	a
champion	NN	champion
for	IN	for
democracy	NN	democracy
in	IN	in
the	DT	the
ways	NNS	way
that	IN	that
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
?	SENT	?
BS	NP	BS
:	:	:
Look	VBP	look
,	,	,
I	PP	I
think	VBP	think
the	DT	the
best	JJS	good
way	NN	way
the	DT	the
media	NNS	medium
can	MD	can
protect	VB	protect
democracy	NN	democracy
is	VBZ	be
if	IN	if
it	PP	it
should	MD	should
stay	VB	stay
in	IN	in
its	PP$	its
lane	NN	lane
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
say	VB	say
you	PP	you
want	VB	want
your	PP$	your
liver	NN	liver
to	TO	to
perform	VB	perform
the	DT	the
functions	NNS	function
of	IN	of
a	DT	a
liver	NN	liver
,	,	,
not	RB	not
the	DT	the
functions	NNS	function
of	IN	of
a	DT	a
heart	NN	heart
.	SENT	.
Everything	NN	everything
has	VBZ	have
its	PP$	its
place	NN	place
so	RB	so
that	IN	that
when	WRB	when
too	RB	too
much	JJ	much
of	IN	of
the	DT	the
media	NN	media
goes	VBZ	go
into	IN	into
the	DT	the
mold	NN	mold
of	IN	of
effectively	RB	effectively
social	JJ	social
advocacy	NN	advocacy
,	,	,
it	PP	it
is	VBZ	be
eroding	VBG	erode
trust	NN	trust
,	,	,
particularly	RB	particularly
among	IN	among
people	NNS	people
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
necessarily	RB	necessarily
agree	VBP	agree
with	IN	with
a	DT	a
given	VBN	give
type	NN	type
of	IN	of
of	IN	of
social	JJ	social
advocacy	NN	advocacy
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
back	RB	back
in	IN	in
the	DT	the
1960s	NNS	1960s
,	,	,
we	PP	we
had	VBD	have
a	DT	a
flawed	JJ	flawed
system	NN	system
.	SENT	.
But	CC	but
when	WRB	when
Walter	NP	Walter
Cronkite	NP	Cronkite
would	MD	would
say	VB	say
,	,	,
"	''	"
And	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
way	NN	way
it	PP	it
was	VBD	be
this	DT	this
day	NN	day
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
March	NP	March
15	CD	@card@
,	,	,
1966	CD	@card@
,	,	,
"	''	"
America	NP	America
went	VBD	go
,	,	,
"	``	"
Yeah	RB	yeah
.	SENT	.
"	``	"
And	CC	and
there	EX	there
was	VBD	be
a	DT	a
sense	NN	sense
of	IN	of
authority	NN	authority
.	SENT	.
I	PP	I
think	VBP	think
one	PP	one
of	IN	of
the	DT	the
ways	NNS	way
in	IN	in
which	WDT	which
the	DT	the
media	NN	media
has	VBZ	have
hurt	VBN	hurt
itself	PP	itself
is	VBZ	be
that	IN	that
we	PP	we
have	VBP	have
allowed	VBN	allow
it	PP	it
--	:	--
we	PP	we
,	,	,
I	PP	I
'	POS	'
m	NN	m
part	NN	part
of	IN	of
it	PP	it
--	:	--
we	PP	we
have	VBP	have
allowed	VBN	allow
that	DT	that
sense	NN	sense
of	IN	of
authority	NN	authority
to	TO	to
dissolve	VB	dissolve
.	SENT	.
Now	RB	now
,	,	,
part	NN	part
of	IN	of
it	PP	it
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
new	JJ	new
technologies	NNS	technology
,	,	,
social	JJ	social
media	NNS	medium
,	,	,
the	DT	the
diversification	NN	diversification
of	IN	of
the	DT	the
media	NNS	medium
ecosystem	NN	ecosystem
,	,	,
cable	NN	cable
news	NN	news
.	SENT	.
You	PP	you
can	MD	can
talk	VB	talk
about	IN	about
lots	NNS	lot
of	IN	of
exogenous	JJ	exogenous
reasons	NNS	reason
why	WRB	why
trust	NN	trust
in	IN	in
the	DT	the
media	NN	media
has	VBZ	have
eroded	VBN	erode
.	SENT	.
But	CC	but
I	PP	I
kind	RB	kind
of	IN	of
tend	VBP	tend
to	TO	to
think	VB	think
of	IN	of
,	,	,
you	PP	you
know	VBP	know
,	,	,
physician	NN	physician
,	,	,
heal	VB	heal
thyself	PP	thyself
.	SENT	.
Those	DT	those
of	IN	of
us	PP	us
who	WP	who
are	VBP	be
in	IN	in
the	DT	the
mainstream	JJ	mainstream
media	NNS	medium
really	RB	really
need	VBP	need
to	TO	to
reflect	VB	reflect
in	IN	in
a	DT	a
deep	JJ	deep
way	NN	way
as	IN	as
to	TO	to
why	WRB	why
so	RB	so
many	JJ	many
segments	NNS	segment
of	IN	of
American	JJ	American
society	NN	society
have	VBP	have
stopped	VBN	stop
trusting	VBG	trust
us	PP	us
.	SENT	.
And	CC	and
part	NN	part
of	IN	of
the	DT	the
answer	NN	answer
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
that	IN	that
we	PP	we
have	VBP	have
given	VBN	give
them	PP	them
reasons	VBZ	reason
not	RB	not
to	TO	to
trust	VB	trust
us	PP	us
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
important	JJ	important
that	IN	that
the	DT	the
media	NNS	medium
include	VBP	include
a	DT	a
much	RB	much
greater	JJR	great
amount	NN	amount
of	IN	of
diversity	NN	diversity
within	IN	within
its	PP$	its
ranks	NNS	rank
.	SENT	.
And	CC	and
I	PP	I
don	NN	don
'	POS	'
t	NN	t
just	RB	just
mean	VBP	mean
diversity	NN	diversity
of	IN	of
race	NN	race
and	CC	and
ethnicity	NN	ethnicity
.	SENT	.
Those	DT	those
things	NNS	thing
are	VBP	be
obviously	RB	obviously
important	JJ	important
.	SENT	.
I	PP	I
also	RB	also
mean	VBP	mean
diversity	NN	diversity
of	IN	of
class	NN	class
,	,	,
of	IN	of
geographic	JJ	geographic
location	NN	location
.	SENT	.
If	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
reporters	NNS	reporter
who	WP	who
kind	RB	kind
of	IN	of
grew	VBD	grow
up	RP	up
in	IN	in
,	,	,
wherever	WRB	wherever
,	,	,
Branson	NP	Branson
,	,	,
Missouri	NP	Missouri
or	CC	or
what	WP	what
here	RB	here
in	IN	in
New	NP	New
York	NP	York
we	PP	we
call	VBP	call
flyover	NN	flyover
country	NN	country
,	,	,
you	PP	you
'	POS	'
re	NN	re
missing	VBG	miss
a	DT	a
big	JJ	big
part	NN	part
of	IN	of
the	DT	the
story	NN	story
.	SENT	.
You	PP	you
may	MD	may
have	VB	have
missed	VBN	miss
how	WRB	how
it	PP	it
is	VBZ	be
that	IN	that
this	DT	this
guy	NN	guy
,	,	,
with	IN	with
no	DT	no
hope	NN	hope
of	IN	of
becoming	VBG	become
president	NN	president
in	IN	in
2016	CD	@card@
became	VBD	become
president	NN	president
in	IN	in
2016	CD	@card@
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
listening	VBG	listen
to	TO	to
those	DT	those
voices	NNS	voice
,	,	,
particularly	RB	particularly
the	DT	the
ones	NNS	one
that	WDT	that
we	PP	we
disdain	VBP	disdain
,	,	,
dislike	VBP	dislike
,	,	,
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
are	VBP	be
worthy	JJ	worthy
of	IN	of
inclusion	NN	inclusion
.	SENT	.
The	DT	the
media	NNS	medium
cannot	MD	can
be	VB	be
an	DT	an
echo	NN	echo
chamber	NN	chamber
.	SENT	.
If	IN	if
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
end	VBP	end
up	RP	up
becoming	VBG	become
,	,	,
we	PP	we
will	MD	will
disserve	VB	disserve
ourselves	PP	ourselves
,	,	,
we	PP	we
will	MD	will
disserve	VB	disserve
democracy	NN	democracy
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
disserve	VBP	disserve
even	RB	even
our	PP$	our
own	JJ	own
business	NN	business
model	NN	model
.	SENT	.
Because	IN	because
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
if	IN	if
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
trust	NN	trust
us	PP	us
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
turn	VB	turn
to	TO	to
us	PP	us
.	SENT	.
YE	PP	you
:	:	:
I	PP	I
really	RB	really
appreciate	VBP	appreciate
that	DT	that
.	SENT	.
So	RB	so
we	PP	we
talked	VBD	talk
about	RB	about
what	WP	what
you	PP	you
think	VBP	think
needs	VBZ	need
to	TO	to
be	VB	be
done	VBN	do
in	IN	in
media	NNS	medium
.	SENT	.
There	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
who	WP	who
wake	VBP	wake
up	RB	up
and	CC	and
who	WP	who
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
about	IN	about
these	DT	these
issues	NNS	issue
,	,	,
right	RB	right
?	SENT	?
What	WP	what
do	VBP	do
ordinary	JJ	ordinary
people	NNS	people
need	VBP	need
to	TO	to
do	VB	do
in	IN	in
this	DT	this
moment	NN	moment
to	TO	to
contribute	VB	contribute
to	TO	to
a	DT	a
healthier	JJR	healthy
,	,	,
more	RBR	more
inclusive	JJ	inclusive
democracy	NN	democracy
?	SENT	?
Are	VBP	be
you	PP	you
seeing	VBG	see
solutions	NNS	solution
,	,	,
exciting	JJ	exciting
solutions	NNS	solution
in	IN	in
your	PP$	your
community	NN	community
or	CC	or
from	IN	from
your	PP$	your
work	NN	work
across	IN	across
the	DT	the
world	NN	world
?	SENT	?
Like	IN	like
,	,	,
what	WP	what
are	VBP	be
some	DT	some
suggestions	NNS	suggestion
that	IN	that
you	PP	you
have	VBP	have
for	IN	for
what	WP	what
we	PP	we
could	MD	could
do	VB	do
as	IN	as
individuals	NNS	individual
?	SENT	?
BS	NP	BS
:	:	:
Look	VBP	look
,	,	,
it	PP	it
begins	VBZ	begin
with	IN	with
us	PP	us
.	SENT	.
It	PP	it
begins	VBZ	begin
with	IN	with
each	DT	each
of	IN	of
you	PP	you
and	CC	and
I	PP	I
tend	VBP	tend
to	TO	to
be	VB	be
wary	JJ	wary
of	IN	of
,	,	,
like	VB	like
,	,	,
coming	VBG	come
up	RP	up
with	IN	with
a	DT	a
grand	JJ	grand
scheme	NN	scheme
.	SENT	.
Start	VB	start
your	PP$	your
day	NN	day
by	IN	by
reading	VBG	read
someone	NN	someone
you	PP	you
know	VBP	know
you	PP	you
'	''	'
re	IN	re
going	VBG	go
to	TO	to
disagree	VB	disagree
with	IN	with
.	SENT	.
The	DT	the
worst	JJS	bad
that	IN	that
can	MD	can
happen	VB	happen
is	VBZ	be
it	PP	it
will	MD	will
sharpen	VB	sharpen
your	PP$	your
own	JJ	own
argument	NN	argument
,	,	,
right	RB	right
?	SENT	?
You	PP	you
will	MD	will
at	IN	at
least	JJS	least
know	VB	know
what	WP	what
your	PP$	your
ideological	JJ	ideological
opponent	NN	opponent
,	,	,
or	CC	or
maybe	RB	maybe
even	RB	even
your	PP$	your
enemy	NN	enemy
,	,	,
as	IN	as
you	PP	you
perceive	VBP	perceive
that	DT	that
person	NN	person
to	TO	to
be	VB	be
,	,	,
is	VBZ	be
thinking	VBG	think
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
hurt	VBD	hurt
you	PP	you
.	SENT	.
Your	PP$	your
media	NNS	medium
diet	NN	diet
should	MD	should
not	RB	not
be	VB	be
a	DT	a
morning	NN	morning
massage	NN	massage
where	WRB	where
you	PP	you
have	VB	have
your	PP$	your
personal	JJ	personal
genius	NN	genius
affirmed	VBD	affirm
because	IN	because
you	PP	you
'	POS	'
re	NN	re
taking	VBG	take
in	IN	in
the	DT	the
views	NNS	view
of	IN	of
someone	NN	someone
who	WP	who
thinks	VBZ	think
as	IN	as
you	PP	you
do	VBP	do
but	CC	but
just	RB	just
says	VBZ	say
it	PP	it
a	DT	a
little	JJ	little
bit	NN	bit
better	RBR	well
.	SENT	.
And	CC	and
I	PP	I
try	VBP	try
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
people	NNS	people
know	VBP	know
that	IN	that
I	NP	I
'	POS	'
m	NN	m
a	DT	a
center-right	JJ	center-right
columnist	NN	columnist
.	SENT	.
Look	VB	look
,	,	,
I	PP	I
work	VBP	work
at	IN	at
the	DT	the
New	NP	New
York	NP	York
Times	NP	Times
.	SENT	.
I	PP	I
just	RB	just
open	VB	open
up	RP	up
my	PP$	my
own	JJ	own
paper	NN	paper
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
starting	VBG	start
to	TO	to
read	VB	read
people	NNS	people
I	PP	I
don	VBP	don
'	''	'
t	NN	t
agree	VBP	agree
with	IN	with
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
good	JJ	good
for	IN	for
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
good	JJ	good
for	IN	for
me	PP	me
.	SENT	.
It	PP	it
sharpens	VBZ	sharpen
my	PP$	my
arguments	NNS	argument
.	SENT	.
When	WRB	when
I	PP	I
read	VBP	read
my	PP$	my
friend	NN	friend
Nick	NP	Nick
Kristof	NP	Kristof
in	IN	in
the	DT	the
morning	NN	morning
or	CC	or
when	WRB	when
I	PP	I
have	VBP	have
a	DT	a
conversation	NN	conversation
with	IN	with
my	PP$	my
buddy	NN	buddy
Gail	NP	Gail
Collins	NP	Collins
,	,	,
it	PP	it
'	POS	'
s	NN	S
forcing	VBG	force
me	PP	me
to	TO	to
think	VB	think
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
jumping	VBG	jump
into	IN	into
cold	JJ	cold
water	NN	water
,	,	,
not	RB	not
always	RB	always
immediately	RB	immediately
pleasant	JJ	pleasant
,	,	,
but	CC	but
bracing	VBG	brace
and	CC	and
invigorating	VBG	invigorate
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
to	TO	to
find	VB	find
all	DT	all
kinds	NNS	kind
of	IN	of
mechanisms	NNS	mechanism
in	IN	in
our	PP$	our
lives	NNS	life
in	IN	in
which	WDT	which
we	PP	we
make	VBP	make
the	DT	the
art	NN	art
of	IN	of
disagreement	NN	disagreement
come	VBP	come
alive	JJ	alive
.	SENT	.
Debate	NN	debate
is	VBZ	be
something	NN	something
that	IN	that
I	PP	I
really	RB	really
believe	VBP	believe
in	IN	in
.	SENT	.
Also	RB	also
is	VBZ	be
a	DT	a
great	JJ	great
exercise	NN	exercise
for	IN	for
kids	NNS	kid
.	SENT	.
But	CC	but
at	IN	at
every	DT	every
level	NN	level
of	IN	of
discussion	NN	discussion
,	,	,
figuring	VBG	figure
out	RP	out
how	WRB	how
we	PP	we
,	,	,
once	RB	once
again	RB	again
,	,	,
find	VBP	find
ways	NNS	way
to	TO	to
disagree	VB	disagree
agreeably	RB	agreeably
,	,	,
to	TO	to
find	VB	find
light	NN	light
rather	RB	rather
than	IN	than
just	RB	just
friction	NN	friction
and	CC	and
heat	NN	heat
from	IN	from
those	DT	those
moments	NNS	moment
of	IN	of
disagreement	NN	disagreement
.	SENT	.
To	TO	to
understand	VB	understand
what	WP	what
the	DT	the
other	JJ	other
person	NN	person
is	VBZ	be
saying	VBG	say
or	CC	or
even	RB	even
trying	VBG	try
to	TO	to
say	VB	say
.	SENT	.
Because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
you	PP	you
will	MD	will
encounter	VB	encounter
an	DT	an
opposing	VBG	oppose
point	NN	point
of	IN	of
view	NN	view
,	,	,
and	CC	and
that	IN	that
person	NN	person
isn	NN	isn
'	POS	'
t	NN	t
necessarily	RB	necessarily
expressing	VBG	express
him	PP	him
or	CC	or
herself	PP	herself
well	RB	well
.	SENT	.
So	IN	so
the	DT	the
art	NN	art
of	IN	of
disagreement	NN	disagreement
is	VBZ	be
also	RB	also
the	DT	the
art	NN	art
of	IN	of
listening	VBG	listen
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
ironic	JJ	ironic
for	IN	for
me	PP	me
to	TO	to
say	VB	say
,	,	,
because	IN	because
here	RB	here
I	NP	I
'	POS	'
m	NN	m
doing	VBG	do
all	PDT	all
the	DT	the
talking	NN	talking
,	,	,
right	RB	right
?	SENT	?
But	CC	but
that	DT	that
art	NN	art
of	IN	of
listening	NN	listening
is	VBZ	be
every	DT	every
bit	NN	bit
as	IN	as
vital	JJ	vital
to	TO	to
the	DT	the
health	NN	health
of	IN	of
democracy	NN	democracy
,	,	,
in	IN	in
fact	NN	fact
,	,	,
more	RBR	more
so	RB	so
than	IN	than
all	PDT	all
the	DT	the
talking	NN	talking
.	SENT	.
So	RB	so
listen	VB	listen
attentively	RB	attentively
,	,	,
think	VBP	think
before	IN	before
you	PP	you
speak	VBP	speak
,	,	,
enjoy	VBP	enjoy
difference	NN	difference
and	CC	and
democracy	NN	democracy
will	MD	will
become	VB	become
stronger	JJR	strong
.	SENT	.
YE	PP	you
:	:	:
Well	RB	well
,	,	,
that	IN	that
'	POS	'
s	NN	S
a	DT	a
powerful	JJ	powerful
way	NN	way
to	TO	to
end	VB	end
this	DT	this
conversation	NN	conversation
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
,	,	,
Bret	NP	Bret
.	SENT	.
