Sherrell	NP	Sherrell
Thurgood	NP	Thurgood
Marshall	NP	Marshall
Foundation	NP	Foundation
,	,	,
and	CC	and
oddly	RB	oddly
enough	RB	enough
,	,	,
in	IN	in
2020	CD	@card@
--	:	--
And	CC	and
I	PP	I
always	RB	always
want	VBP	want
to	TO	to
go	VB	go
back	RB	back
to	TO	to
that	DT	that
date	NN	date
because	IN	because
there	EX	there
were	VBD	be
some	DT	some
really	RB	really
interesting	JJ	interesting
realities	NNS	reality
.	SENT	.
People	NNS	people
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
we	PP	we
'	POS	'
re	NN	re
learning	VBG	learn
about	IN	about
all	DT	all
of	IN	of
these	DT	these
organizations	NNS	organization
that	WDT	that
were	VBD	be
supporting	JJ	supporting
and	CC	and
have	VBP	have
been	VBN	be
doing	VBG	do
work	NN	work
for	IN	for
decades	NNS	decade
.	SENT	.
So	RB	so
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
folks	NNS	folk
,	,	,
that	WDT	that
was	VBD	be
kind	NN	kind
of	IN	of
a	DT	a
first-hand	JJ	first-hand
discovery	NN	discovery
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
think	VBP	think
about	IN	about
this	DT	this
area	NN	area
of	IN	of
DE	NP	de
and	CC	and
I	PP	I
and	CC	and
sort	VB	sort
of	IN	of
2020	CD	@card@
to	TO	to
2021	CD	@card@
,	,	,
we	PP	we
saw	VBD	see
sort	NN	sort
of	IN	of
the	DT	the
largest	JJS	large
growth	NN	growth
of	IN	of
chief	JJ	chief
diversity	NN	diversity
officers	NNS	officer
being	VBG	be
named	VBN	name
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
corporate	JJ	corporate
spaces	NNS	space
.	SENT	.
We	PP	we
saw	VBD	see
this	DT	this
kind	NN	kind
of	IN	of
deluge	NN	deluge
of	IN	of
focus	NN	focus
on	IN	on
things	NNS	thing
like	IN	like
a	DT	a
15-percent	JJ	<unknown>
pledge	NN	pledge
across	IN	across
retail	NN	retail
or	CC	or
representation	NN	representation
on	IN	on
stages	NNS	stage
or	CC	or
even	RB	even
within	IN	within
authorship	NN	authorship
and	CC	and
books	NNS	book
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
hit	VBD	hit
2022	CD	@card@
.	SENT	.
And	CC	and
we	PP	we
saw	VBD	see
this	DT	this
sort	NN	sort
of	IN	of
decline	NN	decline
economically	RB	economically
,	,	,
of	IN	of
course	NN	course
,	,	,
housing	VBG	house
to	TO	to
inflation	NN	inflation
to	TO	to
all	DT	all
of	IN	of
these	DT	these
things	NNS	thing
that	WDT	that
started	VBD	start
to	TO	to
take	VB	take
precedence	NN	precedence
,	,	,
which	WDT	which
also	RB	also
meant	VBD	mean
the	DT	the
pullback	NN	pullback
of	IN	of
all	DT	all
of	IN	of
those	DT	those
big	JJ	big
promises	NNS	promise
,	,	,
those	DT	those
hyper	NN	hyper
focuses	VBZ	focus
.	SENT	.
And	CC	and
the	DT	the
shift	NN	shift
was	VBD	be
very	RB	very
palpable	JJ	palpable
for	IN	for
so	RB	so
many	JJ	many
of	IN	of
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
kind	RB	kind
of	IN	of
knew	VBD	know
that	IN	that
it	PP	it
was	VBD	be
going	VBG	go
to	TO	to
come	VB	come
.	SENT	.
We	PP	we
knew	VBD	know
that	IN	that
the	DT	the
focus	NN	focus
and	CC	and
the	DT	the
language	NN	language
and	CC	and
almost	RB	almost
the	DT	the
hysteria	NN	hysteria
around	IN	around
how	WRB	how
do	VBP	do
we	PP	we
elevate	VB	elevate
marginalized	VBN	marginalize
voices	NNS	voice
might	MD	might
take	VB	take
a	DT	a
turn	NN	turn
.	SENT	.
So	IN	so
we	PP	we
sort	NN	sort
of	IN	of
had	VBD	have
to	TO	to
think	VB	think
about	RB	about
,	,	,
OK	UH	OK
,	,	,
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
this	DT	this
spotlight	NN	spotlight
for	IN	for
like	JJ	like
,	,	,
12	CD	@card@
to	TO	to
18	CD	@card@
months	NNS	month
,	,	,
like	VB	like
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
,	,	,
like	VB	like
,	,	,
rush	VB	rush
out	RP	out
and	CC	and
get	VB	get
it	PP	it
done	VBN	do
?	SENT	?
What	WP	what
'	POS	'
s	NN	S
fascinating	JJ	fascinating
is	VBZ	be
you	PP	you
talk	VBP	talk
about	IN	about
these	DT	these
pillars	NNS	pillar
,	,	,
these	DT	these
eight	CD	eight
pillars	NNS	pillar
and	CC	and
these	DT	these
goals	NNS	goal
that	WDT	that
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
accomplished	VBN	accomplish
by	IN	by
2025	CD	@card@
,	,	,
which	WDT	which
is	VBZ	be
absolutely	RB	absolutely
fascinating	JJ	fascinating
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
an	DT	an
understanding	NN	understanding
of	IN	of
why	WRB	why
has	VBZ	have
this	DT	this
work	NN	work
stayed	VBD	stay
the	DT	the
course	NN	course
,	,	,
and	CC	and
where	WRB	where
are	VBP	be
we	PP	we
going	VBG	go
.	SENT	.
Because	IN	because
I	PP	I
hear	VBP	hear
these	DT	these
amazing	JJ	amazing
initiatives	NNS	initiative
and	CC	and
opportunities	NNS	opportunity
.	SENT	.
I	PP	I
hear	VBP	hear
of	IN	of
the	DT	the
dedication	NN	dedication
.	SENT	.
You	PP	you
'	''	'
re	IN	re
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
remaining	VBG	remain
chief	JJ	chief
diversity	NN	diversity
officers	NNS	officer
,	,	,
unfortunately	RB	unfortunately
,	,	,
that	IN	that
'	POS	'
s	NN	S
really	RB	really
heading	VBG	head
a	DT	a
major	JJ	major
company	NN	company
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
that	IN	that
many	JJ	many
of	IN	of
us	PP	us
might	MD	might
be	VB	be
concerned	VBN	concern
about	RB	about
,	,	,
is	VBZ	be
this	DT	this
a	DT	a
fad	NN	fad
,	,	,
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
change	VB	change
language	NN	language
now	RB	now
?	SENT	?
We	PP	we
'	POS	'
re	NN	re
only	RB	only
talking	VBG	talk
about	IN	about
ESG	NP	ESG
now	RB	now
?	SENT	?
We	PP	we
'	POS	'
re	NN	re
only	RB	only
talking	VBG	talk
about	IN	about
terms	NNS	term
in	IN	in
a	DT	a
certain	JJ	certain
kind	NN	kind
of	IN	of
way	NN	way
,	,	,
because	IN	because
now	RB	now
all	DT	all
of	IN	of
the	DT	the
language	NN	language
we	PP	we
learned	VBD	learn
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
years	NNS	year
is	VBZ	be
somehow	RB	somehow
deemed	VBN	deem
offensive	NN	offensive
?	SENT	?
So	RB	so
maybe	RB	maybe
you	PP	you
can	MD	can
paint	VB	paint
a	DT	a
picture	NN	picture
of	IN	of
hope	NN	hope
in	IN	in
some	DT	some
cases	NNS	case
.	SENT	.
MDP	NN	MDP
:	:	:
I	PP	I
was	VBD	be
just	RB	just
thinking	VBG	think
that	DT	that
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
let	VB	let
me	PP	me
interject	VB	interject
with	IN	with
some	DT	some
hope	NN	hope
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
'	''	'
re	IN	re
seeing	VBG	see
today	NN	today
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
lose	VB	lose
heart	NN	heart
.	SENT	.
I	PP	I
do	VBP	do
have	VB	have
hope	NN	hope
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
my	PP$	my
parents	NNS	parent
,	,	,
I	PP	I
told	VBD	tell
you	PP	you
,	,	,
marched	VBN	march
in	IN	in
the	DT	the
1960s	NNS	1960s
with	IN	with
Dr	NP	Dr
Martin	NP	Martin
Luther	NP	Luther
King	NP	King
.	SENT	.
And	CC	and
so	IN	so
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
this	DT	this
in	IN	in
history	NN	history
before	RB	before
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
normalized	VBD	normalize
that	IN	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
go	VB	go
back	RB	back
from	IN	from
,	,	,
we	PP	we
talk	VBP	talk
openly	RB	openly
about	IN	about
race	NN	race
in	IN	in
the	DT	the
workplace	NN	workplace
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	RB	about
,	,	,
particularly	RB	particularly
Black	NP	Black
and	CC	and
Brown	NP	Brown
communities	NNS	community
are	VBP	be
either	DT	either
hyper	NN	hyper
visible	JJ	visible
or	CC	or
invisible	JJ	invisible
.	SENT	.
In	IN	in
between	IN	between
that	DT	that
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
stress	NN	stress
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
is	VBZ	be
how	WRB	how
do	VBP	do
we	PP	we
normalize	VB	normalize
Black	NP	Black
and	CC	and
Brown	NP	Brown
communities	NNS	community
in	IN	in
the	DT	the
context	NN	context
?	SENT	?
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	POS	'
ve	NNS	<unknown>
done	VBN	do
following	VBG	follow
the	DT	the
murder	NN	murder
of	IN	of
George	NP	George
Floyd	NP	Floyd
.	SENT	.
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
also	RB	also
why	WRB	why
we	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
some	RB	some
of	IN	of
the	DT	the
pushback	NN	<unknown>
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
go	VB	go
back	RB	back
to	TO	to
where	WRB	where
we	PP	we
[	SYM	[
were	VBD	be
]	SYM	]
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
hope	NN	hope
with	IN	with
Gen	NP	Gen
X	NP	X
,	,	,
the	DT	the
way	NN	way
that	WDT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
they	PP	they
have	VBP	have
forced	VBN	force
a	DT	a
demand	NN	demand
for	IN	for
how	WRB	how
we	PP	we
interact	VBP	interact
,	,	,
what	WP	what
they	PP	they
want	VBP	want
,	,	,
how	WRB	how
they	PP	they
show	VBP	show
up	RP	up
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
really	RB	really
leaning	VBG	lean
into	IN	into
that	DT	that
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
operate	VB	operate
out	RP	out
of	IN	of
fear	NN	fear
and	CC	and
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
retract	VBP	retract
,	,	,
that	IN	that
we	PP	we
stand	VBP	stand
strong	JJ	strong
.	SENT	.
And	CC	and
Google	NP	<unknown>
is	VBZ	be
standing	VBG	stand
strong	JJ	strong
and	CC	and
unapologetic	JJ	unapologetic
about	IN	about
the	DT	the
commitment	NN	commitment
we	PP	we
make	VBP	make
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
able	JJ	able
to	TO	to
sit	VB	sit
in	IN	in
my	PP$	my
role	NN	role
because	IN	because
we	PP	we
have	VBP	have
an	DT	an
incredible	JJ	incredible
CEO	NN	CEO
with	IN	with
Sundar	NP	Sundar
Pichai	NP	<unknown>
who	WP	who
really	RB	really
gets	VBZ	get
it	PP	it
,	,	,
understands	VBZ	understand
it	PP	it
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
company	NN	company
imperative	NN	imperative
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
racial	JJ	racial
equity	NN	equity
goals	NNS	goal
,	,	,
but	CC	but
we	PP	we
also	RB	also
have	VBP	have
company-wide	JJ	company-wide
goals	NNS	goal
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
our	PP$	our
CEO	NN	CEO
meets	VBZ	meet
with	IN	with
our	PP$	our
HBCU	NP	<unknown>
Presidents	NPS	Presidents
Council	NP	Council
as	IN	as
well	RB	well
and	CC	and
spends	VBZ	spend
and	CC	and
pours	VBZ	pour
time	NN	time
there	RB	there
.	SENT	.
And	CC	and
so	RB	so
these	DT	these
are	VBP	be
the	DT	the
types	NNS	type
of	IN	of
things	NNS	thing
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
hold	VB	hold
on	RP	on
to	TO	to
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
push	VB	push
for	IN	for
and	CC	and
to	TO	to
continue	VB	continue
to	TO	to
demand	VB	demand
fairness	NN	fairness
and	CC	and
respect	NN	respect
and	CC	and
dignity	NN	dignity
,	,	,
which	WDT	which
go	VBP	go
hand	NN	hand
in	IN	in
hand	NN	hand
with	IN	with
equity	NN	equity
and	CC	and
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
talk	NN	talk
now	RB	now
about	RB	about
belonging	VBG	belong
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
we	PP	we
should	MD	should
hit	VB	hit
this	DT	this
head	NN	head
on	RB	on
.	SENT	.
I	PP	I
believe	VBP	believe
that	DT	that
diversity	NN	diversity
,	,	,
equity	NN	equity
and	CC	and
inclusion	NN	inclusion
is	VBZ	be
insufficient	JJ	insufficient
without	IN	without
belonging	VBG	belong
.	SENT	.
Like	JJ	like
,	,	,
insufficient	JJ	insufficient
without	IN	without
recognizing	VBG	recognize
that	DT	that
everybody	NN	everybody
--	:	--
The	DT	the
science	NN	science
of	IN	of
belonging	NN	belonging
says	VBZ	say
that	IN	that
people	NNS	people
have	VBP	have
to	TO	to
feel	VB	feel
rewarded	VBN	reward
,	,	,
seen	VBN	see
,	,	,
recognized	VBN	recognize
and	CC	and
valued	VBN	value
in	IN	in
order	NN	order
to	TO	to
feel	VB	feel
like	IN	like
they	PP	they
belong	VBP	belong
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
we	PP	we
see	VBP	see
this	DT	this
added	VBD	add
on	IN	on
.	SENT	.
And	CC	and
so	RB	so
these	DT	these
are	VBP	be
the	DT	the
types	NNS	type
of	IN	of
competencies	NNS	competency
and	CC	and
capabilities	NNS	capability
that	WDT	that
are	VBP	be
here	RB	here
to	TO	to
stay	VB	stay
,	,	,
even	RB	even
though	IN	though
we	PP	we
get	VBP	get
pushback	NN	<unknown>
.	SENT	.
But	CC	but
pushback	NN	<unknown>
means	NN	means
there	RB	there
'	POS	'
s	JJ	<unknown>
progress	NN	progress
happening	NN	happening
and	CC	and
the	DT	the
research	NN	research
shows	VBZ	show
that	IN	that
there	EX	there
'	''	'
s	NN	S
progress	NN	progress
happening	NN	happening
.	SENT	.
SD	NN	SD
:	:	:
A	DT	a
little	JJ	little
discomfort	NN	discomfort
is	VBZ	be
good	JJ	good
for	IN	for
all	DT	all
of	IN	of
us	PP	us
,	,	,
right	RB	right
?	SENT	?
A	DT	a
little	JJ	little
discomfort	NN	discomfort
is	VBZ	be
good	JJ	good
for	IN	for
the	DT	the
soul	NN	soul
.	SENT	.
Anybody	NN	anybody
been	VBN	be
uncomfortable	JJ	uncomfortable
?	SENT	?
Yeah	RB	yeah
.	SENT	.
Alright	RB	alright
,	,	,
major	JJ	major
growth	NN	growth
spurts	NNS	spurt
happening	VBG	happen
around	RP	around
here	RB	here
.	SENT	.
I	PP	I
love	VBP	love
how	WRB	how
you	PP	you
talk	VBP	talk
about	RB	about
,	,	,
or	CC	or
you	PP	you
brought	VBD	bring
in	IN	in
that	DT	that
concept	NN	concept
of	IN	of
belonging	VBG	belong
.	SENT	.
And	CC	and
also	RB	also
highlighted	VBD	highlight
the	DT	the
different	JJ	different
requirements	NNS	requirement
of	IN	of
generations	NNS	generation
.	SENT	.
I	PP	I
think	VBP	think
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
considered	VBD	consider
a	DT	a
geriatric	NN	geriatric
millennial	JJ	millennial
.	SENT	.
Is	VBZ	be
anyone	NN	anyone
else	RB	else
here	RB	here
a	DT	a
geriatric	NN	geriatric
millennial	JJ	millennial
?	SENT	?
Yes	UH	yes
!	SENT	!
Shout	VBP	shout
out	RP	out
,	,	,
yes	UH	yes
.	SENT	.
MDP	NN	MDP
:	:	:
I	PP	I
'	POS	'
m	NN	m
Gen	NP	Gen
X	NP	X
,	,	,
so	RB	so
where	WRB	where
are	VBP	be
my	PP$	my
Gen	NP	Gen
X	NP	X
people	NNS	people
?	SENT	?
SD	NNS	<unknown>
:	:	:
Kids	NNS	kid
of	IN	of
the	DT	the
'	''	'
90s	NNS	<unknown>
,	,	,
yes	UH	yes
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
because	IN	because
we	PP	we
remember	VBP	remember
before	IN	before
there	EX	there
was	VBD	be
internet	NN	Internet
,	,	,
right	RB	right
?	SENT	?
OK	UH	OK
,	,	,
alright	RB	alright
,	,	,
just	RB	just
making	VBG	make
sure	JJ	sure
I	PP	I
have	VBP	have
family	NN	family
in	IN	in
the	DT	the
room	NN	room
here	RB	here
.	SENT	.
But	CC	but
I	PP	I
love	VBP	love
that	IN	that
our	PP$	our
generation	NN	generation
started	VBD	start
to	TO	to
ask	VB	ask
for	IN	for
more	RBR	more
.	SENT	.
More	JJR	more
balance	NN	balance
,	,	,
more	JJR	more
recognition	NN	recognition
,	,	,
more	JJR	more
sustainability	NN	sustainability
,	,	,
more	JJR	more
consciousness	NN	consciousness
around	IN	around
how	WRB	how
we	PP	we
show	VBP	show
up	RP	up
in	IN	in
the	DT	the
world	NN	world
,	,	,
in	IN	in
society	NN	society
,	,	,
as	RB	as
well	RB	well
as	IN	as
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
you	PP	you
referenced	VBD	reference
as	RB	as
well	RB	well
,	,	,
Gen	NP	Gen
Z	NP	Z
.	SENT	.
Gen	NP	Gen
Z	NP	Z
asking	VBG	ask
for	IN	for
--	:	--
like	IN	like
Gen	NP	Gen
Z	NP	Z
is	VBZ	be
bold	JJ	bold
.	SENT	.
Gen	NP	Gen
Z	NP	Z
,	,	,
shout	VBP	shout
out	RP	out
.	SENT	.
I	PP	I
love	VBP	love
it	PP	it
,	,	,
I	PP	I
love	VBP	love
it	PP	it
.	SENT	.
Maybe	RB	maybe
y	NP	y
'	POS	'
all	RB	all
will	MD	will
help	VB	help
me	PP	me
put	VB	put
some	DT	some
stuff	NN	stuff
on	IN	on
TikTok	NP	<unknown>
later	RBR	later
today	NN	today
.	SENT	.
So	RB	so
just	RB	just
catch	VB	catch
me	PP	me
backstage	RB	backstage
,	,	,
OK	UH	OK
?	SENT	?
But	CC	but
that	DT	that
belonging	VBG	belong
component	NN	component
is	VBZ	be
a	DT	a
force	NN	force
multiple	NN	multiple
with	IN	with
Gen	NP	Gen
Z	NP	Z
.	SENT	.
It	PP	it
is	VBZ	be
"	``	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
up	RB	up
and	CC	and
be	VB	be
all	DT	all
who	WP	who
I	PP	I
am	VBP	be
.	SENT	.
"	''	"
MDP	NN	MDP
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
requirement	NN	requirement
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
an	DT	an
entitlement	NN	entitlement
.	SENT	.
When	WRB	when
I	PP	I
grew	VBD	grow
up	RP	up
,	,	,
you	PP	you
know	VBP	know
,	,	,
my	PP$	my
parents	NNS	parent
raised	VBD	raise
me	PP	me
--	:	--
my	PP$	my
brother	NN	brother
and	CC	and
I	PP	I
are	VBP	be
first-generation	NN	first-generation
college	NN	college
,	,	,
I	PP	I
'	POS	'
m	NN	m
first	JJ	first
generation	NN	generation
corporate	JJ	corporate
America	NP	America
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
taught	VBN	teach
to	TO	to
be	VB	be
better	JJR	good
,	,	,
faster	JJR	fast
,	,	,
smarter	RBR	smarter
,	,	,
but	CC	but
to	TO	to
compete	VB	compete
at	IN	at
average	NN	average
.	SENT	.
That	DT	that
never	RB	never
sat	VBN	sit
right	RB	right
with	IN	with
me	PP	me
.	SENT	.
But	CC	but
I	PP	I
was	VBD	be
taught	VBN	teach
to	TO	to
fit	VB	fit
in	IN	in
,	,	,
not	RB	not
add	VB	add
in	IN	in
.	SENT	.
Gen	NP	Gen
Z	NP	Z
is	VBZ	be
saying	VBG	say
,	,	,
here	RB	here
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
add	VBP	add
in	IN	in
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
as	IN	as
corporations	NNS	corporation
and	CC	and
organizations	NNS	organization
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
who	WP	who
fits	VBZ	fit
into	IN	into
the	DT	the
culture	NN	culture
,	,	,
it	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
'	POS	'
s	NNS	<unknown>
missing	VBG	miss
in	IN	in
the	DT	the
culture	NN	culture
and	CC	and
who	WP	who
adds	VBZ	add
in	IN	in
the	DT	the
culture	NN	culture
.	SENT	.
SD	NN	SD
:	:	:
That	WDT	that
'	POS	'
s	NN	S
an	DT	an
amazing	JJ	amazing
point	NN	point
.	SENT	.
And	CC	and
I	PP	I
love	VBP	love
that	IN	that
you	PP	you
talked	VBD	talk
about	IN	about
the	DT	the
belonging	NN	belonging
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
less	RBR	less
of	IN	of
the	DT	the
quota	NN	quota
of	IN	of
diversity	NN	diversity
,	,	,
right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
just	RB	just
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
data	NNS	datum
point	NN	point
that	WDT	that
potentially	RB	potentially
represents	VBZ	represent
something	NN	something
.	SENT	.
MDP	NN	MDP
:	:	:
Much	RB	much
broader	JJR	broad
than	IN	than
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
much	RB	much
broader	JJR	broad
than	IN	than
that	DT	that
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
in	IN	in
talking	VBG	talk
about	IN	about
culture	NN	culture
add	VBP	add
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	NNS	<unknown>
trained	VBN	train
over	IN	over
10	CD	@card@
,	,	,
000	CD	@card@
managers	NNS	manager
at	IN	at
Google	NP	<unknown>
on	IN	on
how	WRB	how
to	TO	to
interview	VB	interview
for	IN	for
additive	JJ	additive
skills	NNS	skill
,	,	,
not	RB	not
just	RB	just
fitting	JJ	fitting
in	IN	in
,	,	,
because	IN	because
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
mindset	NN	mindset
shift	NN	shift
and	CC	and
change	NN	change
management	NN	management
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
on	IN	on
our	PP$	our
side	NN	side
,	,	,
from	IN	from
a	DT	a
corporate	JJ	corporate
America	NP	America
side	NN	side
,	,	,
to	TO	to
ensure	VB	ensure
that	IN	that
we	PP	we
'	''	'
re	IN	re
taking	VBG	take
full	JJ	full
advantage	NN	advantage
of	IN	of
this	DT	this
incredible	JJ	incredible
talent	NN	talent
that	RB	that
'	POS	'
s	NN	S
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
SD	NN	SD
:	:	:
And	CC	and
so	RB	so
,	,	,
just	RB	just
as	IN	as
a	DT	a
closing	NN	closing
,	,	,
what	WDT	what
is	VBZ	be
your	PP$	your
advice	NN	advice
to	TO	to
other	JJ	other
leaders	NNS	leader
that	WDT	that
are	VBP	be
struggling	VBG	struggle
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
do	VBP	do
we	PP	we
create	VB	create
this	DT	this
new	JJ	new
culture	NN	culture
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
still	RB	still
prioritize	VBP	<unknown>
what	WP	what
diversity	NN	diversity
looks	VBZ	look
like	IN	like
,	,	,
what	WP	what
belonging	NN	belonging
looks	VBZ	look
like	IN	like
,	,	,
and	CC	and
continue	VB	continue
to	TO	to
even	RB	even
just	RB	just
measure	VB	measure
the	DT	the
progress	NN	progress
as	IN	as
we	PP	we
go	VBP	go
along	RB	along
?	SENT	?
MDP	NN	MDP
:	:	:
My	PP$	my
advice	NN	advice
is	VBZ	be
to	TO	to
recognize	VB	recognize
what	WP	what
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
are	VBP	be
universal	JJ	universal
solutions	NNS	solution
that	WDT	that
are	VBP	be
common	JJ	common
to	TO	to
humanity	NN	humanity
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
to	TO	to
recognize	VB	recognize
that	IN	that
there	EX	there
are	VBP	be
communities	NNS	community
within	IN	within
the	DT	the
universe	NN	universe
that	WDT	that
are	VBP	be
situated	VBN	situate
differently	RB	differently
and	CC	and
require	VB	require
different	JJ	different
treatment	NN	treatment
to	TO	to
take	VB	take
full	JJ	full
advantage	NN	advantage
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
basic	JJ	basic
right	NN	right
and	CC	and
a	DT	a
basic	JJ	basic
privilege	NN	privilege
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
could	MD	could
all	RB	all
,	,	,
as	IN	as
leaders	NNS	leader
,	,	,
stand	VB	stand
and	CC	and
take	VB	take
stock	NN	stock
of	IN	of
that	WDT	that
and	CC	and
lift	VB	lift
as	IN	as
we	PP	we
climb	VB	climb
and	CC	and
ensure	VB	ensure
we	PP	we
'	''	'
re	IN	re
bringing	VBG	bring
everybody	NN	everybody
along	RB	along
,	,	,
we	PP	we
will	MD	will
reach	VB	reach
the	DT	the
culture	NN	culture
that	IN	that
we	PP	we
aspire	VBP	aspire
to	TO	to
.	SENT	.
SD	NN	SD
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
incredible	JJ	incredible
,	,	,
yes	UH	yes
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
Well	RB	well
,	,	,
we	PP	we
see	VBP	see
why	WRB	why
you	PP	you
are	VBP	be
such	JJ	such
an	DT	an
amazing	JJ	amazing
boss	NN	boss
.	SENT	.
MDP	NN	MDP
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
SD	NN	SD
:	:	:
We	PP	we
get	VBP	get
to	TO	to
witness	VB	witness
it	PP	it
live	VB	live
,	,	,
this	DT	this
is	VBZ	be
incredible	JJ	incredible
.	SENT	.
Melonie	NP	Melonie
,	,	,
thank	VBP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VBG	join
us	PP	us
here	RB	here
on	IN	on
