Right	RB	right
these	DT	these
petals	NNS	petal
for	IN	for
under	IN	under
50	CD	@card@
dollars	NNS	dollar
and	CC	and
what	WP	what
this	DT	this
would	MD	would
allow	VB	allow
us	PP	us
to	TO	to
do	VB	do
is	VBZ	be
not	RB	not
have	VB	have
to	TO	to
move	VB	move
the	DT	the
focus	NN	focus
any	DT	any
more	JJR	more
,	,	,
but	CC	but
only	RB	only
move	VB	move
the	DT	the
petals	NNS	petal
.	SENT	.
The	DT	the
whole	JJ	whole
system	NN	system
would	MD	would
have	VB	have
a	DT	a
much	RB	much
lower	JJR	low
profile	NN	profile
,	,	,
but	CC	but
also	RB	also
we	PP	we
could	MD	could
gather	VB	gather
sunlight	NN	sunlight
for	IN	for
six	CD	six
and	CC	and
a	DT	a
half	NN	half
to	TO	to
seven	CD	seven
hours	NNS	hour
a	DT	a
day	NN	day
.	SENT	.
Now	RB	now
that	IN	that
we	PP	we
have	VBP	have
concentrated	VBN	concentrate
sunlight	NN	sunlight
,	,	,
what	WP	what
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
put	VB	put
at	IN	at
the	DT	the
center	NN	center
to	TO	to
convert	VB	convert
sunlight	NN	sunlight
to	TO	to
electricity	NN	electricity
?	SENT	?
So	RB	so
we	PP	we
tried	VBD	try
to	TO	to
look	VB	look
at	IN	at
all	PDT	all
the	DT	the
different	JJ	different
heat	NN	heat
engines	NNS	engine
that	WDT	that
have	VBP	have
been	VBN	be
used	VBN	use
in	IN	in
history	NN	history
to	TO	to
convert	VB	convert
sunlight	NN	sunlight
or	CC	or
heat	NN	heat
to	TO	to
electricity	NN	electricity
,	,	,
And	CC	and
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
ones	NNS	one
of	IN	of
all	DT	all
time	NN	time
,	,	,
James	NP	James
Watt	NP	Watt
'	POS	'
s	JJ	<unknown>
steam	NN	steam
engine	NN	engine
of	IN	of
1788	CD	@card@
was	VBD	be
a	DT	a
major	JJ	major
breakthrough	NN	breakthrough
.	SENT	.
James	NP	James
Watt	NP	Watt
didn	NP	<unknown>
'	POS	'
t	NN	t
actually	RB	actually
invent	VB	invent
the	DT	the
steam	NN	steam
engine	NN	engine
,	,	,
he	PP	he
just	RB	just
refined	VBD	refine
it	PP	it
.	SENT	.
But	CC	but
his	PP$	his
refinements	NNS	refinement
were	VBD	be
incredible	JJ	incredible
.	SENT	.
He	PP	he
added	VBD	add
new	JJ	new
linear	JJ	linear
motion	NN	motion
guides	NNS	guide
to	TO	to
the	DT	the
pistons	NNS	piston
,	,	,
he	PP	he
added	VBD	add
a	DT	a
condenser	NN	condenser
to	TO	to
cool	VB	cool
the	DT	the
steam	NN	steam
outside	IN	outside
the	DT	the
cylinder	NN	cylinder
,	,	,
he	PP	he
made	VBD	make
the	DT	the
engine	NN	engine
double-acting	JJ	double-acting
,	,	,
so	RB	so
it	PP	it
had	VBD	have
double	RB	double
the	DT	the
power	NN	power
.	SENT	.
Those	DT	those
were	VBD	be
major	JJ	major
breakthroughs	NNS	breakthrough
.	SENT	.
All	DT	all
of	IN	of
the	DT	the
improvements	NNS	improvement
he	PP	he
made	VBD	make
—	:	-
and	CC	and
it	PP	it
'	POS	'
s	NN	S
justifiable	JJ	justifiable
that	IN	that
our	PP$	our
measure	NN	measure
of	IN	of
energy	NN	energy
,	,	,
the	DT	the
watt	NN	watt
,	,	,
today	NN	today
is	VBZ	be
named	VBN	name
after	IN	after
him	PP	him
.	SENT	.
So	RB	so
we	PP	we
looked	VBD	look
at	IN	at
this	DT	this
engine	NN	engine
,	,	,
and	CC	and
this	RB	this
had	VBD	have
some	DT	some
potential	NN	potential
.	SENT	.
Steam	NN	steam
engines	NNS	engine
are	VBP	be
dangerous	JJ	dangerous
,	,	,
and	CC	and
they	PP	they
had	VBD	have
tremendous	JJ	tremendous
impact	NN	impact
on	IN	on
the	DT	the
world	NN	world
—	:	-
industrial	JJ	industrial
revolution	NN	revolution
and	CC	and
ships	NNS	ship
and	CC	and
locomotives	NNS	locomotive
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
usually	RB	usually
good	JJ	good
to	TO	to
be	VB	be
large	JJ	large
,	,	,
so	IN	so
they	PP	they
'	POS	'
re	NN	re
not	RB	not
good	JJ	good
for	IN	for
distributed	VBN	distribute
power	NN	power
generation	NN	generation
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
also	RB	also
very	RB	very
high-	NN	high-
pressure	NN	pressure
,	,	,
so	IN	so
they	PP	they
'	POS	'
re	NN	re
dangerous	JJ	dangerous
.	SENT	.
Another	DT	another
type	NN	type
of	IN	of
engine	NN	engine
is	VBZ	be
the	DT	the
hot	JJ	hot
air	NN	air
engine	NN	engine
.	SENT	.
And	CC	and
the	DT	the
hot	JJ	hot
air	NN	air
engine	NN	engine
also	RB	also
was	VBD	be
not	RB	not
invented	VBN	invent
by	IN	by
Robert	NP	Robert
Stirling	NP	Stirling
,	,	,
but	CC	but
Robert	NP	Robert
Stirling	NP	Stirling
came	VBD	come
along	RP	along
in	IN	in
1816	CD	@card@
and	CC	and
radically	RB	radically
improved	VBD	improve
it	PP	it
.	SENT	.
This	DT	this
engine	NN	engine
,	,	,
because	IN	because
it	PP	it
was	VBD	be
so	RB	so
interesting	JJ	interesting
—	:	-
it	PP	it
only	RB	only
worked	VBD	work
on	IN	on
air	NN	air
,	,	,
no	DT	no
steam	NN	steam
—	:	-
has	VBZ	have
led	VBN	lead
to	TO	to
hundreds	NNS	hundred
of	IN	of
creative	JJ	creative
designs	NNS	design
over	IN	over
the	DT	the
years	NNS	year
that	WDT	that
use	VBP	use
the	DT	the
Stirling	NP	Stirling
engine	NN	engine
principle	NN	principle
.	SENT	.
But	CC	but
after	IN	after
the	DT	the
Stirling	NP	Stirling
engine	NN	engine
,	,	,
Otto	NP	Otto
came	VBD	come
along	RP	along
,	,	,
and	CC	and
also	RB	also
,	,	,
he	PP	he
didn	NNS	<unknown>
'	POS	'
t	NN	t
invent	VB	invent
the	DT	the
internal	JJ	internal
combustion	NN	combustion
engine	NN	engine
,	,	,
he	PP	he
just	RB	just
refined	VBD	refine
it	PP	it
.	SENT	.
He	PP	he
showed	VBD	show
it	PP	it
in	IN	in
Paris	NP	Paris
in	IN	in
1867	CD	@card@
,	,	,
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
major	JJ	major
achievement	NN	achievement
because	IN	because
it	PP	it
brought	VBD	bring
the	DT	the
power	NN	power
density	NN	density
of	IN	of
the	DT	the
engine	NN	engine
way	NN	way
up	RB	up
.	SENT	.
You	PP	you
could	MD	could
now	RB	now
get	VB	get
a	DT	a
lot	NN	lot
more	JJR	more
power	NN	power
in	IN	in
a	DT	a
lot	NN	lot
smaller	JJR	small
space	NN	space
,	,	,
and	CC	and
that	IN	that
allowed	VBN	allow
the	DT	the
engine	NN	engine
to	TO	to
be	VB	be
used	VBN	use
for	IN	for
mobile	JJ	mobile
applications	NNS	application
.	SENT	.
So	RB	so
,	,	,
once	RB	once
you	PP	you
have	VBP	have
mobility	NN	mobility
,	,	,
you	PP	you
'	POS	'
re	NN	re
making	VBG	make
a	DT	a
lot	NN	lot
of	IN	of
engines	NNS	engine
because	IN	because
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
lots	NNS	lot
of	IN	of
units	NNS	unit
,	,	,
as	RB	as
opposed	VBN	oppose
to	TO	to
steam	NN	steam
ships	NNS	ship
or	CC	or
big	JJ	big
factories	NNS	factory
,	,	,
so	RB	so
this	DT	this
was	VBD	be
the	DT	the
engine	NN	engine
that	WDT	that
ended	VBD	end
up	RP	up
benefiting	VBG	benefit
from	IN	from
mass	JJ	mass
production	NN	production
where	WRB	where
all	PDT	all
the	DT	the
other	JJ	other
engines	NNS	engine
didn	NN	<unknown>
'	POS	'
t	NN	t
.	SENT	.
So	RB	so
,	,	,
because	IN	because
it	PP	it
went	VBD	go
into	IN	into
mass	JJ	mass
production	NN	production
,	,	,
costs	NNS	cost
were	VBD	be
reduced	VBN	reduce
,	,	,
100	CD	@card@
years	NNS	year
of	IN	of
refinement	NN	refinement
,	,	,
emissions	NNS	emission
were	VBD	be
reduced	VBN	reduce
,	,	,
tremendous	JJ	tremendous
production	NN	production
value	NN	value
.	SENT	.
There	EX	there
have	VBP	have
been	VBN	be
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
of	IN	of
internal	JJ	internal
combustion	NN	combustion
engines	NNS	engine
built	VBN	build
,	,	,
compared	VBN	compare
to	TO	to
thousands	NNS	thousand
of	IN	of
Stirling	NP	Stirling
engines	NNS	engine
built	VBD	build
.	SENT	.
And	CC	and
not	RB	not
nearly	RB	nearly
as	IN	as
many	JJ	many
small	JJ	small
steam	NN	steam
engines	NNS	engine
being	VBG	be
built	VBN	build
anymore	RB	anymore
,	,	,
only	JJ	only
large	JJ	large
ones	NNS	one
for	IN	for
big	JJ	big
operations	NNS	operation
.	SENT	.
So	RB	so
after	IN	after
looking	VBG	look
at	IN	at
these	DT	these
three	CD	three
,	,	,
and	CC	and
47	CD	@card@
others	NNS	other
,	,	,
we	PP	we
concluded	VBD	conclude
that	IN	that
the	DT	the
Stirling	NP	Stirling
engine	NN	engine
would	MD	would
be	VB	be
the	DT	the
best	JJS	good
one	CD	one
to	TO	to
use	VB	use
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
give	VB	give
you	PP	you
a	DT	a
brief	JJ	brief
explanation	NN	explanation
of	IN	of
how	WRB	how
we	PP	we
looked	VBD	look
at	IN	at
it	PP	it
and	CC	and
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
So	RB	so
we	PP	we
tried	VBD	try
to	TO	to
look	VB	look
at	IN	at
the	DT	the
Stirling	NP	Stirling
engine	NN	engine
in	IN	in
a	DT	a
new	JJ	new
way	NN	way
,	,	,
because	IN	because
it	PP	it
was	VBD	be
practical	JJ	practical
—	:	-
weight	NN	weight
no	RB	no
longer	RBR	longer
mattered	VBN	matter
for	IN	for
our	PP$	our
application	NN	application
.	SENT	.
The	DT	the
internal	JJ	internal
combustion	NN	combustion
engine	NN	engine
took	VBD	take
off	RP	off
because	IN	because
weight	NN	weight
mattered	VBN	matter
,	,	,
because	IN	because
you	PP	you
were	VBD	be
moving	VBG	move
around	RP	around
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
generate	VB	generate
solar	JJ	solar
energy	NN	energy
in	IN	in
a	DT	a
static	JJ	static
place	NN	place
the	DT	the
weight	NN	weight
doesn	NN	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
so	RB	so
much	RB	much
.	SENT	.
We	PP	we
also	RB	also
discovered	VBD	discover
that	IN	that
efficiency	NN	efficiency
doesn	NN	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
so	RB	so
much	RB	much
if	IN	if
your	PP$	your
energy	NN	energy
source	NN	source
is	VBZ	be
free	JJ	free
.	SENT	.
Normally	RB	normally
,	,	,
efficiency	NN	efficiency
is	VBZ	be
crucial	JJ	crucial
because	IN	because
the	DT	the
fuel	NN	fuel
cost	NN	cost
of	IN	of
your	PP$	your
engine	NN	engine
over	IN	over
its	PP$	its
life	NN	life
dwarfs	VBZ	dwarf
the	DT	the
cost	NN	cost
of	IN	of
the	DT	the
engine	NN	engine
.	SENT	.
But	CC	but
if	IN	if
your	PP$	your
fuel	NN	fuel
source	NN	source
is	VBZ	be
free	JJ	free
,	,	,
then	RB	then
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
matters	VBZ	matter
is	VBZ	be
the	DT	the
up-front	JJ	up-front
capital	NN	capital
cost	NN	cost
of	IN	of
the	DT	the
engine	NN	engine
.	SENT	.
So	RB	so
you	PP	you
don	VB	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
optimize	VB	optimize
for	IN	for
efficiency	NN	efficiency
,	,	,
you	PP	you
want	VBP	want
to	TO	to
optimize	VB	optimize
for	IN	for
power	NN	power
per	IN	per
dollar	NN	dollar
.	SENT	.
So	RB	so
using	VBG	use
that	DT	that
new	JJ	new
twist	NN	twist
,	,	,
with	IN	with
the	DT	the
new	JJ	new
criteria	NNS	criterion
,	,	,
we	PP	we
thought	VBD	think
we	PP	we
could	MD	could
relook	VB	<unknown>
at	IN	at
the	DT	the
Stirling	NP	Stirling
engine	NN	engine
,	,	,
and	CC	and
also	RB	also
bring	VB	bring
genetic	JJ	genetic
algorithms	NNS	algorithm
in	IN	in
.	SENT	.
Basically	RB	basically
,	,	,
Robert	NP	Robert
Stirling	NP	Stirling
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
Gordon	NP	Gordon
Moore	NP	Moore
before	IN	before
him	PP	him
to	TO	to
get	VB	get
us	PP	us
three	CD	three
gigahertz	NN	gigahertz
of	IN	of
processor	NN	processor
power	NN	power
.	SENT	.
So	RB	so
we	PP	we
took	VBD	take
the	DT	the
same	JJ	same
genetic	JJ	genetic
algorithm	NN	algorithm
that	IN	that
we	PP	we
used	VBD	use
earlier	RBR	earlier
to	TO	to
make	VB	make
that	DT	that
concentrator	NN	concentrator
,	,	,
which	WDT	which
didn	NP	<unknown>
'	POS	'
t	NN	t
work	NN	work
out	RB	out
for	IN	for
us	PP	us
,	,	,
to	TO	to
optimize	VB	optimize
the	DT	the
Stirling	NP	Stirling
engine	NN	engine
,	,	,
and	CC	and
make	VB	make
its	PP$	its
design	NN	design
sizes	NNS	size
and	CC	and
all	DT	all
of	IN	of
its	PP$	its
dimensions	NNS	dimension
the	DT	the
exact	JJ	exact
optimum	NN	optimum
to	TO	to
get	VB	get
the	DT	the
most	JJS	most
power	NN	power
per	IN	per
dollar	NN	dollar
,	,	,
irrespective	RB	irrespective
of	IN	of
weight	NN	weight
,	,	,
irrespective	RB	irrespective
of	IN	of
size	NN	size
,	,	,
just	RB	just
to	TO	to
get	VB	get
the	DT	the
most	JJS	most
conversion	NN	conversion
of	IN	of
solar	JJ	solar
energy	NN	energy
,	,	,
because	IN	because
the	DT	the
sun	NN	sun
is	VBZ	be
free	JJ	free
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
process	NN	process
we	PP	we
took	VBD	take
—	:	-
let	VB	let
me	PP	me
show	VB	show
you	PP	you
how	WRB	how
the	DT	the
engine	NN	engine
works	VBZ	work
.	SENT	.
The	DT	the
simplest	JJS	simple
heat	NN	heat
engine	NN	engine
,	,	,
or	CC	or
hot	JJ	hot
air	NN	air
engine	NN	engine
,	,	,
of	IN	of
all	DT	all
time	NN	time
would	MD	would
be	VB	be
this	DT	this
—	:	-
take	VB	take
a	DT	a
box	NN	box
,	,	,
a	DT	a
steel	NN	steel
canister	NN	canister
,	,	,
with	IN	with
a	DT	a
piston	NN	piston
.	SENT	.
Put	VB	put
a	DT	a
flame	NN	flame
under	IN	under
it	PP	it
,	,	,
the	DT	the
piston	NN	piston
moves	VBZ	move
up	RP	up
.	SENT	.
Take	VB	take
it	PP	it
off	RP	off
the	DT	the
flame	NN	flame
and	CC	and
pour	VB	pour
water	NN	water
on	IN	on
it	PP	it
,	,	,
or	CC	or
let	VB	let
it	PP	it
cool	VB	cool
down	RB	down
,	,	,
the	DT	the
piston	NN	piston
moves	VBZ	move
down	RP	down
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
heat	NN	heat
engine	NN	engine
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
fundamental	JJ	fundamental
heat	NN	heat
engine	NN	engine
you	PP	you
could	MD	could
have	VB	have
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
the	DT	the
efficiency	NN	efficiency
is	VBZ	be
one	PP	one
hundredth	JJ	hundredth
of	IN	of
one	CD	one
percent	NN	percent
,	,	,
because	IN	because
you	PP	you
'	POS	'
re	NN	re
heating	VBG	heat
all	PDT	all
the	DT	the
metal	NN	metal
of	IN	of
the	DT	the
chamber	NN	chamber
and	CC	and
then	RB	then
cooling	VBG	cool
all	PDT	all
the	DT	the
metal	NN	metal
of	IN	of
the	DT	the
chamber	NN	chamber
each	DT	each
time	NN	time
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
re	NN	re
only	RB	only
getting	VBG	get
power	NN	power
from	IN	from
the	DT	the
air	NN	air
that	RB	that
'	POS	'
s	JJ	<unknown>
heating	NN	heating
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
but	CC	but
you	PP	you
'	POS	'
re	NN	re
wasting	NN	wasting
energy	NN	energy
heating	VBG	heat
and	CC	and
cooling	VBG	cool
the	DT	the
metal	NN	metal
.	SENT	.
So	RB	so
someone	NN	someone
came	VBD	come
up	RP	up
with	IN	with
a	DT	a
very	RB	very
clever	JJ	clever
idea	NN	idea
.	SENT	.
Instead	RB	instead
of	IN	of
heating	VBG	heat
and	CC	and
cooling	VBG	cool
the	DT	the
whole	JJ	whole
cylinder	NN	cylinder
,	,	,
what	WP	what
about	RB	about
if	IN	if
you	PP	you
put	VBD	put
a	DT	a
displacer	NN	displacer
inside	RB	inside
—	:	-
a	DT	a
little	JJ	little
thing	NN	thing
that	WDT	that
shuttles	VBZ	shuttle
the	DT	the
air	NN	air
back	RB	back
and	CC	and
forth	RB	forth
.	SENT	.
You	PP	you
move	VBP	move
that	IN	that
up	RB	up
and	CC	and
down	RB	down
with	IN	with
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
energy	NN	energy
but	CC	but
now	RB	now
you	PP	you
'	POS	'
re	NN	re
only	RB	only
shifting	VBG	shift
the	DT	the
air	NN	air
down	RB	down
to	TO	to
the	DT	the
hot	JJ	hot
end	NN	end
and	CC	and
up	RB	up
to	TO	to
the	DT	the
cold	JJ	cold
end	NN	end
.	SENT	.
So	RB	so
,	,	,
now	RB	now
you	PP	you
'	POS	'
re	NN	re
not	RB	not
alternately	RB	alternately
heating	VBG	heat
and	CC	and
cooling	VBG	cool
the	DT	the
metal	NN	metal
,	,	,
just	RB	just
the	DT	the
air	NN	air
.	SENT	.
That	DT	that
allows	VBZ	allow
you	PP	you
to	TO	to
get	VB	get
the	DT	the
efficiency	NN	efficiency
up	RP	up
from	IN	from
a	DT	a
hundredth	JJ	hundredth
of	IN	of
a	DT	a
percent	NN	percent
to	TO	to
about	RB	about
two	CD	two
percent	NN	percent
.	SENT	.
And	CC	and
then	RB	then
Robert	NP	Robert
Stirling	NP	Stirling
came	VBD	come
along	RP	along
with	IN	with
this	DT	this
genius	NN	genius
idea	NN	idea
,	,	,
which	WDT	which
was	VBD	be
,	,	,
well	UH	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
still	RB	still
not	RB	not
heating	VBG	heat
the	DT	the
metal	NN	metal
now	RB	now
,	,	,
with	IN	with
this	DT	this
kind	NN	kind
of	IN	of
engine	NN	engine
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
still	RB	still
reheating	VBG	reheat
all	PDT	all
the	DT	the
air	NN	air
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
still	RB	still
heating	VBG	heat
the	DT	the
air	NN	air
every	DT	every
time	NN	time
and	CC	and
cooling	VBG	cool
the	DT	the
air	NN	air
every	DT	every
time	NN	time
.	SENT	.
What	WP	what
about	RB	about
if	IN	if
I	PP	I
put	VBD	put
a	DT	a
thermal	JJ	thermal
sponge	NN	sponge
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
in	IN	in
the	DT	the
passageway	NN	passageway
between	IN	between
where	WRB	where
the	DT	the
air	NN	air
has	VBZ	have
to	TO	to
move	VB	move
between	IN	between
hot	JJ	hot
and	CC	and
cold	JJ	cold
?	SENT	?
So	RB	so
he	PP	he
made	VBD	make
fine	JJ	fine
wires	NNS	wire
,	,	,
and	CC	and
cracked	JJ	cracked
glass	NN	glass
,	,	,
and	CC	and
all	DT	all
different	JJ	different
kinds	NNS	kind
of	IN	of
materials	NNS	material
to	TO	to
be	VB	be
a	DT	a
heat	NN	heat
sponge	NN	sponge
.	SENT	.
So	RB	so
when	WRB	when
the	DT	the
air	NN	air
pushes	VBZ	push
up	RP	up
to	TO	to
go	VB	go
from	IN	from
the	DT	the
hot	JJ	hot
end	NN	end
to	TO	to
the	DT	the
cold	JJ	cold
end	NN	end
,	,	,
it	PP	it
puts	VBZ	put
some	DT	some
heat	NN	heat
into	IN	into
the	DT	the
sponge	NN	sponge
.	SENT	.
And	CC	and
then	RB	then
when	WRB	when
the	DT	the
air	NN	air
comes	VBZ	come
back	RB	back
after	IN	after
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
cooled	VBN	cool
,	,	,
it	PP	it
picks	VBZ	pick
up	RP	up
that	DT	that
heat	NN	heat
again	RB	again
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
re	NN	re
reusing	VBG	reuse
your	PP$	your
energy	NN	energy
five	CD	five
or	CC	or
six	CD	six
times	NNS	time
,	,	,
and	CC	and
that	WDT	that
brings	VBZ	bring
the	DT	the
efficiency	NN	efficiency
up	RB	up
to	TO	to
between	IN	between
30	CD	@card@
and	CC	and
40	CD	@card@
percent	NN	percent
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
little	RB	little
known	VBN	know
,	,	,
but	CC	but
brilliant	JJ	brilliant
,	,	,
genius	NN	genius
invention	NN	invention
of	IN	of
Robert	NP	Robert
Stirling	NP	Stirling
that	WDT	that
takes	VBZ	take
the	DT	the
hot	JJ	hot
air	NN	air
engine	NN	engine
from	IN	from
being	VBG	be
somewhat	RB	somewhat
impractical	JJ	impractical
—	:	-
like	IN	like
I	PP	I
found	VBD	find
out	RP	out
when	WRB	when
I	PP	I
made	VBD	make
the	DT	the
real	JJ	real
simple	JJ	simple
version	NN	version
in	IN	in
high	JJ	high
school	NN	school
—	:	-
to	TO	to
very	RB	very
potentially	RB	potentially
possible	JJ	possible
,	,	,
once	RB	once
you	PP	you
get	VBP	get
the	DT	the
efficiency	NN	efficiency
up	RB	up
,	,	,
if	IN	if
you	PP	you
can	MD	can
design	VB	design
this	DT	this
to	TO	to
be	VB	be
low	JJ	low
enough	JJ	enough
cost	NN	cost
.	SENT	.
So	RB	so
we	PP	we
really	RB	really
set	VBD	set
out	RP	out
on	IN	on
a	DT	a
path	NN	path
to	TO	to
try	VB	try
and	CC	and
make	VB	make
the	DT	the
lowest	JJS	low
cost	NN	cost
possible	JJ	possible
.	SENT	.
We	PP	we
built	VBD	build
a	DT	a
huge	JJ	huge
mathematical	JJ	mathematical
model	NN	model
of	IN	of
how	WRB	how
a	DT	a
Stirling	NP	Stirling
engine	NN	engine
works	NNS	work
.	SENT	.
We	PP	we
applied	VBD	apply
the	DT	the
genetic	JJ	genetic
algorithm	NN	algorithm
.	SENT	.
We	PP	we
got	VBD	get
the	DT	the
results	NNS	result
from	IN	from
that	DT	that
for	IN	for
the	DT	the
optimal	JJ	optimal
engine	NN	engine
.	SENT	.
We	PP	we
built	VBD	build
engines	NNS	engine
—	:	-
so	RB	so
we	PP	we
built	VBD	build
100	CD	@card@
different	JJ	different
engines	NNS	engine
over	IN	over
the	DT	the
last	JJ	last
two	CD	two
years	NNS	year
.	SENT	.
We	PP	we
measured	VBD	measure
each	DT	each
one	CD	one
,	,	,
we	PP	we
readjusted	VBD	readjust
the	DT	the
model	NN	model
to	TO	to
what	WP	what
we	PP	we
measured	VBD	measure
,	,	,
and	CC	and
then	RB	then
we	PP	we
led	VBD	lead
that	IN	that
to	TO	to
the	DT	the
current	JJ	current
prototype	NN	prototype
.	SENT	.
It	PP	it
led	VBD	lead
to	TO	to
a	DT	a
very	RB	very
compact	JJ	compact
,	,	,
inexpensive	JJ	inexpensive
engine	NN	engine
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
engine	NN	engine
looks	VBZ	look
like	IN	like
.	SENT	.
Let	VB	let
me	PP	me
show	VB	show
you	PP	you
what	WP	what
it	PP	it
looks	VBZ	look
like	IN	like
in	IN	in
real	JJ	real
life	NN	life
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
engine	NN	engine
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
small	JJ	small
cylinder	NN	cylinder
down	RB	down
here	RB	here
,	,	,
which	WDT	which
holds	VBZ	hold
the	DT	the
generator	NN	generator
inside	NN	inside
and	CC	and
all	PDT	all
the	DT	the
linkage	NN	linkage
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
hot	JJ	hot
cap	NN	cap
—	:	-
the	DT	the
hot	JJ	hot
cylinder	NN	cylinder
on	IN	on
the	DT	the
top	NN	top
—	:	-
this	DT	this
part	NN	part
gets	VBZ	get
hot	JJ	hot
,	,	,
this	DT	this
part	NN	part
is	VBZ	be
cool	JJ	cool
,	,	,
and	CC	and
electricity	NN	electricity
comes	VBZ	come
out	RP	out
.	SENT	.
The	DT	the
exact	JJ	exact
converse	NN	converse
is	VBZ	be
also	RB	also
true	JJ	true
.	SENT	.
If	IN	if
you	PP	you
put	VBD	put
electricity	NN	electricity
in	IN	in
,	,	,
this	DT	this
will	MD	will
get	VB	get
hot	JJ	hot
and	CC	and
this	DT	this
will	MD	will
get	VB	get
cold	JJ	cold
,	,	,
you	PP	you
get	VBP	get
refrigeration	NN	refrigeration
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
complete	JJ	complete
reversible	JJ	reversible
cycle	NN	cycle
,	,	,
a	DT	a
very	RB	very
efficient	JJ	efficient
cycle	NN	cycle
,	,	,
and	CC	and
quite	RB	quite
a	DT	a
simple	JJ	simple
thing	NN	thing
to	TO	to
make	VB	make
.	SENT	.
So	RB	so
now	RB	now
you	PP	you
put	VBD	put
the	DT	the
two	CD	two
things	NNS	thing
together	RB	together
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
the	DT	the
engine	NN	engine
.	SENT	.
What	WP	what
if	IN	if
you	PP	you
combine	VBP	combine
the	DT	the
petals	NNS	petal
and	CC	and
the	DT	the
engine	NN	engine
in	IN	in
the	DT	the
center	NN	center
?	SENT	?
The	DT	the
petals	NNS	petal
track	NN	track
and	CC	and
the	DT	the
engine	NN	engine
gets	VBZ	get
the	DT	the
concentrated	JJ	concentrated
sunlight	NN	sunlight
,	,	,
takes	VBZ	take
that	IN	that
heat	NN	heat
and	CC	and
turns	VBZ	turn
it	PP	it
into	IN	into
electricity	NN	electricity
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
the	DT	the
first	JJ	first
prototype	NN	prototype
of	IN	of
our	PP$	our
system	NN	system
looked	VBD	look
like	IN	like
with	IN	with
the	DT	the
petals	NNS	petal
and	CC	and
the	DT	the
engine	NN	engine
in	IN	in
the	DT	the
center	NN	center
.	SENT	.
This	DT	this
is	VBZ	be
being	VBG	be
run	VBN	run
out	RP	out
in	IN	in
the	DT	the
sun	NN	sun
,	,	,
and	CC	and
now	RB	now
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
what	WP	what
the	DT	the
actual	JJ	actual
thing	NN	thing
looks	VBZ	look
like	IN	like
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
unit	NN	unit
with	IN	with
the	DT	the
12	CD	@card@
petals	NNS	petal
.	SENT	.
These	DT	these
petals	NNS	petal
cost	NN	cost
about	IN	about
a	DT	a
dollar	NN	dollar
each	DT	each
—	:	-
they	PP	they
'	POS	'
re	NN	re
lightweight	NN	lightweight
,	,	,
injection-molded	VBN	injection-mold
plastic	NN	plastic
,	,	,
aluminized	VBD	aluminize
.	SENT	.
The	DT	the
mechanism	NN	mechanism
to	TO	to
control	VB	control
each	DT	each
petal	NN	petal
