Everybody	NN	everybody
accountability	NN	accountability
,	,	,
they	PP	they
should	MD	should
assume	VB	assume
that	IN	that
that	DT	that
is	VBZ	be
a	DT	a
given	VBN	give
.	SENT	.
Consequences	NNS	consequence
are	VBP	be
what	WP	what
happen	VBP	happen
when	WRB	when
you	PP	you
don	VBP	don
'	''	'
t	NN	t
do	VBP	do
what	WP	what
you	PP	you
'	POS	'
re	NN	re
accountable	JJ	accountable
for	IN	for
.	SENT	.
Imagine	VB	imagine
this	DT	this
:	:	:
imagine	VB	imagine
a	DT	a
place	NN	place
where	WRB	where
people	NNS	people
of	IN	of
all	DT	all
colors	NNS	color
and	CC	and
all	DT	all
races	NNS	race
are	VBP	be
on	IN	on
and	CC	and
climbing	VBG	climb
every	DT	every
rung	NN	rung
of	IN	of
the	DT	the
corporate	JJ	corporate
ladder	NN	ladder
;	:	;
where	WRB	where
those	DT	those
people	NNS	people
feel	VBP	feel
safe	JJ	safe
â	NP	<unknown>
indeed	RB	indeed
,	,	,
expected	VBN	expect
â	NP	<unknown>
to	TO	to
bring	VB	bring
their	PP$	their
unassimilated	JJ	unassimilated
,	,	,
authentic	JJ	authentic
selves	NNS	self
to	TO	to
work	VB	work
every	DT	every
day	NN	day
,	,	,
because	IN	because
the	DT	the
difference	NN	difference
that	IN	that
they	PP	they
bring	VBP	bring
is	VBZ	be
both	DT	both
recognized	VBN	recognize
and	CC	and
respected	VBN	respect
.	SENT	.
And	CC	and
imagine	VB	imagine
a	DT	a
place	NN	place
where	WRB	where
the	DT	the
lessons	NNS	lesson
we	PP	we
learn	VBP	learn
about	RB	about
diversity	NN	diversity
at	IN	at
work	NN	work
actually	RB	actually
transform	VB	transform
the	DT	the
things	NNS	thing
we	PP	we
do	VBP	do
,	,	,
think	VBP	think
and	CC	and
say	VBP	say
outside	JJ	outside
of	IN	of
work	NN	work
.	SENT	.
That	DT	that
is	VBZ	be
what	WP	what
happens	VBZ	happen
if	IN	if
we	PP	we
all	RB	all
work	VBP	work
together	RB	together
to	TO	to
fix	VB	fix
what	WP	what
'	POS	'
s	NNS	<unknown>
broken	VBN	break
.	SENT	.
That	DT	that
is	VBZ	be
what	WP	what
happens	VBZ	happen
if	IN	if
we	PP	we
stop	VBP	stop
praying	VBG	pray
for	IN	for
change	NN	change
to	TO	to
happen	VB	happen
and	CC	and
actually	RB	actually
start	VB	start
moving	VBG	move
our	PP$	our
feet	NNS	foot
to	TO	to
making	VBG	make
it	PP	it
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
power	NN	power
of	IN	of
single-mindedness	NN	single-mindedness
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
