People	NNS	people
that	RB	that
'	POS	'
s	NNS	<unknown>
coming	VBG	come
off	RP	off
of	IN	of
the	DT	the
sonic	JJ	sonic
spot	NN	spot
,	,	,
that	WDT	that
'	POS	'
s	NN	S
changed	VBD	change
color	NN	color
slightly	RB	slightly
,	,	,
and	CC	and
we	PP	we
create	VBP	create
a	DT	a
glowing	JJ	glowing
disc	NN	disc
of	IN	of
orange	JJ	orange
light	NN	light
underneath	IN	underneath
a	DT	a
neighboring	JJ	neighboring
chip	NN	chip
and	CC	and
then	RB	then
record	VB	record
a	DT	a
hologram	NN	hologram
on	IN	on
the	DT	the
camera	NN	camera
chip	NN	chip
.	SENT	.
Like	IN	like
so	RB	so
.	SENT	.
From	IN	from
that	DT	that
hologram	NN	hologram
,	,	,
we	PP	we
can	MD	can
extract	VB	extract
information	NN	information
just	RB	just
about	IN	about
that	DT	that
sonic	JJ	sonic
spot	NN	spot
,	,	,
because	IN	because
we	PP	we
filter	VBP	filter
out	RP	out
all	DT	all
of	IN	of
the	DT	the
red	JJ	red
light	NN	light
.	SENT	.
Then	RB	then
,	,	,
we	PP	we
can	MD	can
optionally	RB	optionally
focus	VB	focus
the	DT	the
light	NN	light
back	RB	back
down	RB	down
into	IN	into
the	DT	the
brain	NN	brain
to	TO	to
stimulate	VB	stimulate
a	DT	a
neuron	NN	neuron
or	CC	or
part	NN	part
of	IN	of
the	DT	the
brain	NN	brain
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
move	VBP	move
on	IN	on
to	TO	to
shift	VB	shift
the	DT	the
sonic	JJ	sonic
focus	NN	focus
to	TO	to
another	DT	another
spot	NN	spot
.	SENT	.
And	CC	and
that	DT	that
way	NN	way
,	,	,
spot	NN	spot
by	IN	by
spot	NN	spot
,	,	,
we	PP	we
scan	VBP	scan
out	RP	out
the	DT	the
brain	NN	brain
.	SENT	.
Our	PP$	our
chips	NNS	chip
decode	VBP	decode
holograms	NNS	hologram
a	DT	a
bit	NN	bit
like	IN	like
Rosalind	NP	Rosalind
Franklin	NP	Franklin
decoded	VBD	decode
this	DT	this
iconic	JJ	iconic
image	NN	image
of	IN	of
X-ray	NN	X-ray
diffraction	NN	diffraction
to	TO	to
reveal	VB	reveal
the	DT	the
structure	NN	structure
of	IN	of
DNA	NN	DNA
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
doing	VBG	do
that	IN	that
electronically	RB	electronically
with	IN	with
our	PP$	our
chips	NNS	chip
,	,	,
recording	VBG	record
the	DT	the
image	NN	image
and	CC	and
decoding	VBG	decode
the	DT	the
information	NN	information
,	,	,
in	IN	in
a	DT	a
millionth	NN	millionth
of	IN	of
a	DT	a
second	NN	second
.	SENT	.
We	PP	we
scan	VBP	scan
fast	RB	fast
.	SENT	.
Our	PP$	our
system	NN	system
may	MD	may
be	VB	be
extraordinary	JJ	extraordinary
at	IN	at
finding	VBG	find
blood	NN	blood
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
blood	NN	blood
absorbs	VBZ	absorb
red	JJ	red
light	NN	light
and	CC	and
infrared	JJ	infrared
light	NN	light
.	SENT	.
Blood	NN	blood
is	VBZ	be
red	JJ	red
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
beaker	NN	beaker
of	IN	of
blood	NN	blood
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
our	PP$	our
laser	NN	laser
,	,	,
going	VBG	go
right	RB	right
through	IN	through
it	PP	it
.	SENT	.
It	PP	it
really	RB	really
is	VBZ	be
a	DT	a
laser	NN	laser
,	,	,
you	PP	you
can	MD	can
see	VB	see
it	PP	it
on	IN	on
the	DT	the
—	:	-
there	RB	there
it	PP	it
is	VBZ	be
.	SENT	.
In	IN	in
comparison	NN	comparison
to	TO	to
my	PP$	my
pound	NN	pound
of	IN	of
flesh	NN	flesh
,	,	,
where	WRB	where
you	PP	you
can	MD	can
see	VB	see
the	DT	the
light	NN	light
goes	VBZ	go
everywhere	RB	everywhere
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
see	VBP	see
that	IN	that
again	RB	again
,	,	,
blood	NN	blood
.	SENT	.
This	DT	this
is	VBZ	be
really	RB	really
key	JJ	key
:	:	:
blood	NN	blood
absorbs	VBZ	absorb
light	NN	light
,	,	,
flesh	NN	flesh
scatters	NNS	scatter
light	JJ	light
.	SENT	.
This	DT	this
is	VBZ	be
significant	JJ	significant
,	,	,
because	IN	because
every	DT	every
tumor	NN	tumor
bigger	JJR	big
than	IN	than
a	DT	a
cubic	JJ	cubic
millimeter	NN	millimeter
or	CC	or
two	CD	two
has	VBZ	have
five	CD	five
times	NNS	time
the	DT	the
amount	NN	amount
of	IN	of
blood	NN	blood
as	IN	as
normal	JJ	normal
flesh	NN	flesh
.	SENT	.
So	RB	so
with	IN	with
our	PP$	our
system	NN	system
,	,	,
you	PP	you
can	MD	can
imagine	VB	imagine
detecting	VBG	detect
cancers	NNS	cancer
early	RB	early
,	,	,
when	WRB	when
intervention	NN	intervention
is	VBZ	be
easy	JJ	easy
,	,	,
or	CC	or
tracking	VBG	track
the	DT	the
size	NN	size
of	IN	of
your	PP$	your
tumor	NN	tumor
as	IN	as
it	PP	it
grows	VBZ	grow
or	CC	or
shrinks	VBZ	shrink
.	SENT	.
Our	PP$	our
system	NN	system
also	RB	also
should	MD	should
be	VB	be
extraordinary	JJ	extraordinary
at	IN	at
finding	VBG	find
out	RP	out
where	WRB	where
blood	NN	blood
isn	NN	isn
'	POS	'
t	NN	t
,	,	,
like	IN	like
a	DT	a
clogged	JJ	clogged
artery	NN	artery
,	,	,
or	CC	or
the	DT	the
color	JJ	color
change	NN	change
in	IN	in
blood	NN	blood
as	IN	as
it	PP	it
carries	VBZ	carry
oxygen	NN	oxygen
versus	IN	versus
not	RB	not
carrying	VBG	carry
oxygen	NN	oxygen
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
way	NN	way
to	TO	to
measure	VB	measure
neural	JJ	neural
activity	NN	activity
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
saying	NN	saying
that	IN	that
"	``	"
sunlight	NN	sunlight
"	''	"
is	VBZ	be
the	DT	the
best	JJS	good
disinfectant	NN	disinfectant
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
literally	RB	literally
true	JJ	true
.	SENT	.
Researchers	NNS	researcher
are	VBP	be
killing	VBG	kill
pneumonia	NN	pneumonia
in	IN	in
lungs	NNS	lung
by	IN	by
shining	VBG	shine
light	JJ	light
deep	JJ	deep
inside	NN	inside
of	IN	of
lungs	NNS	lung
.	SENT	.
Our	PP$	our
system	NN	system
could	MD	could
enable	VB	enable
this	DT	this
noninvasively	NN	<unknown>
.	SENT	.
Let	VB	let
me	PP	me
give	VB	give
you	PP	you
three	CD	three
more	JJR	more
examples	NNS	example
of	IN	of
what	WP	what
this	DT	this
technology	NN	technology
can	MD	can
do	VB	do
.	SENT	.
One	CD	one
:	:	:
stroke	NN	stroke
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
two	CD	two
major	JJ	major
kinds	NNS	kind
of	IN	of
stroke	NN	stroke
:	:	:
the	DT	the
one	CD	one
caused	VBN	cause
by	IN	by
clogs	NNS	clog
and	CC	and
another	DT	another
caused	VBN	cause
by	IN	by
rupture	NN	rupture
.	SENT	.
If	IN	if
you	PP	you
can	MD	can
determine	VB	determine
the	DT	the
type	NN	type
of	IN	of
stroke	NN	stroke
within	IN	within
an	DT	an
hour	NN	hour
or	CC	or
two	CD	two
,	,	,
you	PP	you
can	MD	can
give	VB	give
medication	NN	medication
to	TO	to
massively	RB	massively
reduce	VB	reduce
the	DT	the
damage	NN	damage
to	TO	to
the	DT	the
brain	NN	brain
.	SENT	.
Get	VB	get
the	DT	the
drug	NN	drug
wrong	JJ	wrong
,	,	,
and	CC	and
the	DT	the
patient	NN	patient
dies	VBZ	die
.	SENT	.
Today	NN	today
,	,	,
that	WDT	that
means	VBZ	mean
access	NN	access
to	TO	to
an	DT	an
MRI	NP	MRI
scanner	NN	scanner
within	IN	within
an	DT	an
hour	NN	hour
or	CC	or
two	CD	two
of	IN	of
a	DT	a
stroke	NN	stroke
.	SENT	.
Tomorrow	NN	tomorrow
,	,	,
with	IN	with
compact	JJ	compact
,	,	,
portable	JJ	portable
,	,	,
inexpensive	JJ	inexpensive
imaging	NN	imaging
,	,	,
every	DT	every
ambulance	NN	ambulance
and	CC	and
every	DT	every
clinic	NN	clinic
can	MD	can
decode	VB	decode
the	DT	the
type	NN	type
of	IN	of
stroke	NN	stroke
and	CC	and
get	VB	get
the	DT	the
right	JJ	right
therapy	NN	therapy
on	IN	on
time	NN	time
.	SENT	.
Thanks	NNS	thanks
.	SENT	.
Two	CD	two
:	:	:
two-thirds	NNS	two-third
of	IN	of
humanity	NN	humanity
lacks	VBZ	lack
access	NN	access
to	TO	to
medical	JJ	medical
imaging	NN	imaging
.	SENT	.
Compact	JJ	compact
,	,	,
portable	JJ	portable
,	,	,
inexpensive	JJ	inexpensive
medical	JJ	medical
imaging	NN	imaging
can	MD	can
save	VB	save
countless	JJ	countless
lives	NNS	life
.	SENT	.
And	CC	and
three	CD	three
:	:	:
brain-computer	NN	brain-computer
communication	NN	communication
.	SENT	.
I	NP	I
'	POS	'
ve	NNS	<unknown>
shown	VBN	show
here	RB	here
onstage	NN	onstage
our	PP$	our
system	NN	system
focusing	VBG	focus
through	IN	through
skull	NN	skull
and	CC	and
brain	NN	brain
to	TO	to
the	DT	the
diameter	NN	diameter
of	IN	of
the	DT	the
smallest	JJS	small
neuron	NN	neuron
.	SENT	.
Using	VBG	use
light	NN	light
and	CC	and
sound	NN	sound
,	,	,
you	PP	you
can	MD	can
activate	VB	activate
or	CC	or
inhibit	VB	inhibit
neurons	NNS	neuron
,	,	,
and	CC	and
simultaneously	RB	simultaneously
,	,	,
we	PP	we
can	MD	can
match	VB	match
spec	NN	spec
by	IN	by
spec	NN	spec
the	DT	the
resolution	NN	resolution
of	IN	of
an	DT	an
fMRI	NN	<unknown>
scanner	NN	scanner
,	,	,
which	WDT	which
measures	VBZ	measure
oxygen	NN	oxygen
use	NN	use
in	IN	in
the	DT	the
brain	NN	brain
.	SENT	.
We	PP	we
do	VBP	do
that	IN	that
by	IN	by
looking	VBG	look
at	IN	at
the	DT	the
color	JJ	color
change	NN	change
in	IN	in
the	DT	the
blood	NN	blood
,	,	,
rather	RB	rather
than	IN	than
using	VBG	use
a	DT	a
two-ton	NN	two-ton
magnet	NN	magnet
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
imagine	VB	imagine
that	IN	that
with	IN	with
fMRI	NN	<unknown>
scanners	NNS	scanner
today	NN	today
,	,	,
we	PP	we
can	MD	can
decode	VB	decode
the	DT	the
imagined	VBN	imagine
words	NNS	word
,	,	,
images	NNS	image
and	CC	and
dreams	NNS	dream
of	IN	of
those	DT	those
being	NN	being
scanned	VBD	scan
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
working	VBG	work
on	IN	on
a	DT	a
system	NN	system
that	WDT	that
puts	VBZ	put
all	DT	all
three	CD	three
of	IN	of
these	DT	these
capabilities	NNS	capability
into	IN	into
the	DT	the
same	JJ	same
system	NN	system
—	:	-
neural	JJ	neural
read	NN	read
and	CC	and
write	VB	write
with	IN	with
light	NN	light
and	CC	and
sound	NN	sound
,	,	,
while	IN	while
simultaneously	RB	simultaneously
mapping	VBG	map
oxygen	NN	oxygen
use	NN	use
in	IN	in
the	DT	the
brain	NN	brain
—	:	-
all	RB	all
together	RB	together
in	IN	in
a	DT	a
noninvasive	JJ	noninvasive
portable	NN	portable
that	WDT	that
can	MD	can
enable	VB	enable
brain-computer	NN	brain-computer
communication	NN	communication
,	,	,
no	DT	no
implants	NNS	implant
,	,	,
no	DT	no
surgery	NN	surgery
,	,	,
no	DT	no
optional	JJ	optional
brain	NN	brain
surgery	NN	surgery
required	VBD	require
.	SENT	.
This	DT	this
can	MD	can
do	VB	do
enormous	JJ	enormous
good	NN	good
for	IN	for
the	DT	the
two	CD	two
billion	NN	billion
people	NNS	people
that	WDT	that
suffer	VBP	suffer
globally	RB	globally
with	IN	with
brain	NN	brain
disease	NN	disease
.	SENT	.
People	NNS	people
ask	VBP	ask
me	PP	me
how	WRB	how
deep	JJ	deep
we	PP	we
can	MD	can
go	VB	go
.	SENT	.
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
:	:	:
the	DT	the
whole	JJ	whole
body	NN	body
'	POS	'
s	NN	S
in	IN	in
reach	NN	reach
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
way	NN	way
to	TO	to
look	VB	look
at	IN	at
it	PP	it
.	SENT	.
My	PP$	my
whole	JJ	whole
head	NN	head
just	RB	just
lit	VBD	light
up	RP	up
,	,	,
you	PP	you
want	VBP	want
to	TO	to
see	VB	see
it	PP	it
again	RB	again
?	SENT	?
Audience	NN	audience
:	:	:
Yes	UH	yes
!	SENT	!
MLJ	NP	MLJ
:	:	:
This	DT	this
looks	NNS	look
scary	JJ	scary
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
truly	RB	truly
scary	JJ	scary
is	VBZ	be
not	RB	not
knowing	VBG	know
about	IN	about
our	PP$	our
bodies	NNS	body
,	,	,
our	PP$	our
brains	NNS	brain
and	CC	and
our	PP$	our
diseases	NNS	disease
so	IN	so
we	PP	we
can	MD	can
effectively	RB	effectively
treat	VB	treat
them	PP	them
.	SENT	.
This	DT	this
technology	NN	technology
can	MD	can
help	VB	help
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
