I	PP	I
safety	NN	safety
and	CC	and
a	DT	a
new	JJ	new
beginning	NN	beginning
.	SENT	.
Thousands	NNS	thousand
of	IN	of
children	NNS	child
separated	VBN	separate
.	SENT	.
And	CC	and
because	IN	because
they	PP	they
were	VBD	be
migrants	NNS	migrant
,	,	,
they	PP	they
were	VBD	be
treated	VBN	treat
as	IN	as
less	JJR	less
than	IN	than
children	NNS	child
.	SENT	.
In	IN	in
response	NN	response
,	,	,
I	PP	I
helped	VBD	help
to	TO	to
organize	VB	organize
the	DT	the
Families	NNS	family
Belong	VBP	belong
Together	RB	together
Vigil	NP	Vigil
at	IN	at
the	DT	the
Ursula	NP	Ursula
Border	NP	Border
Patrol	NN	patrol
Processing	NP	Processing
Center	NP	Center
in	IN	in
McAllen	NP	McAllen
,	,	,
Texas	NP	Texas
,	,	,
on	IN	on
Father	NP	Father
'	POS	'
s	NN	S
Day	NN	day
.	SENT	.
Inside	IN	inside
that	DT	that
processing	NN	processing
center	NN	center
,	,	,
there	EX	there
were	VBD	be
hundreds	NNS	hundred
of	IN	of
children	NNS	child
who	WP	who
were	VBD	be
being	VBG	be
held	VBN	hold
,	,	,
processed	VBN	process
and	CC	and
then	RB	then
prepared	VBN	prepare
to	TO	to
be	VB	be
shipped	VBN	ship
all	RB	all
over	IN	over
country	NN	country
to	TO	to
be	VB	be
jailed	VBN	jail
in	IN	in
facilities	NNS	facility
hundreds	NNS	hundred
of	IN	of
miles	NNS	mile
away	RB	away
from	IN	from
their	PP$	their
parents	NNS	parent
.	SENT	.
I	PP	I
saw	VBD	see
with	IN	with
my	PP$	my
own	JJ	own
eyes	NNS	eye
children	NNS	child
not	RB	not
[	SYM	[
old	JJ	old
]	SYM	]
enough	JJ	enough
for	IN	for
kindergarten	NN	kindergarten
in	IN	in
unmarked	JJ	unmarked
buses	NNS	bus
,	,	,
being	VBG	be
shipped	VBN	ship
off	RP	off
to	TO	to
jails	NNS	jail
hundreds	NNS	hundred
of	IN	of
miles	NNS	mile
away	RB	away
.	SENT	.
And	CC	and
as	IN	as
they	PP	they
passed	VBD	pass
us	PP	us
by	IN	by
,	,	,
they	PP	they
reached	VBD	reach
for	IN	for
us	PP	us
through	IN	through
the	DT	the
windows	NNS	window
,	,	,
as	IN	as
we	PP	we
stood	VBD	stand
vigil	NN	vigil
to	TO	to
let	VB	let
them	PP	them
know	VB	know
that	IN	that
they	PP	they
are	VBP	be
not	RB	not
alone	RB	alone
,	,	,
and	CC	and
we	PP	we
are	VBP	be
fighting	VBG	fight
for	IN	for
them	PP	them
.	SENT	.
Domestic	JJ	domestic
workers	NNS	worker
came	VBD	come
from	IN	from
all	DT	all
over	IN	over
Texas	NP	Texas
to	TO	to
be	VB	be
a	DT	a
part	NN	part
of	IN	of
the	DT	the
vigil	NN	vigil
.	SENT	.
They	PP	they
saw	VBD	see
in	IN	in
those	DT	those
families	NNS	family
their	PP$	their
own	JJ	own
family	NN	family
stories	NNS	story
.	SENT	.
They	PP	they
had	VBD	have
also	RB	also
come	VBN	come
here	RB	here
in	IN	in
search	NN	search
of	IN	of
safety	NN	safety
and	CC	and
a	DT	a
new	JJ	new
beginning	NN	beginning
,	,	,
a	DT	a
better	JJR	good
life	NN	life
for	IN	for
their	PP$	their
families	NNS	family
,	,	,
and	CC	and
they	PP	they
saw	VBD	see
in	IN	in
the	DT	the
eyes	NNS	eye
of	IN	of
those	DT	those
children	NNS	child
their	PP$	their
own	JJ	own
children	NNS	child
.	SENT	.
And	CC	and
through	IN	through
our	PP$	our
tears	NNS	tear
,	,	,
we	PP	we
looked	VBD	look
at	IN	at
each	DT	each
other	JJ	other
and	CC	and
we	PP	we
asked	VBD	ask
each	DT	each
other	JJ	other
,	,	,
"	``	"
How	WRB	how
did	VBD	do
we	PP	we
get	VBP	get
here	RB	here
,	,	,
to	TO	to
putting	VBG	put
children	NNS	child
in	IN	in
cages	NNS	cage
and	CC	and
separating	VBG	separate
them	PP	them
from	IN	from
the	DT	the
people	NNS	people
who	WP	who
love	VBP	love
them	PP	them
the	DT	the
most	JJS	most
in	IN	in
the	DT	the
world	NN	world
?	SENT	?
"	''	"
How	WRB	how
?	SENT	?
And	CC	and
what	WP	what
I	PP	I
thought	VBD	think
to	TO	to
myself	PP	myself
was	VBD	be
:	:	:
if	IN	if
domestic	JJ	domestic
workers	NNS	worker
were	VBD	be
in	IN	in
charge	NN	charge
,	,	,
this	DT	this
never	RB	never
would	MD	would
have	VB	have
happened	VBN	happen
.	SENT	.
Our	PP$	our
humanity	NN	humanity
would	MD	would
never	RB	never
have	VB	have
been	VBN	be
so	RB	so
disposable	JJ	disposable
that	IN	that
we	PP	we
would	MD	would
be	VB	be
treating	VBG	treat
children	NNS	child
in	IN	in
this	DT	this
way	NN	way
.	SENT	.
The	DT	the
Dalai	NP	Dalai
Lama	NP	Lama
once	RB	once
said	VBD	say
that	IN	that
love	NN	love
and	CC	and
compassion	NN	compassion
are	VBP	be
necessities	NNS	necessity
,	,	,
not	RB	not
luxuries	NNS	luxury
.	SENT	.
Without	IN	without
them	PP	them
,	,	,
humanity	NN	humanity
cannot	MD	can
survive	VB	survive
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
they	PP	they
are	VBP	be
fundamental	JJ	fundamental
to	TO	to
human	JJ	human
existence	NN	existence
.	SENT	.
Domestic	JJ	domestic
workers	NNS	worker
are	VBP	be
in	IN	in
charge	NN	charge
of	IN	of
the	DT	the
fundamentals	NNS	fundamental
.	SENT	.
They	PP	they
love	VBP	love
and	CC	and
they	PP	they
care	VBP	care
,	,	,
and	CC	and
they	PP	they
show	VBP	show
compassion	NN	compassion
no	RB	no
matter	VB	matter
what	WP	what
.	SENT	.
We	PP	we
live	VBP	live
in	IN	in
a	DT	a
time	NN	time
of	IN	of
moral	JJ	moral
choices	NNS	choice
everywhere	RB	everywhere
we	PP	we
turn	VBP	turn
:	:	:
at	IN	at
the	DT	the
border	NN	border
,	,	,
at	IN	at
the	DT	the
ballot	NN	ballot
box	NN	box
,	,	,
in	IN	in
our	PP$	our
workplaces	NNS	workplace
,	,	,
right	RB	right
in	IN	in
our	PP$	our
homes	NNS	home
,	,	,
full	JJ	full
of	IN	of
moral	JJ	moral
choices	NNS	choice
.	SENT	.
As	IN	as
you	PP	you
go	VBP	go
about	IN	about
your	PP$	your
day	NN	day
and	CC	and
you	PP	you
encounter	VBP	encounter
these	DT	these
moral	JJ	moral
choices	NNS	choice
,	,	,
think	VBP	think
of	IN	of
Lily	NP	Lily
.	SENT	.
Think	VB	think
like	IN	like
Lily	NP	Lily
.	SENT	.
Think	VB	think
like	IN	like
a	DT	a
domestic	JJ	domestic
worker	NN	worker
who	WP	who
shows	VBZ	show
up	RB	up
and	CC	and
cares	VBZ	care
no	RB	no
matter	VB	matter
what	WP	what
.	SENT	.
Love	NN	love
and	CC	and
compassion	NN	compassion
,	,	,
no	DT	no
matter	NN	matter
what	WP	what
.	SENT	.
Show	VB	show
up	RB	up
like	IN	like
a	DT	a
domestic	JJ	domestic
worker	NN	worker
,	,	,
because	IN	because
our	PP$	our
children	NNS	child
are	VBP	be
counting	VBG	count
on	IN	on
us	PP	us
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
