I	PP	I
their	PP$	their
corporations	NNS	corporation
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
do	VB	do
that	IN	that
again	RB	again
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
can	MD	can
think	VB	think
about	RB	about
how	WRB	how
we	PP	we
can	MD	can
help	VB	help
these	DT	these
other	JJ	other
countries	NNS	country
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
give	VB	give
an	DT	an
example	NN	example
of	IN	of
issues	NNS	issue
that	IN	that
we	PP	we
are	VBP	be
facing	VBG	face
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
,	,	,
for	IN	for
instance	NN	instance
.	SENT	.
We	PP	we
know	VBP	know
that	IN	that
right	RB	right
now	RB	now
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
refugees	NNS	refugee
from	IN	from
Central	NP	Central
America	NP	America
that	WDT	that
are	VBP	be
at	IN	at
the	DT	the
border	NN	border
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
Why	WRB	why
do	VBP	do
people	NNS	people
leave	VB	leave
their	PP$	their
homes	NNS	home
,	,	,
their	PP$	their
beautiful	JJ	beautiful
homes	NNS	home
that	IN	that
we	PP	we
go	VBP	go
to	TO	to
as	IN	as
tourists	NNS	tourist
?	SENT	?
Because	IN	because
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
opportunities	NNS	opportunity
there	RB	there
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
think	VBP	think
,	,	,
"	``	"
Hm	UH	hm
,	,	,
bananas	NNS	banana
.	SENT	.
"	``	"
How	WRB	how
many	JJ	many
jillions	NNS	jillion
of	IN	of
bananas	NNS	banana
do	VBP	do
we	PP	we
consume	VBP	consume
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
every	DT	every
single	JJ	single
day	NN	day
?	SENT	?
And	CC	and
throughout	IN	throughout
the	DT	the
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
do	VBP	do
the	DT	the
people	NNS	people
in	IN	in
Central	NP	Central
America	NP	America
get	VB	get
the	DT	the
profits	NNS	profit
from	IN	from
the	DT	the
bananas	NNS	banana
that	WDT	that
we	PP	we
consume	VBP	consume
?	SENT	?
No	UH	no
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
.	SENT	.
The	DT	the
profits	NNS	profit
go	VBP	go
to	TO	to
corporations	NNS	corporation
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
.	SENT	.
And	CC	and
we	PP	we
think	VBP	think
that	IN	that
this	DT	this
is	VBZ	be
wrong	JJ	wrong
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
the	DT	the
people	NNS	people
in	IN	in
Central	NP	Central
America	NP	America
were	VBD	be
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VB	get
some	DT	some
of	IN	of
that	DT	that
money	NN	money
that	IN	that
we	PP	we
pay	VBP	pay
for	IN	for
bananas	NNS	banana
,	,	,
then	RB	then
they	PP	they
wouldn	JJ	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
leave	VB	leave
their	PP$	their
homes	NNS	home
.	SENT	.
They	PP	they
wouldn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
come	VB	come
as	IN	as
asylum	NN	asylum
seekers	NNS	seeker
to	TO	to
the	DT	the
borders	NNS	border
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
.	SENT	.
And	CC	and
then	RB	then
maybe	RB	maybe
,	,	,
many	JJ	many
children	NNS	child
would	MD	would
not	RB	not
have	VB	have
to	TO	to
be	VB	be
separated	VBN	separate
from	IN	from
their	PP$	their
parents	NNS	parent
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
know	VBP	know
that	IN	that
there	EX	there
are	VBP	be
countries	NNS	country
in	IN	in
the	DT	the
world	NN	world
that	WDT	that
actually	RB	actually
have	VBP	have
free	JJ	free
education	NN	education
and	CC	and
have	VBP	have
free	JJ	free
health	NN	health
care	NN	care
for	IN	for
all	DT	all
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
their	PP$	their
country	NN	country
.	SENT	.
And	CC	and
that	DT	that
country	NN	country
is	VBZ	be
Cuba	NP	Cuba
.	SENT	.
Cuba	NP	Cuba
has	VBZ	have
health	NN	health
care	NN	care
for	IN	for
every	DT	every
one	CD	one
of	IN	of
their	PP$	their
citizens	NNS	citizen
,	,	,
and	CC	and
they	PP	they
have	VBP	have
a	DT	a
free	JJ	free
college	NN	college
education	NN	education
for	IN	for
every	DT	every
one	CD	one
of	IN	of
their	PP$	their
citizens	NNS	citizen
.	SENT	.
They	PP	they
'	''	'
re	IN	re
11	CD	@card@
million	CD	million
citizens	NNS	citizen
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
think	VBP	think
,	,	,
if	IN	if
a	DT	a
poor	JJ	poor
country	NN	country
like	IN	like
Cuba	NP	Cuba
can	MD	can
have	VB	have
these	DT	these
kind	NN	kind
of	IN	of
resources	NNS	resource
,	,	,
and	CC	and
we	PP	we
know	VBP	know
that	IN	that
they	PP	they
'	''	'
re	IN	re
a	DT	a
poor	JJ	poor
country	NN	country
,	,	,
then	RB	then
why	WRB	why
can	MD	can
'	POS	'
t	NN	t
some	RB	some
of	IN	of
the	DT	the
other	JJ	other
wealthier	JJR	wealthy
countries	NNS	country
,	,	,
like	IN	like
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
,	,	,
do	VBP	do
the	DT	the
same	JJ	same
?	SENT	?
I	PP	I
think	VBP	think
that	IN	that
we	PP	we
can	MD	can
make	VB	make
that	DT	that
happen	VB	happen
.	SENT	.
But	CC	but
we	PP	we
know	VBP	know
it	PP	it
'	''	'
s	NNS	<unknown>
not	RB	not
going	VBG	go
to	TO	to
happen	VB	happen
until	IN	until
we	PP	we
,	,	,
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
,	,	,
and	CC	and
people	NNS	people
throughout	IN	throughout
the	DT	the
world	NN	world
,	,	,
start	VB	start
making	VBG	make
sure	JJ	sure
that	IN	that
they	PP	they
get	VBP	get
public	JJ	public
officials	NNS	official
elected	VBN	elect
to	TO	to
their	PP$	their
governments	NNS	government
that	WDT	that
really	RB	really
care	VBP	care
about	IN	about
the	DT	the
constituents	NNS	constituent
,	,	,
they	PP	they
care	VBP	care
about	IN	about
people	NNS	people
,	,	,
they	PP	they
will	MD	will
commit	VB	commit
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
the	DT	the
resources	NNS	resource
that	IN	that
they	PP	they
have	VBP	have
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
used	VBN	use
for	IN	for
their	PP$	their
citizens	NNS	citizen
,	,	,
and	CC	and
not	RB	not
to	TO	to
be	VB	be
used	VBN	use
for	IN	for
war	NN	war
.	SENT	.
So	RB	so
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
make	VBP	make
this	RB	this
happen	VB	happen
?	SENT	?
We	PP	we
have	VBP	have
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
the	DT	the
apathy	NN	apathy
,	,	,
we	PP	we
have	VBP	have
to	TO	to
get	VB	get
more	JJR	more
people	NNS	people
involved	VBN	involve
.	SENT	.
We	PP	we
know	VBP	know
that	IN	that
if	IN	if
we	PP	we
can	MD	can
'	''	'
t	NN	t
have	VBP	have
a	DT	a
democracy	NN	democracy
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
we	PP	we
can	MD	can
'	''	'
t	NN	t
have	VBP	have
democracies	NNS	democracy
throughout	IN	throughout
the	DT	the
world	NN	world
,	,	,
unless	IN	unless
people	NNS	people
participate	VBP	participate
.	SENT	.
So	RB	so
it	PP	it
is	VBZ	be
imperative	JJ	imperative
that	IN	that
all	DT	all
of	IN	of
us	PP	us
get	VBP	get
out	RP	out
there	RB	there
and	CC	and
we	PP	we
say	VBP	say
,	,	,
"	``	"
Get	VB	get
rid	VBN	rid
of	IN	of
the	DT	the
apathy	NN	apathy
,	,	,
get	VB	get
off	RP	off
of	IN	of
the	DT	the
sidewalk	NN	sidewalk
,	,	,
come	VB	come
and	CC	and
join	VB	join
the	DT	the
march	NN	march
for	IN	for
peace	NN	peace
and	CC	and
justice	NN	justice
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
make	VBP	make
Coretta	NP	Coretta
Scott	NP	Scott
'	POS	'
s	JJ	<unknown>
vision	NN	vision
a	DT	a
reality	NN	reality
,	,	,
to	TO	to
have	VB	have
peace	NN	peace
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
"	``	"
We	PP	we
recently	RB	recently
had	VBD	have
midterm	NN	midterm
elections	NNS	election
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
.	SENT	.
And	CC	and
what	WP	what
did	VBD	do
we	PP	we
see	VBP	see
?	SENT	?
We	PP	we
saw	VBD	see
that	IN	that
so	RB	so
many	JJ	many
more	JJR	more
women	NNS	woman
,	,	,
young	JJ	young
people	NNS	people
,	,	,
people	NNS	people
of	IN	of
color	NN	color
,	,	,
LGBT	NP	<unknown>
folks	NNS	folk
,	,	,
were	VBD	be
all	RB	all
elected	VBN	elect
to	TO	to
public	JJ	public
office	NN	office
.	SENT	.
And	CC	and
we	PP	we
know	VBP	know
this	DT	this
happened	VBN	happen
—	:	-
why	WRB	why
?	SENT	?
Because	IN	because
so	RB	so
many	JJ	many
women	NNS	woman
were	VBD	be
on	IN	on
the	DT	the
march	NN	march
.	SENT	.
We	PP	we
had	VBD	have
the	DT	the
Women	NP	Women
'	POS	'
s	JJ	<unknown>
March	NP	March
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
They	PP	they
had	VBD	have
the	DT	the
Women	NNS	woman
'	POS	'
s	NN	S
Marches	NNS	March
all	RB	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
now	RB	now
see	VBP	see
that	IN	that
we	PP	we
have	VBP	have
this	DT	this
potential	NN	potential
.	SENT	.
We	PP	we
have	VBP	have
this	DT	this
potential	NN	potential
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
the	DT	the
apathy	NN	apathy
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
get	VBP	get
everyone	NN	everyone
involved	VBN	involve
,	,	,
get	VB	get
everyone	NN	everyone
committed	JJ	committed
,	,	,
then	RB	then
,	,	,
I	PP	I
think	VBP	think
,	,	,
we	PP	we
can	MD	can
make	VB	make
Coretta	NP	Coretta
Scott	NP	Scott
'	POS	'
s	NN	S
vision	NN	vision
come	VBN	come
true	JJ	true
.	SENT	.
So	RB	so
,	,	,
I	PP	I
want	VBP	want
to	TO	to
just	RB	just
remind	VB	remind
everybody	NN	everybody
,	,	,
throughout	IN	throughout
the	DT	the
world	NN	world
,	,	,
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
is	VBZ	be
,	,	,
we	PP	we
have	VBP	have
power	NN	power
,	,	,
poor	JJ	poor
people	NNS	people
have	VBP	have
power	NN	power
,	,	,
every	DT	every
citizen	NN	citizen
has	VBZ	have
power	NN	power
.	SENT	.
But	CC	but
in	IN	in
order	NN	order
to	TO	to
achieve	VB	achieve
the	DT	the
peace	NN	peace
that	IN	that
we	PP	we
all	RB	all
yearn	VBP	yearn
for	IN	for
,	,	,
then	RB	then
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
got	VBD	get
to	TO	to
get	VB	get
involved	VBN	involve
.	SENT	.
So	RB	so
,	,	,
what	WP	what
do	VBP	do
we	PP	we
say	VBP	say
?	SENT	?
Can	MD	can
we	PP	we
do	VB	do
it	PP	it
?	SENT	?
We	PP	we
say	VBP	say
,	,	,
"	``	"
Yes	UH	yes
,	,	,
we	PP	we
can	MD	can
!	SENT	!
"	''	"
And	CC	and
in	IN	in
Spanish	JJ	Spanish
,	,	,
we	PP	we
say	VBP	say
,	,	,
"	''	"
S��	NP	<unknown>
,	,	,
se	FW	se
puede	NNS	<unknown>
.	SENT	.
"	``	"
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
