Meet	NP	Meet
companies	NNS	company
that	WDT	that
then	RB	then
compete	VBP	compete
against	IN	against
large	JJ	large
companies	NNS	company
.	SENT	.
They	PP	they
scale	VBP	scale
more	RBR	more
quickly	RB	quickly
,	,	,
because	IN	because
their	PP$	their
co-op	NN	co-op
can	MD	can
be	VB	be
anywhere	RB	anywhere
in	IN	in
the	DT	the
world	NN	world
,	,	,
and	CC	and
they	PP	they
scale	VBP	scale
democracy	NN	democracy
,	,	,
because	IN	because
they	PP	they
can	MD	can
be	VB	be
decentralized	VBN	decentralize
through	IN	through
crypto	NN	<unknown>
networks	NNS	network
and	CC	and
blockchain	NN	blockchain
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
why	WRB	why
I	PP	I
want	VBP	want
instructors	NNS	instructor
to	TO	to
teach	VB	teach
about	IN	about
this	DT	this
model	NN	model
in	IN	in
law	NN	law
schools	NNS	school
and	CC	and
business	NN	business
schools	NNS	school
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
want	VBP	want
entrepreneurs	NNS	entrepreneur
to	TO	to
start	VB	start
one	CD	one
instead	RB	instead
of	IN	of
another	DT	another
traditional	JJ	traditional
tech	NN	tech
platform	NN	platform
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
want	VBP	want
incubators	NNS	incubator
to	TO	to
include	VB	include
this	DT	this
model	NN	model
and	CC	and
also	RB	also
unions	NNS	union
to	TO	to
start	VB	start
platform	NN	platform
cooperatives	NNS	cooperative
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
I	PP	I
want	VBP	want
ethical	JJ	ethical
social	JJ	social
impact	NN	impact
investors	NNS	investor
to	TO	to
consider	VB	consider
them	PP	them
and	CC	and
create	VB	create
an	DT	an
amazing	JJ	amazing
legacy	NN	legacy
of	IN	of
equality	NN	equality
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
this	DT	this
one	CD	one
model	NN	model
will	MD	will
eradicate	VB	eradicate
economic	JJ	economic
inequality	NN	inequality
forever	RB	forever
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
,	,	,
right	RB	right
?	SENT	?
But	CC	but
what	WP	what
we	PP	we
need	VBP	need
is	VBZ	be
more	JJR	more
variety	NN	variety
in	IN	in
the	DT	the
economy	NN	economy
.	SENT	.
We	PP	we
need	VBP	need
small	JJ	small
,	,	,
unionized	VBD	unionize
private	JJ	private
businesses	NNS	business
,	,	,
we	PP	we
need	VBP	need
employee	NN	employee
ownership	NN	ownership
,	,	,
and	CC	and
we	PP	we
need	VBP	need
platform	NN	platform
cooperatives	NNS	cooperative
.	SENT	.
We	PP	we
face	VBP	face
big	JJ	big
challenges	NNS	challenge
.	SENT	.
But	CC	but
here	RB	here
'	POS	'
s	NN	S
what	WP	what
gives	VBZ	give
me	PP	me
a	DT	a
lot	NN	lot
of	IN	of
hope	NN	hope
.	SENT	.
When	WRB	when
markets	NNS	market
fail	VBP	fail
and	CC	and
the	DT	the
safety	NN	safety
nets	VBZ	net
of	IN	of
governments	NNS	government
break	VBP	break
down	RB	down
,	,	,
people	NNS	people
turn	VBP	turn
to	TO	to
each	DT	each
other	JJ	other
,	,	,
right	RB	right
?	SENT	?
People	NNS	people
start	VBP	start
to	TO	to
cooperate	VB	cooperate
by	IN	by
forming	VBG	form
food	NN	food
cooperatives	NNS	cooperative
so	RB	so
that	IN	that
they	PP	they
can	MD	can
feed	VB	feed
themselves	PP	themselves
during	IN	during
a	DT	a
crisis	NN	crisis
.	SENT	.
They	PP	they
start	VBP	start
to	TO	to
form	VB	form
platform	NN	platform
cooperatives	NNS	cooperative
so	RB	so
that	IN	that
they	PP	they
can	MD	can
clean	VB	clean
homes	NNS	home
and	CC	and
still	RB	still
make	VB	make
a	DT	a
living	VBG	live
wage	NN	wage
.	SENT	.
And	CC	and
when	WRB	when
markets	NNS	market
and	CC	and
governments	NNS	government
for	IN	for
too	RB	too
long	RB	long
failed	VBN	fail
to	TO	to
address	VB	address
structural	JJ	structural
racism	NN	racism
and	CC	and
inequality	NN	inequality
,	,	,
people	NNS	people
form	VBP	form
institutions	NNS	institution
,	,	,
like	IN	like
the	DT	the
Black	NP	Black
Panthers	NN	panthers
'	POS	'
Free	JJ	free
Breakfast	NN	breakfast
Program	NN	program
for	IN	for
Children	NP	Children
and	CC	and
the	DT	the
AFL-CIO	NP	AFL-CIO
,	,	,
the	DT	the
largest	JJS	large
federation	NN	federation
of	IN	of
unions	NNS	union
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
So	RB	so
we	PP	we
saw	VBD	see
democracy	NN	democracy
,	,	,
or	CC	or
the	DT	the
aspiration	NN	aspiration
to	TO	to
participatory	NN	participatory
democracy	NN	democracy
,	,	,
spread	VBN	spread
across	IN	across
countries	NNS	country
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
now	RB	now
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
for	IN	for
it	PP	it
to	TO	to
spread	VB	spread
in	IN	in
the	DT	the
workplace	NN	workplace
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
